Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum
T6,23/6/15,,,,,WGS84
,,,,,,
,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,,
3.1,volc,tuff,,,,
1.2,cover,cover,,,,
3.5,volc,tuff,,,,
1.2,volc,tuff,,,,
2.8,bslt,m,,,,
3.6,bslt,m,,,,
5.6,volc,tuff,,,,
9.2,volc,tuff,,,,
2,bslt,mves,,,,
0.4,bslt,ves,,,,
1.4,volc,br,,,,
8.5,ls,gr,,,,
0.8,si,mss,,,,
0.8,volc,tuff,,,,
4.2,si,mss,,,,
0.4,volc,tuff,,,,
1,si,mss,,,,
0.4,si,pcg,,,,
0.6,si,sts,,,,
0.5,cover,cover,,,,
0.3,si,css,,,,
0.6,si,sts,,,,
0.3,si,mss,icb,,,
0.6,si,sts,,,,
0.5,si,mss,,,,
0.5,si,sts,icb,,,
1.6,si,mss,rxb,,,
0.5,si,mss,,,,
2.8,cover,cover,,,,
0.3,si,sts,,,,
0.1,si,pcg,,,,
1.8,si,mss,,,,
14.8,volc,m,,,,
2.4,cover,cover,,,,
1.2,si,sts,,,,
0.6,si,sts,,,,
7,cover,cover,,,,
24.6,volc,br,,,,
0.9,si,fss,,,,
1.8,si,css,,,,
1.4,cover,cover,,,,
5.9,volc,br,,,,
9,si,css,,,,
4.8,cover,cover,,,,
1.1,bslt,mves,,,,
0.7,bslt,ves,,,,
3.4,cover,cover,,,,
5.2,bslt,mves,,,,
26.1,bslt,m,,,,
