Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T40,6/15/15,13.157848,39.240549,13.160571,39.231322,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
0.9,cover,cover,,,,,,147.8,,147.8,87,5.666,0.112,-6.052,0.673,mtx,0.706428517,116.7554481,222038.0231,795.1965467,2287.204794,53.19962783,381.9455337,108.4632373,2283.787168
0.3,ls,ri,mts+ssd,,,,,149.6,,149.6,91,4.176,0.085,-7.718,0.134,mtx,,,,,,,,,
0.3,ls,ri,ssd,,,,,152.2,,152.2,96,5.937,0.079,-6.179,0.27,mtx,,,,,,,,,
0.9,ls,gr,icb+mts,,,,,153.4,ADD 0.2,153.6,102,5.512,0.059,-6.214,0.214,mtx,,,,,,,,,
0.9,ls,ri,,,,,,153.9,,154.1,106,5.538,0.083,-4.068,0.117,mtx,,,,,,,,,
0.4,ls,gr,,,,,,156.7,,156.9,112,5.437,0.09,-6.067,0.188,mtx,,,,,,,,,
1,cover,cover,,,,,,159.3,,159.5,119,4.612,0.081,-7.314,0.122,mtx,,,,,,,,,
1.7,ls,ri,hcs,,,,,162.9,,163.1,121,5.955,0.086,-4.295,0.223,mtx,,,,,,,,,
0.8,ls,gr,icb+ssd,,,,,165.9,,166.1,123,4.503,0.105,-5.746,0.527,mtx,,,,,,,,,
1.7,ls,ri,,,,,,167,,167.2,124,5.339,0.08,-4.853,0.195,mtx,,,,,,,,,
0.5,ls,gr,ssd,,,,,168.4,,168.6,126,5.683,0.058,-5.405,0.204,mtx,,,,,,,,,
0.7,ls,ri,,,,,,172.9,,173.1,128,4.12,0.11,-9.075,0.165,mtx,,,,,,,,,
1.2,ls,gr,ssd,,,,,175.7,,175.9,130,6.018,0.052,-5.917,0.114,mtx,,,,,,,,,
0.4,ls,ri,,,,,,180.7,,180.9,132,5.719,0.06,-5.982,0.188,mtx,,,,,,,,,
0.6,ls,gr,,,,,,185.1,,185.3,134,6.641,0.099,-5.501,0.145,mtx,,,,,,,,,
0.4,ls,ri,,,,,,186.5,,186.7,134,6.595,0.05,-3.813,0.217,mtx,,,,,,,,,
2.5,ls,gr,,,,,,189,,189.2,136,6.463,0.063,-5.244,0.178,mtx,,,,,,,,,
0.5,cover,cover,,,,,,190.8,,191,136,6.454,0.058,-5.152,0.161,mtx,,,,,,,,,
0.3,ls,gr,icb+ssd,,,,,192.8,,193,136,6.727,0.086,-4.748,0.19,mtx,,,,,,,,,
0.4,cover,cover,,,,,,194.5,,194.7,137,6.719,0.061,-5.226,0.179,mtx,,,,,,,,,
0.2,ls,gr,,,,,,196.8,,197,139,6.799,0.085,-4.466,0.069,mtx,,,,,,,,,
0.1,ls,ri,,,,,,199.6,,199.8,141,6.61,0.061,-4.655,0.119,mtx,,,,,,,,,
0.5,ls,gr,,,,,,202.1,,202.3,143,6.701,0.096,-2.889,0.116,mtx,,,,,,,,,
1.8,ls,ri,,,,,,204.3,,204.5,145,6.89,0.053,-4.04,0.145,mtx,,,,,,,,,
0.6,cover,cover,,,,,,206.1,,206.3,148,6.097,0.087,-4.343,0.268,mtx,,,,,,,,,
0.6,ls,gr,icb,,,,,208,,208.2,148,5.819,0.111,-4.715,0.284,mtx,,,,,,,,,
0.2,ls,ri,,,,,,210.5,,210.7,148,6.525,0.076,-4.862,0.125,mtx,0.706593439,123.3804975,473140.5726,12.27583842,2164.604432,78.16893473,553.3792928,-13.9341924,2404.33719
0.3,cover,cover,,,,,,211.9,,212.1,148,6.44,0.061,-4.684,0.183,mtx,,,,,,,,,
0.1,ls,ri,,,,,,214,,214.2,149,6.65,0.078,-4.654,0.146,mtx,,,,,,,,,
0.6,cover,cover,,,,,,216.5,,216.7,150,6.892,0.094,-5.525,0.187,mtx,,,,,,,,,
0.2,dl,ri,,,,,,217.6,,217.8,150,7.264,0.056,-3.632,0.297,mtx,,,,,,,,,
5.3,cover,cover,,,,,,220.9,,221.1,152,6.887,0.073,-4.065,0.127,mtx,,,,,,,,,
0.1,ls,ri,,,,,,222.7,,222.9,154,6.995,0.067,-3.682,0.239,mtx,,,,,,,,,
0.1,ls,gr,mts,,,,,223.6,,223.8,154,6.428,0.111,-3.435,0.246,mtx,,,,,,,,,
0.8,cover,cover,,,,,,225,,225.2,154,6.253,0.11,-4.691,0.133,mtx,,,,,,,,,
0.2,ls,ri,,,,,,226.4,,226.6,154,7.002,0.093,-4.827,0.239,mtx,,,,,,,,,
1.2,cover,cover,,,,,,228.9,,229.1,156,6.891,0.081,-5.743,0.293,mtx,,,,,,,,,
0.2,ls,ri,,,,,,230.5,,230.7,158,7.109,0.065,-5.539,0.208,mtx,,,,,,,,,
1.1,cover,cover,,,,,,232,,232.2,159,7.089,0.071,-5.522,0.125,mtx,,,,,,,,,
0.4,ls,ri,,,,,,232.1,,232.3,159,6.816,0.028,-4.242,0.165,mtx,,,,,,,,,
0.4,ls,gr,icb,,,,,232.1,,232.3,159,7.078,0.071,-4.086,0.264,mts,,,,,,,,,
0.1,ls,ri,,,,,,234.5,,234.7,161,5.266,0.056,-10.574,0.368,mtx,,,,,,,,,
1.1,cover,cover,,,,,,234.5,,234.7,161,6.553,0.087,-11.601,0.201,mts,,,,,,,,,
0.3,ls,gr,,,,,,237.1,,237.3,165,6.682,0.061,-11.082,0.104,mtx,,,,,,,,,
0.1,si,sts,,,,,,237.1,,237.3,165,6.829,0.068,-12.363,0.143,mts,,,,,,,,,
0.9,cover,cover,,,,,,238,,238.2,166,6.946,0.054,-7.904,0.092,mtx,,,,,,,,,
0.3,si,sts-ri,,,,,,239.8,,240,167,6.863,0.156,-12.468,0.729,mtx,,,,,,,,,
1,cover,cover,,,,,,239.8,,240,167,5.859,0.049,-8.828,0.167,mts,,,,,,,,,
0.4,ls,ri,,,,,,241.1,,241.3,170,5.841,0.081,-6.795,0.284,mtx,,,,,,,,,
0.4,cover,cover,,,,,,242.2,,242.4,170,4.913,0.131,-9.209,0.622,mtx,,,,,,,,,
0.1,si,sts,,,,,,243,,243.2,170,5.165,0.061,-10.988,0.182,mtx,,,,,,,,,
0.3,cover,cover,,,,,,244.3,,244.5,170,5.12,0.114,-12.271,0.359,mtx,,,,,,,,,
0.1,ls,ri,,,,,,247.3,,247.5,171,6.534,0.074,-10.623,0.157,mtx,,,,,,,,,
0.3,cover,cover,,,,,,249.5,,249.7,172,6.513,0.065,-6.008,0.113,mtx,,,,,,,,,
