Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T42,6/28/15,13.143002,39.170469,13.142505,39.174364,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
19.3,si,sts,rs,,170.9,170.9,,19.6,,19.6,1,-2.314467914,0.049066562,-5.460960258,0.280499447,mtx,,,,,,,,,
0.5,dl,ri,,,,,,20.2,,20.2,3,-2.121055,0.188781102,-5.006597403,0.204518688,mtx,,,,,,,,,
0.1,cover,cover,,,,,,22.2,,22.2,4,-1.335790886,0.099598621,-3.969291278,0.155203851,mtx,,,,,,,,,
2.1,si,sts-ri,,,,,,23.3,,23.3,6,-3.896203466,0.123836822,-12.46726065,2.267858457,mtx,,,,,,,,,
0.4,dl,R,,,,,,23.9,,23.9,6,0.948858676,0.08991731,-2.97116937,0.119352133,mtx,,,,,,,,,
0.8,cover,cover,,,,,,25.3,,25.3,6,0.450267281,0.048948787,-4.354981423,0.184423824,mtx,,,,,,,,,
3.1,dl,ri-icb,,,,,,30,,30,8,-0.490128485,0.079677027,-4.133598832,0.245563512,mtx,,,,,,,,,
3.4,si,sts,,,,,,31.1,,31.1,9,-0.646587066,0.0265732,-4.342879566,0.093309351,mtx,,,,,,,,,
1.3,ml,ml-R,,,,,,33.3,,33.3,12,-1.112590132,0.115050011,-4.794383932,0.450530066,mtx,,,,,,,,,
0.2,dl,R,,,,,,34.1,,34.1,16,-1.041001973,0.074718577,-4.290368257,0.277323869,mtx,,,,,,,,,
0.7,ml,ml,cry(py),,,,,34.5,,34.5,18,-1.107907243,0.078205769,-4.327056165,0.272391816,mtx,,,,,,,,,
1.4,si,sts,,,,,,36.2,,36.2,20,-0.66654733,0.130534505,-4.389321845,0.348095348,mtx,,,,,,,,,
0.1,dl,R,,,,,,36.8,,36.8,20,-0.692223296,0.052208443,-2.876577569,0.134108447,mtx,,,,,,,,,
0.2,si,sts,,,,,,37.5,,37.5,20,-0.596474888,0.060217011,-3.225174159,0.13277532,mtx,,,,,,,,,
0.1,dl,R,,,,,,39.1,,39.1,20,-0.028163865,0.092749639,-3.717260458,0.185798126,mtx,,,,,,,,,
0.3,si,sts,,,,,,40.1,,40.1,20,-0.064624811,0.177996724,-5.34037743,0.167520162,mtx,,,,,,,,,
0.2,dl,ri,,,,,,40.6,,40.6,20,-0.102108316,0.121548394,-4.593095951,0.245110439,mtx,,,,,,,,,
0.3,si,sts,,,,,,41.5,,41.5,20,-0.547735318,0.093743899,-3.384225141,0.246934292,mtx,,,,,,,,,
0.1,dl,R,,,,,,42.3,,42.3,20,-0.194077002,0.152314507,-3.883963245,0.215822019,mtx,,,,,,,,,
1.4,si,sts-R,cry(py),,,,,43.4,,43.4,20,0.368356,0.13908289,-5.141974256,0.208710313,mtx,,,,,,,,,
12.8,ml,ml-R,,,,,,44.1,,44.1,20,0.478780358,0.148733301,-5.863227033,0.294050845,mtx,,,,,,,,,
1.7,dl,ri,,,,,,45,,45,20,-0.009458209,0.079280649,-3.407208801,0.251315852,mtx,,,,,,,,,
0.9,dl,R,,,,,,45.7,,45.7,20,0.390935202,0.114268772,-5.192624655,0.277279077,mtx,,,,,,,,,
8.8,dl,ri-sts,,,,,,47,,47,20,0.130111786,0.093853735,-5.739696258,0.227619314,mtx,,,,,,,,,
1.2,dl,ri,,,,,,47.7,,47.7,20,-0.004549954,0.176469103,-4.848248577,0.254603982,mtx,,,,,,,,,
3.9,ml,ml,,,,,,48.5,,48.5,20,0.167724721,0.095137404,-3.324891723,0.164833047,mtx,,,,,,,,,
2,dl,ri,,,,,,48.7,,48.7,20,0.343153297,0.096371994,-2.531692052,0.152446977,mtx,,,,,,,,,
1,dl,R,,,,,,49.2,,49.2,21,0.273091404,0.063429882,-2.864264915,0.082336425,mtx,,,,,,,,,
0.2,si,sts,,,,,,49.7,,49.7,21,0.375691951,0.126471997,-2.830905139,0.180820819,mtx,,,,,,,,,
1.6,dl,R,,,,,,50.4,,50.4,21,0.480661634,0.09570263,-3.328319246,0.272422078,mtx,,,,,,,,,
6,cover,cover,,,,,,50.6,,50.6,22,1.110201243,0.096380574,-2.178020706,0.113161361,mtx,,,,,,,,,
3.2,dl,ri,,,,,,51.3,,51.3,22,0.289909446,0.044499502,-2.611303481,0.178842148,mtx,,,,,,,,,
2.6,cover,cover,,,,,,52.5,,52.5,23,0.652939845,0.105423173,-2.461996663,0.202400814,mtx,,,,,,,,,
0.6,dl,ri-icb,,,,,,53.9,,53.9,23,0.370909342,0.118863243,-3.369826807,0.205495597,mtx,,,,,,,,,
1.9,si,sts-R,,,,,,55.1,,55.1,23,0.499953797,0.058966121,-2.900028583,0.145228032,mtx,,,,,,,,,
