Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,
T48,7/6/15,13.094908,39.225935,13.09797,39.224393,WGS84,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
3.5,ls,ri,,,89.4,89.4,,0,,0,0,2.887338794,0.13360826,-16.94760231,0.205665241,mtx
4.2,si,sts-gr,,,,,,1.6,,1.6,0,0.994224949,0.11031853,-13.62478585,0.248771358,mtx
11.4,cover,cover,,,,,,5.9,,5.9,1,2.090458329,0.124605759,-5.431441728,0.245375023,mtx
17.6,si,sts-gr,,,,,,27.9,,27.9,3,2.035523172,0.115294078,-2.17483033,0.250056657,mtx
10.8,cover,cover,,,,,,48.1,,48.1,6,0.543633462,0.113828446,-5.093139469,0.202576775,mtx
0.6,si,sts,,,,,,50.5,,50.5,13,2.068802397,0.117216249,-2.306282567,0.130904605,mtx
0.4,dl,gr,,,,,,54,,54,20,2.926012822,0,-11.27585522,0,mtx
0.1,si,sts,,,,,,54.8,,54.8,20,4.811390247,0.016261059,-12.1199199,0.053600551,mtx
0.1,dl,gr,bd,,,,,126,,126,36,-0.604530076,0.193114873,-4.741358557,0.604553882,mtx
0.5,dl,gr,,,,,,127.1,,127.1,39,-0.452981907,0.058411883,-3.865516412,0.151989162,mtx
0.1,si,sts,,,,,,128.2,,128.2,39,,,,,mtx
0.3,dl,gr,,,,,,128.3,,128.3,40,0.813329475,0.0651834,-3.69970942,0.135052858,mtx
0.4,dl,gr,bd,,,,,129.8,,129.8,40,2.064985454,0.107371953,-1.532962268,0.170339367,mtx
0.5,dl,gr,,,,,,131.4,,131.4,40,2.281088346,0.056460702,-2.103049809,0.217942472,mtx
0.3,si,sts,,,,,,134.6,,134.6,40,2.558414622,0.048102779,-1.76521205,0.200776213,mtx
0.1,dl,gr,,,,,,137.8,,137.8,40,2.429163613,0.046368233,-1.68735951,0.269835399,mtx
0.4,si,sts,,,,,,141,,141,40,1.876459247,0.06991819,-3.652572889,0.078079099,mtx
0.3,dl,gr,,,,,,,,,,,,,,
0.9,si,sts-gr,,,,,,,,,,,,,,
1.4,si,sts,,,,,,,,,,,,,,
3.7,ls,ri,,,,,,,,,,,,,,
1.6,si,bs,,,,,,,,,,,,,,
1.4,dl,gr,bd,,,,,,,,,,,,,
0.2,si,bs,,,,,,,,,,,,,,
0.7,dl,gr,bd,,,,,,,,,,,,,
0.1,si,bs,,,,,,,,,,,,,,
0.9,dl,gr,bd,,,,,,,,,,,,,
10.4,si,bs,,,,,,,,,,,,,,
14.8,cover,cover,,,,,,,,,,,,,,
15.1,si,sts,,,,,,,,,,,,,,
0.1,dl,gr,bd,,,,,,,,,,,,,
13,cover,cover,,,,,,,,,,,,,,
1.4,si,sts,,,,,,,,,,,,,,
7.9,si,mss,,,,,,,,,,,,,,
0.5,si,sts-mss,,,,,,,,,,,,,,
0.2,si,pcg,,,,,,,,,,,,,,
0.2,dl,gr,,,,,,,,,,,,,,
0.6,si,sts,,,,,,,,,,,,,,
0.4,dl,icb,,,,,,,,,,,,,,
1.1,dl,gr-sts,,,,,,,,,,,,,,
16,dl,st,,,,,,,,,,,,,,
