Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,
T51,7/7/15,13.14388,39.175456,13.145777,39.181586,WGS84,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
6,ls,ri,,,0,,0,0,4.875969553,0.105845853,-6.452032271,0.161726431,mtx
3.6,dl,st,,,3.2,,3.2,0,5.659434677,0.095050849,-7.480154611,0.180949758,mtx
0.4,ls,icb,,,7.6,,7.6,1,5.64617651,0.060477171,-4.954843208,0.136553996,mtx
0.2,ls,ri,,,10.5,,10.5,5,5.58082705,0.106015122,-7.432260324,0.147682141,mtx
0.3,ls,st,,,11,,11,6,5.785159237,0.039433298,-8.015233099,0.146954304,mtx
0.5,ls,ri,,,13.2,,13.2,10,4.721354548,0.111722346,-8.646665537,0.089883753,mtx
0.1,ls,icb,,,14.1,,14.1,11,5.34663841,0.085738874,-5.306974975,0.188507488,mtx
0.7,ls,ri,,,15.7,,15.7,12,4.661926048,0.090804077,-6.951967733,0.255725999,mtx
0.1,ls,icb,,,19,,19,12,5.325135033,0.039910757,-6.02211586,0.105468644,mtx
0.4,ls,gr,,,21.3,,21.3,12,4.959389669,0.082792431,-8.682971143,0.112917512,mtx
0.9,ls,icb,,,22.1,,22.1,12,4.830862413,0.071161626,-10.74785758,0.143926471,mtx
0.9,ls,gr,,,25.3,,25.3,12,5.17382389,0.138058557,-10.16449874,0.207209688,mtx
14,ls,st,,,28.1,,28.1,12,4.614570798,0.042590487,-7.14374829,0.196873853,mtx
8.4,ls,ri-gr,,,31.3,,31.3,13,4.747017842,0.073822289,-6.047172232,0.164282233,mtx
0.4,ls,gr,,,31.3,,31.3,13,4.668740517,0.152102796,-5.262456356,0.742129622,mtx
4,ls,ri-gr,,,36.5,,36.5,13,4.536161111,0.055156579,-6.148718894,0.12511371,mtx
4.9,ls,ri-ml,,,38.5,,38.5,15,3.811335756,0.081163139,-6.716302159,0.114286432,mtx
0.2,ls,gr,,,42.5,,42.5,16,3.171117366,0.07233513,-5.971449688,0.157657234,mtx
0.4,ml,ml,,,45.5,,45.5,16,3.958380458,0.127681155,-6.323290213,0.145122561,mtx
0.6,ls,ri,,,46.4,,46.4,19,3.956155233,0.095567998,-6.708814463,0.112561471,mtx
0.9,ml,ml,,,48.6,,48.6,21,2.899976039,0.105262536,-6.426843668,0.138548195,mtx
0.7,ls,gr,,,49.7,,49.7,23,4.45001509,0.081907086,-7.382074291,0.224426085,mtx
1.1,ml,ml-ri,,,52.7,,52.7,24,4.150294869,0.077541661,-8.509034942,0.175556653,mtx
3,ls,ri-ml,,,54.7,,54.7,26,2.697810828,0.071358841,-8.303400833,0.127084274,mtx
1.6,ls,ri,,,63,,63,27,5.506669958,0.106418003,-9.264718474,0.171671704,mtx
0.4,si,sts,,,63.2,,63.2,27,3.508593971,0.097894215,-9.926085247,0.238848374,mtx
0.4,ls,gr,bd,,64.7,,64.7,27,4.430958346,0.084483012,-9.888009618,0.111744194,mtx
25.7,si,sts-ri,,,66.3,,66.3,27,4.662629845,0.067613419,-9.607935401,0.255072286,mtx
5.9,si,sts,,,70.3,,70.3,27,5.140745913,0.071401336,-9.674314326,0.11928206,mtx
1.5,si,sts-ri,,,72.1,,72.1,27,6.376845091,0.095733723,-9.43554147,0.223614227,mtx
1.1,ls,ri,,,73.1,,73.1,27,5.635014107,0.079347731,-9.296500272,0.067370996,mtx
4.6,si,sts,,,75.3,,75.3,27,4.821542955,0.132770077,-9.986567598,0.146976891,mtx
4.4,si,bs,,,76.9,,76.9,27,3.308705969,0.083128406,-9.973315533,0.25273464,mtx
1.1,si,sts-ri,,,80.8,,80.8,27,2.866199515,0.074428589,-10.93150994,0.181251923,mtx
0.6,ls,ri,,,87.1,,87.1,29,1.119874005,0.063717919,-10.3814786,0.178151118,mtx
1.9,si,bs,,,88.2,,88.2,30,1.413820853,0.106085243,-8.590979422,0.24819276,mtx
0.3,ls,ri,,,89,,89,30,1.98115083,0.083559984,-10.22991075,0.232946586,mtx
2.4,si,bs,,,99.4,,99.4,34,1.602163269,0.053900591,-10.59147201,0.197702428,mtx
0.6,si,bs-ml,,,102.2,,102.2,36,0.483705575,0.067931958,-10.75068776,0.097779967,mtx
3.9,si,bs,,,109.1,,109.1,40,4.444113667,0.046101461,-11.35840533,0.236188759,mtx
2,ls,ri,,,132.7,,132.7,42,0.384093626,0.025630595,-1.845638705,0.161736854,mtx
20.9,si,bs,,,142.5,,142.5,44,-0.142406605,0.065437376,-6.211042678,0.117533017,mtx
0.7,ls,gr,bd,,144,,144,46,-1.00049159,0.126597244,-8.599562613,0.2334172,mtx
9.7,si,bs,,,145,,145,48,-0.949795987,0.064744407,-10.9248359,0.10525948,mtx
0.6,ls,gr,bd,,147,,147,49,-2.83407083,0.085512141,-9.539633934,0.118332245,mtx
