Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T37,6/7/15,,,,,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
1.8,dl,gr,icb,,68.7,68.7,,0.3,,0.3,0,,,,,mtx,,,,,,,,,
0.2,dl,mi,,,69.1,69.1,,1.6,,1.6,0,,,,,mtx,,,,,,,,,
2.7,dl,gr,icb+xb,,,,,1.9,,1.9,1,1.244461933,0.006279905,-3.139265465,0.095676614,mtx,,,,,,,,,
0.2,dl,icb,st,,,,,2.6,,2.6,2,,,,,mtx,,,,,,,,,
0.3,dl,gr,fn,,,,,4.5,,4.5,2,,,,,mtx,,,,,,,,,
0.2,dl,mi,,,,,,5.9,,5.9,8,-0.522893981,0.066125899,-4.198704212,0.151222508,mtx,,,,,,,,,
0.2,dl,gr,,,,,,6.3,,6.3,10,,,,,mtx,,,,,,,,,
0.2,dl,mi,,,,,,6.9,,6.9,10,0.46772303,0.062302977,-3.036295749,0.190773496,mtx,,,,,,,,,
0.1,dl,gr,,,,,,7.9,,7.9,10,,,,,mtx,,,,,,,,,
0.2,dl,gr,,,,,,8.4,,8.4,11,2.202803305,0.075163388,-1.515306099,0.124382261,mtx,,,,,,,,,
2,dl,gr,icb,,,,,9.8,,9.8,12,1.257798897,0.078749782,-2.882330669,0.159564078,mtx,,,,,,,,,
0.3,cover,cover,,,,,,11.8,,11.8,14,1.268137521,0.069749009,-1.60795827,0.27305525,mtx,,,,,,,,,
