Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,
T44,6/29/15,13.092484,39.181646,13.095301,39.178314,WGS84,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
1.2,dl,gr-sts,,,1.3,,1.3,1,0.65251971,0.089066968,-2.001589114,0.130753171,mtx
0.1,dl,gr,,,20.7,,20.7,4,-8.007071548,0.066240515,-2.473944099,0.138082698,mtx
1.8,dl,gr-sts,,,21.6,,21.6,4,-8.320404012,0.080251312,-3.95826721,0.232970137,mtx
17.6,si,sts,,,29.8,,29.8,8,-5.791130681,0.080986365,-4.654319431,0.195521563,mtx
1,dl,gr,,,32.3,,32.3,10,-6.634668576,0.053569706,-5.308369368,0.199398172,mtx
1.9,si,sts,,,42.1,,42.1,13,3.923811104,0.05623593,-7.061006786,0.138887536,mtx
1.8,cover,cover,,,43.4,SUB 0.2,43.2,14,2.603886416,0.089491967,-5.187595802,0.18601929,mtx
4.3,si,sts,,,44.5,ADD 0.2,44.5,15,5.973346453,0.114182759,-4.614784024,0.097541658,mtx
0.9,ls,gr,,,45.3,,45.3,16,6.520836081,0.053023189,-4.20751506,0.120638087,mtx
1.4,si,sts,,,47.3,,47.3,16,6.451448774,0.088740131,-4.408515935,0.115186872,mtx
0.4,ls,gr,,,49.8,,49.8,16,5.262516048,0.024547486,-5.61098256,0.136519203,mtx
4.6,cover,cover,,,51.2,,51.2,17,6.17941223,0.10134245,-5.121786766,0.176989886,mtx
4.9,ls,ri-sts,,,53.6,,53.6,18,5.047101768,0.047621412,-6.548739536,0.163596635,mtx
1,ls,ri,mts,,55.8,ADD 0.1,55.9,19,5.646037298,0.071942292,-5.254279481,0.155739409,mtx
0.3,ls,gr,mts,,56.3,,56.4,19,6.609213245,0.05717191,-4.189323266,0.063713026,mtx
1.4,ls,ri-sts,ssd,,57.3,,57.4,19,6.177001296,0.048564533,-4.902875582,0.152397375,mtx
5.2,ls,ri,,,58.1,,58.2,19,6.16592606,0.043310131,-4.702039076,0.121296652,mtx
2.7,ls,ri,ssd,,58.8,,58.9,19,6.453465229,0.072950507,-4.427147772,0.152473268,mtx
1.6,ls,ri,mts,,60.3,,60.4,20,3.428183215,0.062221588,-6.812954373,0.262372957,mtx
4.8,ls,ri,,,61,,61.1,20,3.845960214,0.146120534,-8.540929645,0.294889518,mtx
3,ls,gr,,,86.8,,86.9,25,-1.450972179,0.11572198,-6.209386491,0.162296482,mtx
