Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,
T53,7/13/15,13.879629,39.621401,13.879236,39.622152,WGS84,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
0.5,dl,gr,,,61.8,61.8,,21.9,,21.9,15,0.441124977,0,-5.174244187,0,mtx
1.4,cover,cover,,,63.5,63.5,,22.8,,22.8,15,1.52377261,0.089486296,-3.994702816,0.220461952,mtx
2.3,ml,ml,,,71.7,71.7,,23.4,,23.4,15,1.625660287,0.071542281,-3.133283942,0.192987291,mtx
0.6,ml,ml-gr,,,,,,24,,24,15,1.647857731,0.102092767,-2.881464266,0.084079259,mtx
1.3,cover,cover,,,,,,24.8,,24.8,15,1.425542485,0.066278361,-4.837930106,0.194322867,mtx
0.8,si,fss,,,,,,25.6,,25.6,15,1.931123994,0.087094791,-2.594290627,0.12822449,mtx
1.2,cover,cover,,,,,,26.4,,26.4,15,2.033771639,0.087409737,-2.400483093,0.152520177,mtx
0.7,si,fss,,,,,,27.9,,27.9,15,0.380597144,0.059102046,-3.270883548,0.116570438,mtx
4.8,cover,cover,,,,,,28.5,,28.5,15,1.636616926,0.059702052,-3.167494816,0.125627928,mtx
0.5,si,sts,,,,,,29.3,,29.3,16,0.476851176,0.040311505,-5.743164796,0.101574679,mtx
2.1,si,fss,,,,,,29.6,,29.6,16,-0.059784175,0.095517566,-4.24854136,0.108018763,mtx
1.2,cover,cover,,,,,,30.4,,30.4,16,-4.417483826,0.042657243,-2.853174719,0.14382729,mtx
2.5,si,mss,,,,,,74.9,,74.9,20,-5.288565014,0.082618149,-6.861000723,0.132882404,mtx
1,cover,cover,,,,,,75.4,,75.4,20,-3.186285077,0.092652684,-7.548726254,0.231107932,mtx
0.9,si,mss,,,,,,75.9,,75.9,23,-4.096348864,0.117304693,-7.475829654,0.14095221,mtx
7,dl,gr,,,,,,76.6,,76.6,25,-1.33398818,0.114192404,-7.911445292,0.108636567,mtx
1.6,dl,icb,,,,,,77.1,,77.1,25,0.611068683,0.082937063,-8.676300613,0.159813759,mtx
27.9,cover,cover,,,,,,77.9,,77.9,25,1.400633313,0.10033787,-8.469880121,0.070410145,mtx
5.3,si,sts,,,,,,78.9,,78.9,26,1.41479022,0.077479745,-5.839720565,0.069754662,mtx
11.3,si,sts-ri,,,,,,79.4,,79.4,26,2.388785648,0.087140839,-5.550158571,0.219795686,mtx
0.7,ls,ri,,,,,,79.8,,79.8,26,3.975455796,0.073143052,-5.43566355,0.150379636,mtx
0.1,ls,gr,,,,,,80.7,,80.7,26,4.463019415,0.083029836,-5.519841839,0.294506087,mtx
0.2,ls,ri-sts,,,,,,81.3,,81.3,26,4.525027072,0.073640993,-5.169023485,0.106514501,mtx
0.1,ls,gr,,,,,,82,,82,26,5.231215986,0.168761203,-5.108549489,0.218274808,mtx
0.5,si,sts,,,,,,82.5,,82.5,26,5.429545831,0.075110224,-5.071476873,0.094151114,mtx
1.4,si,sts-ri,,,,,,83.4,,83.4,26,4.99685731,0.033435754,-5.200754688,0.160978074,mtx
7.3,ls,ri-sts,,,,,,84.3,,84.3,26,5.570394785,0.088489037,-4.56129958,0.084581904,mtx
2.8,ls,ri-gr,,,,,,85,,85,26,5.854941927,0.100007039,-5.087501233,0.166791489,mtx
4.8,ls,ri,mts,,,,,85.7,,85.7,27,5.92606656,0.075769376,-4.905688796,0.202485692,mtx
7.3,ls,ri-gr,mts,,,,,86.4,,86.4,27,5.548250359,0.098871451,-4.963543308,0.14124655,mtx
2,ls,gr-ri,mts+ssd,,,,,87.5,,87.5,27,6.244406119,0.078749788,-4.627720278,0.192540444,mtx
,,,,,,,,87.8,,87.8,27,6.425130037,0.041360817,-4.584692045,0.122835643,mtx
,,,,,,,,89.6,,89.6,28,6.514640669,0.080331948,-3.829429714,0.249519984,mtx
,,,,,,,,91.2,,91.2,28,6.454966728,0.081122066,-4.507475989,0.079766143,mtx
,,,,,,,,94.2,,94.2,29,6.686695375,0.064176831,-4.489277032,0.122115086,mtx
,,,,,,,,97,,97,29,5.842016637,0.098421871,-4.698224581,0.229255885,mtx
,,,,,,,,101.6,,101.6,30,6.749998748,0.125807791,-5.118742889,0.160629399,mtx
,,,,,,,,102.1,,102.1,30,5.568080843,0.132273991,-4.860823559,0.111303481,mtx
