Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,
T56,7/18/15,13.85136,39.614409,13.851389,39.617206,WGS84,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_mts_mtx
1.2,si,sts,,,,,,147.4,,148.4,143,mtx
0.2,ls,gr,,,,,,152,,153,143,mtx
0.4,si,sts,,,,,,154.1,,155.1,144,mtx
0.2,ls,gr,,,,,,159.4,,160.4,146,mtx
0.3,si,sts-ml,,,,,,164.3,,165.3,146,mtx
0.2,ls,ri,,,,,,171.3,,172.3,146,mtx
1.3,cover,cover,,,,,,174.3,,175.3,148,mtx
0.6,ml,ml,,,,,,175.6,,176.6,148,mtx
0.3,ls,ri,,,,,,180.9,,181.9,149,mtx
2,ml,ml,,,,,,212,,213,153,mtx
0.2,ls,gr,,,,,,217.7,,218.7,156,mtx
3.9,ml,ml,,,,,,217.7,,218.7,156,mts
0.2,ls,gr,,,,,,219.2,,220.2,158,mtx
9.3,ml,ml,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,
7.6,ml,ml,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,
1.6,si,sts,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,
2.9,si,sts,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,
0.6,si,sts-gr,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,
0.9,ls,ri,,,,,,,,,,
0.6,si,sts,,,,,,,,,,
1.2,cover,cover,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,
0.6,ml,ml,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,
0.7,ml,ml,,,,,,,,,,
1.6,ls,ri-ml,,,,,,,,,,
0.7,ls,ri-sts,,,,,,,,,,
0.6,ls,ri,,,,,,,,,,
3.2,si,sts-ml,,,,,,,,,,
2.4,si,sts,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,
0.2,si,sts,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,
0.2,si,sts,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,
0.7,ls,gr,mts,,,,,,,,,
0.4,ml,ml,,,,,,,,,,
2.6,ls,ri,mts,,,,,,,,,
0.1,ls,gr,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,
