Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T52,7/8/15,13.165875,39.229059,13.165684,39.231943,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
0.3,ls,gr,,,46.2,46,,0,,0,0,5.510191698,0.025007091,-10.17971427,0.079062278,mtx,,,,,,,,,
0.2,ls,ri,,,46.8,46.6,,1.5,,1.5,5,5.520341307,0.078361794,-10.45353915,0.099008043,mtx,,,,,,,,,
0.3,ls,gr,,,,,,2.6,,2.6,8,,,,,mtx,,,,,,,,,
0.3,ls,ri,,,,,,3.3,,3.3,9,5.416086509,0.040310727,-10.65058325,0.131975371,mtx,,,,,,,,,
0.2,ls,gr,,,,,,4.8,,4.8,9,5.223801554,0.127455958,-10.43182288,0.210603511,mtx,,,,,,,,,
0.3,ls,ri,,,,,,6.7,,6.7,11,5.600945224,0.052431157,-5.225420077,0.048762647,mtx,,,,,,,,,
0.3,ls,gr,,,,,,9.8,,9.8,11,5.664984569,0.107337946,-5.937800153,0.170781352,mtx,,,,,,,,,
0.2,ls,ri,,,,,,13,,13,11,4.36429934,0.110322811,-5.27531987,0.077919119,mtx,,,,,,,,,
1.1,ls,gr,,,,,,14.6,,14.6,11,5.019483403,0.110112886,-5.152367985,0.062569167,mtx,,,,,,,,,
2.3,ls,st,,,,,,17.8,,17.8,11,5.377057735,0.09166754,-5.537456947,0.114798434,mtx,,,,,,,,,
1.1,ls,gr-ri,,,,,,19.4,,19.4,11,5.21950368,0.133845244,-5.094912883,0.371056462,mtx,,,,,,,,,
16.6,ls,st,,,,,,21,,21,11,4.568616158,0.094465149,-6.016214755,0.07556567,mtx,,,,,,,,,
1.2,ls,gr,,,,,,22.6,,22.6,11,5.170877861,0.088876074,-4.985176845,0.104878509,mtx,,,,,,,,,
3.8,ls,st,,,,,,23.5,SUB 0.2,23.3,12,3.555099412,0.05295628,-7.425777856,0.14416801,mtx,,,,,,,,,
0.2,ml,ml,,,,,,24.5,,24.3,12,4.273244209,0.083547725,-10.10233931,0.131504176,mtx,,,,,,,,,
1.4,ls,gr-sts,,,,,,25.8,,25.6,13,4.119185594,0.065993969,-6.746365412,0.1086131,mtx,,,,,,,,,
