Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T41,6/22/15,,,,,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
0.7,si,pcg,,,47.8,47.8,,159,,159,29,2.021222686,0.145833409,-9.526567659,0.390173655,mtx,,,,,,,,,
8.3,si,mss,,,,,,159.2,,159.2,29,4.972240015,0.109331534,-7.429980558,0.146639231,mtx,,,,,,,,,
1.7,cover,cover,,,,,,167.1,SUB 0.1,167,37,2.497291788,0.058900523,-8.845637871,0.189228346,mtx,,,,,,,,,
6.2,si,pcg,,,,,,175.5,,175.4,39,-3.729406539,0.096347792,-12.60819605,0.271166335,mtx,,,,,,,,,
3.5,cover,cover,,,,,,180.4,,180.3,41,3.399507471,0.130632287,-9.564854708,0.094211259,mtx,,,,,,,,,
1.5,si,pcg,,,,,,180.5,,180.4,41,2.807923678,0.068662835,-9.341862833,0.120164212,mtx,,,,,,,,,
3.5,cover,cover,,,,,,189,,188.9,43,-0.621530857,0.045698823,-15.93219466,0.53920567,mtx,,,,,,,,,
6.8,si,mss,,,,,,189.1,,189,43,0.642046552,0.086405681,-10.67451202,0.25114988,mtx,,,,,,,,,
1.5,ba,m,,,,,,195.1,,195,47,-4.285291185,0.15143631,-8.351904471,0.218425207,mtx,,,,,,,,,
1.3,ba,mves,,,,,,198.7,,198.6,49,-3.222925207,0.078377452,-10.66179649,0.115538094,mtx,,,,,,,,,
1,ba,ves,,,,,,237.6,,237.5,58,-11.73343941,0.062546723,-15.34040947,0.200274202,mtx,,667.9819017,425191.8819,4817.312015,5541.608458,6635.580838,166.1793167,340.3832717,924.3159043
2,ba,m,,,,,,238.3,,238.2,60,-9.799603842,0.047268138,-14.92965097,0.228114085,mtx,,,,,,,,,
4,ba,mves,,,,,,242.6,,242.5,64,-10.00902977,0.047489633,-14.7360881,0.216684214,mtx,,613.5718105,390214.9164,3517.467386,3200.744177,6532.619839,72.08605303,171.503104,1709.469893
2.5,ba,ves,,,,,,244.4,,244.3,70,-7.874124187,0.050673254,-14.40555856,0.285560797,mtx,,,,,,,,,
0.4,si,fss,,,,,,245.1,,245,72,-8.393418606,0.065002758,-14.95249574,0.198490012,mtx,,,,,,,,,
2.3,si,mss,,,,,,245.9,,245.8,74,-9.55056419,0.080832811,-14.89571918,0.326911156,mtx,,,,,,,,,
0.6,si,vfss,txb,,,,,247.2,SUB 1.0,246.1,76,-6.123234911,0.05490131,-14.78690943,0.205911806,mtx,,829.7682578,374122.3043,3111.753822,2571.423519,7606.606689,317.2901512,164.4809871,2202.498098
0.9,volc,tuff,,,,,,255.1,,254,81,-7.793733563,0.062215672,-13.99634652,0.21628045,mtx,,,,,,,,,
3.5,si,fss,pl,,,,,260.6,,259.5,84,-7.991614864,0.096345852,-14.44551449,0.283088776,mtx,,,,,,,,,
10.1,cover,cover,,,,,,262.1,,261,86,-5.901247469,0.116238506,-13.76462787,0.256746249,mtx,,1019.347825,382191.9612,2966.386021,2493.126517,6658.516275,797.3452938,62.04334129,1373.909928
8.1,si,fss,sxb,,,,,263.2,,262.1,88,-11.86263567,0.049690607,-13.83429067,0.182846815,mtx,,649.6593017,406705.3496,3724.538851,4175.194538,4328.371231,181.2957887,141.8890623,1367.419161
1.2,cover,cover,,,,,,264.6,,263.5,91,-5.190834575,0.114822651,-13.77939224,0.15538553,mtx,,1072.664175,372510.0465,2802.825013,2305.081423,7872.337793,927.1566615,70.23253506,1230.435653
2.5,si,vfss,pl,,,,,266.4,,265.3,94,-7.815677275,0.052818351,-13.08694284,0.145634432,mtx,,,,,,,,,
1.6,cover,cover,,,,,,287.2,,286.1,103,-10.27548027,0.057205402,-14.10089997,0.106223298,mtx,,,,,,,,,
21.1,si,fss,sxb,,,,,288,,286.9,105,-8.096686599,0.146710317,-13.97403239,0.260814037,mtx,,,,,,,,,
3.8,cover,cover,,,,,,288.9,,287.8,109,-9.140912063,0.066609077,-13.92776279,0.238004538,mtx,,,,,,,,,
