Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,
T54,7/15/15,14.039142,39.666519,14.037756,39.659484,WGS84,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
13.7,si,br,,,26.4,,26.4,4,1.937852899,0.027312782,-6.538344364,0.067792799,mtx
2.6,si,fss,,,26.8,,26.8,4,2.92437993,0.036840708,-5.472063051,0.07259222,mtx
0.9,si,sts,,,28.1,,28.1,4,2.735153056,0.145430673,-4.549772668,0.124240633,mtx
6.2,cover,cover,,,30.6,,30.6,4,3.12947745,0.070452428,-3.675296708,0.166162056,mtx
10.8,dl,R,,,32.4,,32.4,4,3.403764166,0.052176313,-3.157593121,0.259512362,mtx
5.5,si,sts,,,33.1,,33.1,4,2.962582967,0.037439748,-2.88685408,0.102979307,mtx
0.9,si,pcg,,,34.1,,34.1,4,2.996100247,0.047318975,-3.344595411,0.0806,mtx
0.1,si,fss,,,61.3,,61.3,12,1.893771876,0.062916669,-7.806692409,0.074735844,mtx
0.7,si,pcg,,,69,,69,14,-0.689056417,0.099616751,-6.431497827,0.192631138,mtx
0.5,si,pcg,,,69.8,,69.8,16,-0.650437115,0.045467713,-5.725301857,0.111537147,mtx
17.7,si,sts,,,70.7,,70.7,16,1.931777485,0.056496747,-4.089555252,0.113934688,mtx
1.2,si,sts,,,71.7,,71.7,18,1.385178646,0.063603574,-5.358960164,0.126468424,mtx
0.6,dl,R,bd,,74.1,,74.1,22,,,,,mtx
7.5,si,sts,,,74.8,,74.8,24,1.641372473,0,-6.029545488,0,mtx
0.1,dl,ri,,,76.3,,76.3,24,2.421078456,0.068681359,-5.106637931,0.185670224,mtx
0.6,si,sts,,,77.7,,77.7,24,0.338517375,0.014005924,-5.819150629,0.086208501,mtx
1.2,dl,icb,,,87.1,,87.1,28,2.849056848,0.059568032,-5.243784213,0.168565241,mtx
0.3,si,sts,,,87.9,,87.9,30,2.95694284,0.045132581,-5.38588444,0.278264463,mtx
1,dl,R,,,91.9,,91.9,33,2.320003021,0.038733103,-6.042046164,0.201823065,mtx
0.5,si,sts,,,325.1,SUB 1.0,324.1,36,-0.258320503,0.0543436,-5.193702596,0.159139691,mtx
0.4,si,bs,,,326.9,,325.9,36,0.342751027,0.133294979,-4.406773884,0.142611557,mtx
0.6,si,sts,,,329.5,,328.5,36,1.619905662,0.130234657,-4.97062426,0.362734805,mtx
0.6,dl,R,,,331.7,,330.7,36,0.823533167,0.05636861,-4.152892049,0.085867882,mtx
0.5,ml,ml,,,333.3,,332.3,36,0.951079354,0.05257152,-4.254110977,0.114491057,mtx
3.1,dl,R,bd,,335.1,,334.1,36,0.994256342,0.0568473,-3.611367114,0.110749252,mtx
1.1,si,sts,,,338.1,,337.1,36,1.452668392,0.043574507,-3.720334829,0.137265529,mtx
0.3,dl,R,bd,,392,,391,38,1.386019655,0.07129857,-6.296746431,0.323969709,mtx
7.8,si,sts,,,398,,397,40,0.940516719,0.069990564,-9.603920402,0.133590481,mtx
0.2,dl,R,bd,,403,,402,40,1.047783264,0.057971856,-9.16054757,0.258695848,mtx
0.7,si,sts,,,406.6,,405.6,40,0.144201027,0.035970517,-4.835320855,0.258680138,mtx
0.1,dl,R,bd,,409.8,,408.8,40,1.060988288,0.084059901,-8.168748062,0.248641283,mtx
1.6,si,sts-R,,,413.4,,412.4,40,0.32695953,0.072273732,-6.397463848,0.237447978,mtx
2.1,ml,ml,,,417.2,,416.2,42,-1.030500085,0.05373326,-6.995301484,0.109921917,mtx
0.4,dl,R,,,420.3,,419.3,42,-0.891626076,0.057226784,-4.554031302,0.10247498,mtx
1.6,si,sts,,,423.5,,422.5,42,-0.395126779,0.093666144,-4.943489294,0.142355052,mtx
229,cover,cover,,,426.7,,425.7,42,-0.188842824,0.07766976,-4.682922577,0.303002514,mtx
14.4,dl,R-sts,,,431.1,,430.1,42,0.992502068,0.053013947,-4.431227942,0.083164043,mtx
53.5,cover,cover,,,437.1,SUB 2.0,434.1,44,1.13069629,0.089548962,-4.291001601,0.149284561,mtx
0.5,dl,R,,,438.1,,435.1,44,0.258981483,0.059418811,-6.577143391,0.129153502,mtx
4.9,cover,cover,,,441.1,,438.1,46,-1.134648352,0.073512829,-7.420451763,0.239634453,mtx
16.4,dl,R,,,442.3,,439.3,46,-0.213467942,0.061997221,-5.1325665,0.307142469,mtx
3.7,cover,cover,,,443,,440,46,-0.12236088,0.058573252,-5.140096542,0.14675144,mtx
14.4,dl,R,,,446.7,,443.7,46,-0.180592619,0.079253853,-3.992825212,0.1402474,mtx
3.5,cover,cover,,,448.7,,445.7,46,-0.867961611,0.056442879,-6.599692941,0.189475089,mtx
1.1,dl,R,,,450.1,,447.1,46,-0.105558554,0.017374416,-5.475076152,0.021199469,mtx
3,cover,cover,,,453.9,,450.9,48,1.184896428,0.054949379,-4.759999601,0.082762923,mtx
9.4,dl,R,,,455.6,,452.6,48,0.88835806,0.065711185,-4.507121643,0.138985851,mtx
3.4,cover,cover,,,459.8,,456.8,50,1.534126849,0.053688733,-3.989892917,0.189020885,mtx
2.7,dl,R,,,461.3,,458.3,50,1.065647932,0.045503932,-3.997749081,0.098925735,mtx
3.1,cover,cover,,,462.7,,459.7,50,0.738095982,0.044970613,-4.219561737,0.143252562,mtx
3.2,dl,R,,,472.6,,469.6,52,0.358301316,0.071664591,-4.370677668,0.142067361,mtx
9.7,cover,cover,,,474.4,,471.4,52,1.041121224,0.071464846,-3.619437137,0.153634116,mtx
1.9,dl,icb,,,491.5,,488.5,54,0.917562073,0.034896876,-3.165312471,0.066868248,mtx
16.9,cover,cover,,,493.1,,490.1,54,0.624181394,0.059034746,-3.074879716,0.066113463,mtx
3.2,dl,R,,,495.3,,492.3,56,2.599175455,0.082298532,-0.220542707,0.096837039,mtx
0.2,dl,icb,,,496.8,,493.8,61,0.140668176,0.056079443,-3.109964318,0.088383649,mtx
0.5,dl,gr,,,499,,496,63,1.997514104,0.041527944,-2.148329614,0.148431531,mtx
0.5,dl,ri,,,499.6,,496.6,63,1.111734326,0.077929027,-2.440345822,0.171062461,mtx
0.4,dl,icb,,,501.2,,498.2,63,1.592138871,0.054677518,-1.913653177,0.110563089,mtx
0.2,dl,gr,,,502.2,,499.2,64,0.501962141,0.058523062,-3.021878323,0.178405489,mtx
0.2,dl,ri,,,503.1,,500.1,65,2.510850304,0.05177353,-0.529757351,0.089611932,mtx
0.4,dl,gr,,,505.2,,502.2,66,1.357795195,0.060368009,-1.89853374,0.098146578,mtx
1,dl,icb,,,506.2,,503.2,68,2.858316515,0.081433243,-0.512873723,0.17089087,mtx
3.3,dl,ri,,,507,,504,68,2.43799682,0.048234727,-0.921736919,0.067464348,mtx
0.9,dl,gr,,,508.8,,505.8,68,1.107047599,0.063597046,-2.200436963,0.109302772,mtx
1.6,dl,icb,,,511.2,,508.2,70,1.151913642,0.095041298,-0.473422197,0.181216051,mtx
1.4,dl,gr,,,513.9,,510.9,70,1.297840159,0.073072087,0.102334363,0.210607584,mtx
0.2,dl,icb,,,533.8,SUB 0.8,530,74,2.198051755,0.088436165,-1.59154404,0.286085913,mtx
3.4,dl,gr-icb,,,535.4,,531.6,74,2.351296393,0.106117681,-1.26645905,0.204937376,mtx
1.7,cover,cover,,,537,,533.2,74,2.411871534,0.095195271,-1.599690653,0.211593239,mtx
3.6,dl,gr,,,537,,533.2,74,1.949975444,0.100280347,-2.156643097,0.249931288,mtx
2.5,dl,icb,,,540.2,,536.4,74,2.035383184,0.084260509,-1.573753681,0.13964662,mtx
1.3,dl,gr,,,541.8,,538,74,1.620114363,0.088885448,-2.497876,0.130680872,mtx
3.8,cover,cover,,,542.2,,538.4,74,1.589381619,0.087689792,-1.810245818,0.171398929,mtx
22.6,dl,R,,,545.1,,541.3,74,1.892694627,0.118696973,-2.752075036,0.245572302,mtx
5,cover,cover,,,550.5,,546.7,76,0.815636376,0.079690837,-3.601368948,0.129858461,mtx
1.4,dl,R,,,551.5,,547.7,76,0.644301423,0.069794829,-3.98544053,0.087218664,mtx
5.9,cover,cover,,,562.4,,558.6,79,1.054877092,0.086756847,-4.017487663,0.421249203,mtx
5,si,sts,,,564,,560.2,79,1.285406275,0.079074857,-4.250377174,0.247239006,mtx
3,dl,gr,bd,,565.4,,561.6,79,1.257441329,0.081365242,-4.118304369,0.164044844,mtx
4.3,si,sts,,,591.5,,587.7,85,-6.126972573,0.141306152,-5.525840112,0.272486277,mtx
7.3,cover,cover,,,595.5,,591.7,87,3.895424228,0.088318142,-8.102145919,0.279021359,mtx
8.9,si,sts,,,596.9,,593.1,88,1.972287154,0.097181598,-13.26150874,0.117853794,mtx
4.8,cover,cover,,,597.4,,593.6,88,3.805489215,0.028928749,-8.733124595,0.094557361,mtx
0.6,si,sts,,,598.8,,595,88,4.115397877,0.046195647,-5.803816106,0.184621956,mtx
0.4,dl,gr,,,600.8,,597,88,4.517691736,0.077431979,-6.252332018,0.129831216,mtx
2.9,cover,cover,,,602.4,,598.6,88,5.199739373,0.045273483,-5.72729987,0.17239132,mtx
2.1,si,sts,,,605.6,,601.8,88,4.87198731,0.042454774,-7.938353428,0.132190138,mtx
14.8,ls,ri,,,606,,602.2,88,5.726087273,0.095315341,-5.446301414,0.221828563,mtx
6.4,ls,ri,mts,,607.6,,603.8,88,6.235738719,0.090945242,-4.570116435,0.092451973,mtx
,,,,,610.5,,606.7,88,5.48951513,0.093039453,-7.167179893,0.143649318,mtx
,,,,,613.1,,609.3,89,6.16045321,0.08582769,-6.240576257,0.14846606,mtx
,,,,,614.6,,610.8,89,5.579791503,0.110691159,-6.892299715,0.135253218,mtx
,,,,,617.5,,613.7,89,6.260038176,0.117523402,-5.947277811,0.141338984,mtx
