Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T45,6/30/15,13.096339,39.175238,13.099383,39.166055,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
1.7,ls,gr,,,139.2,134.2,,0.2,,0.2,0,6.318073581,0.056653012,-6.026032035,0.195913191,mtx,0.706609396,250.4192243,475094.8407,2346.933173,4067.058508,235.7039093,350.3444255,93.40061264,1763.210113
0.3,ls,icb,,,246.3,240.3,,2,,2,2,2.620714812,0.051499564,-7.177554753,0.136204465,mtx,,,,,,,,,
1.5,ls,gr,,,335,329,,3.8,,3.8,4,5.403370569,0.022522667,-9.599898009,0.254212541,mtx,,,,,,,,,
0.3,ls,icb,,,354.4,348.4,,5.8,,5.8,6,5.635880863,0.083886694,-9.737897077,0.167720911,mtx,,,,,,,,,
0.3,ls,gr,,,361.9,355.9,,6.5,,6.5,6,5.245664755,0.059628422,-11.14175614,0.209361477,mtx,,,,,,,,,
1.7,cover,cover,,,397.7,391.7,,7.7,,7.7,7,5.07683538,0.042702907,-11.42354409,0.20956236,mtx,,,,,,,,,
0.8,ls,st,,,495.3,489.3,,9.5,,9.5,7,5.427258982,0.082218167,-4.159609037,0.137004528,mtx,,,,,,,,,
2.9,ls,icb,,,,,,11.8,,11.8,9,5.060466041,0.033247374,-5.38923865,0.199874286,mtx,,20.02202471,307969.4481,918.2717684,165474.0773,430.5613931,167.528894,-48.89057247,223.9366793
2.3,cover,cover,,,,,,13.6,,13.6,10,5.653995446,0.074491999,-3.307312155,0.112199795,mtx,,,,,,,,,
1.6,ls,gr,,,,,,14.7,,14.7,10,5.380020064,0.083410362,-3.965396768,0.187943385,mtx,,,,,,,,,
3.2,ls,st,,,,,,15.7,,15.7,10,5.196880775,0.07401846,-4.940032815,0.145462522,mtx,,,,,,,,,
2.4,cover,cover,,,,,,19.1,,19.1,12,5.733348955,0.041665064,-3.782989216,0.213060231,mtx,,,,,,,,,
4.9,dl,st,,,,,,20.6,,20.6,12,5.502737557,0.054539298,-2.184518275,0.30851053,mtx,,,,,,,,,
1.3,cover,cover,,,,,,21.5,,21.5,12,5.51772269,0.066164603,-2.406447268,0.219492063,mtx,,,,,,,,,
2.3,dl,gr,,,,,,22.2,,22.2,12,5.202555605,0.079557395,-2.029142861,0.054460541,mtx,,,,,,,,,
4.7,dl,st,,,,,,25.3,,25.3,14,5.355519911,0.078434055,-2.864977593,0.201533776,mtx,,,,,,,,,
1.1,dl,gr,,,,,,27.6,,27.6,15,5.323107683,0.02292848,-3.129652044,0.127527168,mtx,,,,,,,,,
3.1,dl,st,,,,,,32.2,,32.2,16,5.121518436,0.038064377,-3.394381709,0.129943446,mtx,,,,,,,,,
1.9,cover,cover,,,,,,33.3,,33.3,16,5.077439777,0.076169714,-3.287578798,0.153464797,mtx,,48.37989028,214674.9096,385.4121157,125373.4504,196.4111864,236.6261164,-32.15245441,74.24587565
5.1,dl,gr,,,,,,34.9,,34.9,17,4.706058852,0.067626316,-3.779084144,0.218840289,mtx,,,,,,,,,
15.6,cover,cover,,,,,,36.3,,36.3,17,4.811163292,0.06342131,-3.438207081,0.197357236,mtx,,,,,,,,,
1.5,si,sts,,,,,,38.3,,38.3,19,4.537961523,0.025695752,-5.606995633,0.104884054,mtx,,,,,,,,,
0.5,dl,gr,,,,,,39.9,,39.9,19,4.342400975,0.082459611,-5.388513869,0.187001035,mtx,,,,,,,,,
1.1,si,sts,,,,,,42.1,,42.1,19,4.674329462,0.078700362,-4.286406828,0.478555724,mtx,,,,,,,,,
0.3,ls,ri,,,,,,61,,61,22,1.886868165,0.041317191,-4.689407572,0.246790613,mtx,,,,,,,,,
1.3,si,sts,,,,,,63.7,,63.7,26,3.52558657,0.060080925,-6.339244607,0.209267178,mtx,,,,,,,,,
0.2,ls,ri,,,,,,64.5,,64.5,28,,,,,mtx,,,,,,,,,
0.4,si,sts,,,,,,65.5,,65.5,30,3.809539121,0.083423738,-11.04705878,0.310261203,mtx,0.706497423,1321.056556,490372.1012,3507.973138,5880.802767,1129.33266,9475.418819,2053.599222,1816.636026
0.2,ls,ri,,,,,,66.3,,66.3,32,2.168164902,0.125158066,-8.857420932,0.318491367,mtx,,,,,,,,,
0.8,si,sts,,,,,,67.1,,67.1,34,3.634105589,0.114312437,-9.59953261,0.135264364,mtx,,,,,,,,,
0.3,ls,ri,,,,,,67.9,,67.9,36,4.602602055,0.071706481,-10.54824744,0.281814819,mtx,,,,,,,,,
0.7,si,sts,,,,,,68.9,,68.9,38,3.79198344,0.044993578,-10.51330923,0.111332596,mtx,,,,,,,,,
0.1,ls,ri,,,,,,69.7,,69.7,40,4.456479051,0.063261984,-10.36018005,0.199101582,mtx,,,,,,,,,
0.7,si,sts,,,,,,69.9,,69.9,42,4.270468065,0.100913645,-10.31956405,0.218079523,mtx,,,,,,,,,
0.1,ls,ri,,,,,,70.3,,70.3,44,5.012547504,0.050565945,-10.88317785,0.200117135,mtx,,,,,,,,,
0.4,si,sts-ri,,,,,,71,,71,46,4.051520373,0.045094967,-9.923937487,0.202702423,mtx,,,,,,,,,
0.3,ls,ri,,,,,,71.7,,71.7,48,4.120327203,0.04192462,-10.16143425,0.284983278,mtx,,,,,,,,,
0.9,si,sts,,,,,,72.3,,72.3,50,4.028781289,0.088501403,-10.06488849,0.372418414,mtx,,,,,,,,,
0.1,ls,ri,,,,,,72.8,,72.8,51,4.165115995,0.054682334,-9.486458413,0.232696564,mtx,,,,,,,,,
0.7,si,sts,,,,,,74.2,,74.2,53,4.534153091,0.039484375,-10.28064679,0.148959095,mtx,,,,,,,,,
0.1,ls,ri,,,,,,75.4,,75.4,55,5.259530255,0.034948094,-9.845660272,0.196489243,mtx,,,,,,,,,
0.2,si,sts,,,,,,77.5,,77.5,59,4.305683205,0.097968465,-9.447257565,0.232562117,mtx,,,,,,,,,
0.1,ls,ri,,,,,,78.5,,78.5,61,4.282358305,0.086810092,-9.095573918,0.287892853,mtx,,,,,,,,,
0.3,si,sts,,,,,,80.1,,80.1,65,,,,,mtx,0.706467471,1208.57174,297029.5562,1993.882236,5075.137139,452.4725439,11123.64557,1946.158125,811.0200642
0.1,ls,ri,,,,,,80.7,,80.7,67,3.530545948,0.07633623,-9.439168037,0.211697442,mtx,,,,,,,,,
0.5,si,sts,,,,,,82.6,,82.6,67,5.465536586,0.085370298,-8.887187006,0.326059879,mtx,,,,,,,,,
0.2,ls,ri,,,,,,83.6,,83.6,67,5.32729043,0.083888475,-8.698555505,0.349486405,mtx,,,,,,,,,
0.6,si,sts-ri,,,,,,85.6,,85.6,67,7.291274157,0.090209957,-8.888114053,0.414611565,mtx,,,,,,,,,
0.1,ls,gr,,,,,,90.1,,90.1,71,7.21380369,0.063378999,-9.862908654,0.204516174,mtx,,,,,,,,,
0.4,si,sts,,,,,,91.1,,91.1,72,4.132664139,0.047810346,-8.492731274,0.210275782,mtx,,,,,,,,,
0.2,ls,ri,,,,,,92.1,,92.1,72,3.360719282,0.056847624,-8.990788168,0.309100238,mtx,,,,,,,,,
0.8,ls,ri-sts,,,,,,94.9,,94.9,73,3.055969416,0.139363043,-9.31913853,0.35982678,mtx,,,,,,,,,
1,si,sts-ri,,,,,,97.7,,97.7,75,5.748856575,0.101999728,-8.457827509,0.284169602,mtx,,,,,,,,,
0.1,ls,ri,,,,,,100.1,,100.1,75,5.890541629,0.123314904,-9.089648475,0.32044167,mtx,,,,,,,,,
0.8,cover,cover,,,,,,101.2,,101.2,77,2.936549832,0.121452413,-9.112236364,0.27772759,mtx,,,,,,,,,
0.3,ls,ri,,,,,,102.9,,102.9,77,1.795945568,0.036659886,-8.823040807,0.369251304,mtx,,,,,,,,,
0.7,si,sts,,,,,,112.2,,112.2,79,2.38310658,0.13080513,-10.10932392,0.348361635,mtx,0.706182584,251.2461782,293091.7667,9482.328005,32104.13659,617.1495483,577.6128384,162.5526793,656.5922418
0.3,ls,ri-sts,,,,,,114.4,,114.4,80,3.158954658,0.092187271,-8.578713161,0.263051487,mtx,,,,,,,,,
1,si,sts,,,,,,116.4,,116.4,80,3.856610464,0.087206384,-9.448148805,0.38917381,mtx,,,,,,,,,
0.3,ls,ri-sts,,,,,,141.2,SUB 5.0,136.2,84,0.134836406,0.05155722,-12.2186812,0.245446849,mtx,,,,,,,,,
0.8,si,sts-ri,,,,,,142.2,,137.2,84,-1.427682866,0.048362822,-12.57329931,0.244622108,mtx,,,,,,,,,
0.3,ls,ri,,,,,,145.8,,140.8,86,-3.243909311,0.098612241,-13.27646428,0.385859332,mtx,0.706337571,249.7352302,422918.2709,1157.525236,1787.423074,338.0299868,2342.661894,265.7236395,5644.635096
0.7,si,sts-ri,,,,,,160.9,,155.9,88,2.837438643,0.073892732,-12.46032857,0.117237221,mtx,,,,,,,,,
0.1,ls,ri,,,,,,162.9,,157.9,88,3.534255871,0.055421286,-12.88822455,0.14500425,mtx,0.706470466,74.81290016,409146.1884,142.9181337,1270.256403,37.16274199,3334.149685,565.498308,3619.105143
0.4,si,sts,,,,,,166.3,,161.3,92,-2.578622023,0.106525543,-4.901887767,0.257579785,mtx,,,,,,,,,
0.1,ls,ri,,,,,,167.6,,162.6,92,,,,,mtx,,,,,,,,,
0.5,si,sts,,,,,,172.4,,167.4,92,-0.203375298,0.041078257,-7.857612404,0.3807764,mtx,,,,,,,,,
5.6,ls,ri-sts,,,,,,174.5,,169.5,92,-2.708500121,0.029494152,-12.26538838,0.17313135,mtx,0.706248185,950.5446202,405515.1773,1277.453801,6050.963971,2502.49199,5239.27797,750.6194068,2374.817048
1.3,cover,cover,,,,,,221.6,SUB 1.0,215.6,95,-3.233294551,0.051653768,-7.469379017,0.128390669,mtx,,,,,,,,,
0.5,ls,ri,,,,,,222.5,,216.5,97,-2.417599375,0.073467358,-7.780161649,0.271584532,mtx,,,,,,,,,
1.6,cover,cover,,,,,,223.6,,217.6,97,-2.79412512,0.089710861,-8.595592625,0.29325775,mtx,,,,,,,,,
0.5,ls,ri,,,,,,224.9,,218.9,99,-1.891745571,0.080165041,-9.225004921,0.151593798,mtx,,369.1455127,270818.9298,15946.18572,94792.28663,1678.490771,1511.347039,-189.7424315,1340.375544
4.6,ls,ri-sts,,,,,,227.1,,221.1,101,-2.346020638,0.068342054,-10.71097634,0.187901639,mtx,,,,,,,,,
0.2,ls,gr,,,,,,227.4,,221.4,101,-0.650969122,0.088457879,-12.20732584,0.321710735,mtx,,,,,,,,,
2.5,cover,cover,,,,,,230.6,,224.6,101,-3.349734593,0.098833329,-11.06588072,0.340260556,mtx,,,,,,,,,
