Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,
T55,7/16/15,14.043881,39.6385,14.040414,39.642098,WGS84,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
37.1,si,sts,cry(py)+qv,,257.1,257.1,,408,,408,85,0.519124281,0.094746162,-6.937338264,0.257001797,mtx
78,si,sts,cry(py),,,,,410.3,,410.3,87,0.393497998,0.025877656,-6.778097041,0.135815275,mtx
1.2,si,sts,,,,,,414.1,,414.1,89,-0.289477041,0.089355168,-6.712561769,0.172256693,mtx
0.7,cover,cover,,,,,,437.6,,437.6,98,1.050285642,0.092614188,-7.154237077,0.292092661,mtx
60.8,si,sts,cry(py),,,,,462.3,,462.3,101,-3.537621182,0.076672628,-7.293369373,0.103942306,mtx
6.5,si,sts,cry(py)+qv,,,,,466.1,,466.1,105,1.258416684,0.11416931,-6.315671344,0.179295025,mtx
13.9,si,sts,cry(py),,,,,,,,,,,,,
11.6,si,sts,cry(py)+qv,,,,,,,,,,,,,
22.4,si,sts,cry(py),,,,,,,,,,,,,
33.3,si,sts,cry(py)+rs,,,,,,,,,,,,,
12.4,si,di2,cry(py),,,,,,,,,,,,,
0.2,si,pcg,cry(py),,,,,,,,,,,,,
0.5,si,sts,cry(py),,,,,,,,,,,,,
0.2,si,pcg,cry(py),,,,,,,,,,,,,
0.2,si,sts,cry(py),,,,,,,,,,,,,
0.2,si,pcg,cry(py),,,,,,,,,,,,,
3.7,si,di1,cry(py),,,,,,,,,,,,,
17.5,si,sts,cry(py),,,,,,,,,,,,,
3.6,si,di1,cry(py),,,,,,,,,,,,,
0.1,si,mss,cry(py),,,,,,,,,,,,,
0.2,si,di1,cry(py),,,,,,,,,,,,,
0.7,si,mss,cry(py)+bd,,,,,,,,,,,,,
1,si,sts,cry(py),,,,,,,,,,,,,
0.2,si,mss,cry(py),,,,,,,,,,,,,
0.1,si,fss,cry(py),,,,,,,,,,,,,
1.2,si,sts,cry(py),,,,,,,,,,,,,
0.2,si,mss,cry(py),,,,,,,,,,,,,
0.1,si,sts,cry(py),,,,,,,,,,,,,
0.2,si,mss,cry(py),,,,,,,,,,,,,
1.6,si,sts,cry(py),,,,,,,,,,,,,
0.1,si,fss,cry(py),,,,,,,,,,,,,
3.4,si,sts,cry(py),,,,,,,,,,,,,
0.1,si,mss,cry(py),,,,,,,,,,,,,
0.5,si,sts-fss,cry(py),,,,,,,,,,,,,
0.6,si,sts-fss,cry(py)+qv,,,,,,,,,,,,,
4.5,si,sts-fss,cry(py),,,,,,,,,,,,,
0.3,si,mss,cry(py)+bd,,,,,,,,,,,,,
4.8,si,sts-fss,cry(py),,,,,,,,,,,,,
0.3,si,fss-sts,cry(py),,,,,,,,,,,,,
1.6,si,sts-fss,cry(py),,,,,,,,,,,,,
0.3,si,fss-sts,cry(py),,,,,,,,,,,,,
0.3,si,sts,cry(py),,,,,,,,,,,,,
3,si,mss-sts,cry(py),,,,,,,,,,,,,
0.3,si,css,cry(py),,,,,,,,,,,,,
0.2,si,sts,cry(py),,,,,,,,,,,,,
1.2,si,mss,cry(py),,,,,,,,,,,,,
0.2,si,css,cry(py),,,,,,,,,,,,,
0.3,si,mss,cry(py),,,,,,,,,,,,,
0.1,si,sts,cry(py),,,,,,,,,,,,,
0.4,si,mss,cry(py),,,,,,,,,,,,,
0.1,si,sts,cry(py),,,,,,,,,,,,,
1.7,si,mss-sts,cry(py),,,,,,,,,,,,,
0.4,si,sts,cry(py),,,,,,,,,,,,,
2.1,si,css,cry(py),,,,,,,,,,,,,
0.2,si,sts,cry(py),,,,,,,,,,,,,
0.3,si,mss,cry(py),,,,,,,,,,,,,
0.2,si,sts,cry(py),,,,,,,,,,,,,
0.7,si,mss,cry(py),,,,,,,,,,,,,
3.3,si,css,cry(py),,,,,,,,,,,,,
2.6,si,css,cry(py),,,,,,,,,,,,,
0.8,si,fss,cry(py),,,,,,,,,,,,,
0.6,si,mss,cry(py),,,,,,,,,,,,,
0.5,si,sts,cry(py),,,,,,,,,,,,,
0.1,si,css,cry(py),,,,,,,,,,,,,
0.5,si,fss,cry(py)+qv,,,,,,,,,,,,,
1,si,sts,cry(py)+qv,,,,,,,,,,,,,
0.6,si,fss,cry(py),,,,,,,,,,,,,
9.3,si,sts,cry(py),,,,,,,,,,,,,
0.8,si,mss-sts,cry(py),,,,,,,,,,,,,
0.6,si,sts-mss,cry(py),,,,,,,,,,,,,
3,si,sts,cry(py),,,,,,,,,,,,,
0.3,si,mss,cry(py),,,,,,,,,,,,,
0.2,si,sts,cry(py),,,,,,,,,,,,,
1,si,mss-sts,cry(py),,,,,,,,,,,,,
0.3,si,mss,cry(py),,,,,,,,,,,,,
3.2,si,sts-mss,cry(py),,,,,,,,,,,,,
0.4,si,mss,cry(py),,,,,,,,,,,,,
0.8,si,sts-mss,cry(py),,,,,,,,,,,,,
1.1,si,sts,cry(py),,,,,,,,,,,,,
0.2,si,mss,cry(py),,,,,,,,,,,,,
0.2,si,mss-sts,cry(py),,,,,,,,,,,,,
3.3,si,sts-fss,cry(py),,,,,,,,,,,,,
19.6,si,sts,,,,,,,,,,,,,,
9.6,cover,cover,,,,,,,,,,,,,,
6.3,si,sts,,,,,,,,,,,,,,
0.7,dl,R,,,,,,,,,,,,,,
1.5,cover,cover,,,,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,,,,
3.5,si,sts,,,,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,,,,
6.3,si,sts,,,,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,,,,
9.7,cover,cover,,,,,,,,,,,,,,
1.6,si,sts,,,,,,,,,,,,,,
1.4,dl,R,,,,,,,,,,,,,,
2.9,si,sts-R,,,,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,,,,
0.6,si,sts,,,,,,,,,,,,,,
0.8,dl,R,,,,,,,,,,,,,,
4.8,si,sts,,,,,,,,,,,,,,
19.1,cover,cover,,,,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,,,,
1.6,si,sts,,,,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,,,,
1.7,si,sts,,,,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,,,,
