Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum
T47,7/4/15,,,,,WGS84
,,,,,,
,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,,
2.2,si,sts,,,,
12.3,si,di1,,,,
1.8,cover,cover,,,,
11,si,di2,,,,
0.3,ls,gr,bd,,,
18,si,di2,,,,
0.2,si,sst,,,,
1.6,si,di2,,,,
0.3,si,mss,,,,
0.2,si,mss,,,,
33.6,si,di2,,,,
12.8,si,di3,,,,
1.1,si,di2,,,,
24.3,si,di2,,,,
0.1,si,fss,,,,
4,si,di2,,,,
4.8,si,di1,,,,
7.2,si,di2,,,,
1,si,fss,,,,
0.2,si,di,,,,
6,si,fss,,,,
0.4,si,css,,,,
0.2,si,sts,,,,
6.4,si,di2,,,,
3.2,si,di3,,,,
5.6,si,fss,,,,
20.6,si,di2,,,,
1.4,si,fss,,,,
3.4,cover,cover,,,,
5.3,si,di1,,,,
0.5,si,ccg,,,,
1.4,si,di1,,,,
0.3,si,gcg,,,,
2.3,si,di1,,,,
5,si,di2,,,,
