Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,
T11,6/24/10,,,,,WGS84,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx,,,,
3,si,shl,,,3.1,,3.1,1.5,,,mtx,,,,
0.1,ls,ri,,,4.1,,4.1,5,,,mtx,,,,
0.2,si,shl,,,5.7,,5.7,6,,,mtx,,,,
0.1,ls,icb,,,6.8,,6.8,6,,,mtx,,,,
0.3,ls,gr,,,9,,9,6,,,mtx,,,,
1.1,ls,ri,,,10.6,,10.6,6,,,mtx,,,,
6,ls,ri,,,11.1,,11.1,7,,,mtx,,,,
1.1,ls,ri,,,12.3,ADD 0.8,13.1,9,,,mtx,,,,
0.8,ls,icb,,,13,,13.8,9.5,,,mtx,,,,
1.1,dl,gr,,,13.9,,14.7,13,,,mtx,,,,
0.1,ls,icb,,,14.6,,15.4,17.5,,,mtx,,,,
0.2,dl,ri,,,15.2,,16,19.5,,,mtx,,,,
0.1,si,shl,,,16,,16.8,21.5,,,mtx,,,,
0.6,ls,ri,,,17,,17.8,23.5,,,mtx,,,,
0.1,si,shl,,,,,,,,,,,,,
0.05,ls,ri,,,,,,,,,,,,,
0.4,si,shl,,,,,,,,,,,,,
0.05,ls,ri,,,,,,,,,,,,,
0.5,si,shl,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,
0.7,si,shl,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,
0.9,si,shl,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,
