Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
T17,7/3/10,,,,,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
2.8,si,shl,,,3,,3,1,,,mtx
1,ls,ri,,,4.9,,4.9,3,,,mtx
0.9,si,shl,,,8.7,,8.7,7,,,mtx
1,ls,ri,,,10.2,,10.2,9,,,mtx
0.8,si,shl,,,15.3,,15.3,11,,,mtx
0.4,ls,ri,,,17.8,,17.8,13,,,mtx
1.1,si,shl,,,19.5,,19.5,15,,,mtx
0.9,ls,ri,,,,,,,,,
0.1,si,shl,,,,,,,,,
1.3,ls,ri,,,,,,,,,
4,si,shl,,,,,,,,,
1.6,ls,ri,,,,,,,,,
1.2,si,shl,,,,,,,,,
0.9,ls,ri,,,,,,,,,
1.1,si,shl,,,,,,,,,
0.7,ls,ri,,,,,,,,,
