Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,
T28,1/18/13,,,,,WGS84,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
1.7,ls,ri,,,1.9,,1.9,1,4.48,-4.15,mtx,,,,,,,,,
6.1,ls,ri,mts+scs,,1.9,,1.9,1,5.74,-4.65,mts,0.7065,,5.23E+05,20,1558,119,,504,1894
4.2,ls,ri,scs,,1.9,,1.9,1,5.74,-4.65,mts,,,,,,,,,
16.2,ls,ri,mts,,4.4,,4.4,1,4.84,-4.61,mts,,,,,,,,,
4.3,ls,ri,,,4.4,,4.4,1,5.47,-4.16,mtx,,,,,,,,,
0.1,ls,ri,mts,,4.4,,4.4,1,4.84,-4.61,mts,,,,,,,,,
0.5,ls,ri,,,6.6,,6.6,1,6.71,-4.75,mts,,,,,,,,,
0.3,ls,ri,mts,,6.6,,6.6,1,4.98,-4.27,mtx,,,,,,,,,
0.7,ls,ri,,,6.6,,6.6,1,6.71,-4.75,mts,,,,,,,,,
0.1,ls,gr,,,15,,15,3,6.76,-3.53,mts,,,,,,,,,
1.4,ls,gr,coated grains,,15,,15,3,6.14,-3.35,mtx,,,,,,,,,
0.4,ls,ri,,,15,,15,3,6.76,-3.53,mts,,,,,,,,,
1.5,ls,gr,,,19,,19,3,6.59,-3.76,mts,,,,,,,,,
0.5,ls,ri,mts,,19,,19,3,6.45,-3.99,mtx,,,,,,,,,
1.7,ls,gr,,,19,,19,3,6.59,-3.76,mts,,,,,,,,,
0.3,ls,ri,,,23.8,,23.8,3,6.16,-3.27,mtx,,,,,,,,,
0.3,ls,ri,coated grains,,23.8,,23.8,3,7.4,-4.03,mts,0.70654,,,,,,,,
0.2,cover,cover,,,23.8,,23.8,3,7.4,-4.03,mts,,,,,,,,,
0.7,ls,icb,,,24.7,,24.7,3,6.79,-3.63,mts,,,,,,,,,
0.2,ls,ri,mts,,24.7,,24.7,3,6.09,-3.49,mtx,,,,,,,,,
0.5,ls,icb,,,24.7,,24.7,3,6.79,-3.63,mts,,,,,,,,,
