Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,
0.3,ls,ri,mts,,31.9,,31.9,4,6.33,-4.1,mts,,,,,,,,,
0.1,ls,icb,,,31.9,,31.9,4,5.97,-3.83,mtx,,,,,,,,,
0.2,ls,ri,,,31.9,,31.9,4,6.33,-4.1,mts,,,,,,,,,
0.2,ls,icb,,,38,,38,13.5,4.97,-3.51,mts,,,,,,,,,
0.3,ls,gr,,,38,,38,13.5,5.28,-3.83,mtx,,,,,,,,,
1.2,ls,icb,,,38,,38,13.5,4.97,-3.51,mts,,,,,,,,,
0.2,ls,ri,,,41.3,,41.3,19,5.59,-3.4,mtx,,,,,,,,,
0.9,ls,icb,,,41.3,,41.3,19,3.53,-3.67,mts,0.70651,,5.34E+04,11,150,14,9,41,82
0.6,ls,gr,,,41.3,,41.3,19,3.53,-3.67,mts,,,,,,,,,
0.9,ls,icb,,,51.7,,51.7,45,5.64,-3.54,mtx,,,,,,,,,
0.2,cover,cover,,,57.2,,57.2,56.5,5.24,-4.08,mtx,,,,,,,,,
0.2,ls,gr,,,61.4,,61.4,69.5,5.64,-3.74,mtx,,,,,,,,,
0.4,ls,icb,,,66.4,,66.4,93.5,5.6,-3.67,mtx,0.70658,13,4.73E+05,,2115,78,122,329,2533
0.3,ls,gr,,,74.9,,74.9,122.5,6.43,-4.32,mtx,,,,,,,,,
0.7,ls,icb,,,79.5,,79.5,133,,,mtx,,,,,,,,,
0.5,ls,gr,,,84.6,,84.6,147.5,,,mtx,,,,,,,,,
0.4,ls,icb,,,90.7,,90.7,163.5,,,mtx,,,,,,,,,
0.1,cover,cover,,,98,,98,177.5,,,mtx,,,,,,,,,
0.3,ls,icb,,,107.4,,107.4,200,,,mtx,,,,,,,,,
0.2,ls,gr,,,112.3,,112.3,211.5,,,mtx,,,,,,,,,
0.3,ls,icb,,,118.2,,118.2,227.5,,,mtx,,,,,,,,,
0.5,cover,cover,,,121.8,,121.8,236.5,,,mtx,,,,,,,,,
0.3,ls,gr,,,126,,126,246.5,,,mtx,,,,,,,,,
0.3,ls,gr,mts,,130.1,,130.1,254.5,,,mtx,,,,,,,,,
0.4,ls,ri,,,132.5,,132.5,259,,,mtx,,,,,,,,,
0.4,ls,gr,,,134.9,,134.9,267.5,,,mtx,,,,,,,,,
0.3,cover,cover,,,142.4,,142.4,283.5,,,mtx,,,,,,,,,
1,ls,gr,,,145.5,,145.5,297.5,,,mtx,,,,,,,,,
0.8,cover,cover,,,149.6,,149.6,313.5,,,mtx,,,,,,,,,
1.2,ls,gr,,,151.5,,151.5,327,,,mtx,,,,,,,,,
0.1,ls,ri,,,152,,152,328,,,mtx,,,,,,,,,
0.2,ls,gr,,,156.8,,156.8,346.5,6.19,-4.51,mtx,0.70669,,,,,,,,
0.4,ls,ri,,,156.8,,156.8,346.5,4.27,-4.26,mts,,,5.32E+05,,1236,113,6,557,891
0.2,ls,icb,,,156.8,,156.8,346.5,4.27,-4.26,mts,,,,,,,,,
0.6,ls,gr,,,158.5,,158.5,354,6.46,-4.47,mtx,,,,,,,,,
0.1,ls,icb,,,164.2,,164.2,369,6.73,-3.97,mtx,,,,,,,,,
0.5,ls,ri,,,167.5,,167.5,381.5,6.48,-4.96,mtx,,,,,,,,,
0.2,ls,icb,,,173.7,,173.7,407.5,6.13,-4.96,mtx,,,,,,,,,
0.1,ls,ri,,,173.7,,173.7,407.5,4.41,-5.22,mts,0.70666,,4.07E+05,55,1142,111,,526,800
0.5,ls,gr,,,173.7,,173.7,407.5,4.41,-5.22,mts,,,,,,,,,
0.2,ls,ri,,,174.7,,174.7,414.5,5.98,-4.73,mtx,,,,,,,,,
0.8,cover,cover,,,181,,181,432,5.14,-5.92,mtx,,,,,,,,,
0.3,ls,gr,,,186.8,,186.8,446.5,3.74,-8.29,mtx,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.3,cover,cover,,,,,,,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.4,ls,gr,,,,,,,,,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,cover,cover,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,cover,cover,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,cover,cover,,,,,,,,,,,,,,,,,,
0.4,ls,gr,,,,,,,,,,,,,,,,,,
0.3,cover,cover,,,,,,,,,,,,,,,,,,
0.7,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.4,ls,gr,,,,,,,,,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,,,,,,,,,
0.6,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.4,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
1.3,cover,cover,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.3,ls,gr,mts,,,,,,,,,,,,,,,,,
0.5,cover,cover,,,,,,,,,,,,,,,,,,
0.1,ls,ri,mts,,,,,,,,,,,,,,,,,
0.1,cover,cover,,,,,,,,,,,,,,,,,,
1,ls,gr,,,,,,,,,,,,,,,,,,
0.4,cover,cover,,,,,,,,,,,,,,,,,,
1,ls,gr,,,,,,,,,,,,,,,,,,
0.4,cover,cover,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.4,cover,cover,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,cover,cover,,,,,,,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,,,,,,,,
0.6,ls,icb,,,,,,,,,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,,,,,,,,
0.8,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.3,cover,cover,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
1.8,ls,gr,,,,,,,,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.3,cover,cover,,,,,,,,,,,,,,,,,,
0.9,ls,gr,,,,,,,,,,,,,,,,,,
0.3,cover,cover,,,,,,,,,,,,,,,,,,
0.8,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.7,cover,cover,,,,,,,,,,,,,,,,,,
0.7,ls,gr,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
1.7,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.4,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,gr,mts,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.9,ls,gr,,,,,,,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,,,,,,,,,
0.1,cover,cover,,,,,,,,,,,,,,,,,,
1.4,ls,gr,mts,,,,,,,,,,,,,,,,,
0.3,cover,cover,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.8,ls,gr,,,,,,,,,,,,,,,,,,
0.3,ls,ri,mts,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
1.3,ls,gr,,,,,,,,,,,,,,,,,,
1.2,ls,gr,mts,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
1.7,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.9,ls,gr,,,,,,,,,,,,,,,,,,
0.4,ls,icb,mts,,,,,,,,,,,,,,,,,
0.2,ls,ri,mts,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
1.4,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.9,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.6,ls,icb,,,,,,,,,,,,,,,,,,
0.9,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.5,ls,gr,mts (?),,,,,,,,,,,,,,,,,
0.1,ls,gr,mts,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
1.1,ls,gr,,,,,,,,,,,,,,,,,,
0.9,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
1.7,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,ri,mts,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
1.4,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.9,ls,icb,,,,,,,,,,,,,,,,,,
0.7,ls,ri,mts,,,,,,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
1.5,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,mts,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.6,ls,gr,,,,,,,,,,,,,,,,,,
0.5,ls,gr,mts,,,,,,,,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.6,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,,,,,,,
3.1,ls,gr,,,,,,,,,,,,,,,,,,
0.6,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.6,ls,icb,,,,,,,,,,,,,,,,,,
0.8,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,gr,mts,,,,,,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,,,,,,,
0.4,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.5,ls,gr,mts,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,gr,mts,,,,,,,,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.3,ls,gr,mts,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,gr,mts,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,,,,,,,
0.6,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,mts (?),,,,,,,,,,,,,,,,,
0.8,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,,,,,,,,,
0.4,ls,ri,mts,,,,,,,,,,,,,,,,,
0.3,ls ,icb,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.5,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.7,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
1.5,ls,gr,mts,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.6,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.7,ls,gr,,,,,,,,,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.4,ls,gr,,,,,,,,,,,,,,,,,,
0.1,sl,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.5,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,st,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.6,ls,gr,mts,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.9,ls,gr,,,,,,,,,,,,,,,,,,
0.9,ls,gr,mts,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
0.9,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.7,ls,gr,mts,,,,,,,,,,,,,,,,,
0.6,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.9,ls,gr,,,,,,,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,st,,,,,,,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
1.3,ls,gr,,,,,,,,,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,,,,,,,
1.2,ls,st,,,,,,,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,,,,,,,
0.2,ls,st,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.3,ls,st,,,,,,,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,,,,,,,
0.4,ls,st,,,,,,,,,,,,,,,,,,
0.5,ls,ri,,,,,,,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,,,,,
