Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
T35,1/20/13,,,,,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
1.1,si,shl,,,37.9,,37.9,18,,,mtx
0.3,si,vfss,,,46.7,,46.7,27,,,mtx
1.4,si,shl,,,49.7,ADD 4.0,53.7,31,,,mtx
5.8,cover,cover,,,52.4,,56.4,35,,,mtx
2.2,si,shl,,,145.6,,149.6,42,,,mtx
1,si,vfss,,,147.7,,151.7,44.5,,,mtx
0.8,si,shl,,,157.6,,161.6,48,,,mtx
0.5,si,shl,,,158.3,,162.3,52.5,,,mtx
1.3,si,vfss,,,159.8,,163.8,54,,,mtx
2.5,si,shl,,,160.4,,164.4,55.5,,,mtx
1.1,cover,cover,,,161.2,,165.2,56,,,mtx
0.2,si,tuff,,,161.7,,165.7,56,,,mtx
1.1,si,shl,,,162.1,,166.1,56,,,mtx
0.9,cover,cover,,,177.3,,181.3,60,,,mtx
5,si,shl,,,178.5,,182.5,60,,,mtx
2.4,si,shl,,,181.4,,185.4,62,,,mtx
0.9,si,vfss,,,,,,,,,
9,si,shl,,,,,,,,,
0.8,dl,R,,,,,,,,,
1.8,si,shl,,,,,,,,,
0.6,si,fss,,,,,,,,,
0.2,si,shl,,,,,,,,,
0.4,si,fss,,,,,,,,,
4.8,si,shl,,,,,,,,,
0.1,dl,R,,,,,,,,,
0.1,si,shl,,,,,,,,,
0.3,cover,cover,,,,,,,,,
1.6,dl,R,,,,,,,,,
4.3,si,shl,,,,,,,,,
0.2,dl,R,,,,,,,,,
0.2,si,shl,,,,,,,,,
1,dl,R,,,,,,,,,
1.5,si,shl,,,,,,,,,
0.3,dl,R,,,,,,,,,
0.1,si,shl,,,,,,,,,
0.9,dl,R,,,,,,,,,
42,si,shl,,,,,,,,,
3.7,si,vfss,,,,,,,,,
3.9,cover,cover,,,,,,,,,
37.8,si,shl,,,,,,,,,
2.3,cover,cover,,,,,,,,,
2.8,si,shl,,,,,,,,,
0.5,dl,R,,,,,,,,,
1.5,si,shl,,,,,,,,,
0.5,dl,R,,,,,,,,,
2.4,si,shl,,,,,,,,,
1,dl,ri-shl,,,,,,,,,
6.3,si,shl,,,,,,,,,
0.4,dl,R,,,,,,,,,
0.2,si,shl,,,,,,,,,
0.1,dl,R,,,,,,,,,
0.1,si,shl,,,,,,,,,
0.1,dl,R,,,,,,,,,
1.3,dl,ri-shl,,,,,,,,,
0.7,dl,R,,,,,,,,,
0.1,si,shl-ri,,,,,,,,,
1.9,dl,R,,,,,,,,,
1.3,si,shl,,,,,,,,,
0.8,si,shl-ri,,,,,,,,,
12.6,cover,cover,,,,,,,,,
1.7,dl,R,,,,,,,,,
1.6,si,shl,,,,,,,,,
2.2,dl,R,,,,,,,,,
