Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,
T7,6/18/10,,,,,WGS84,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx,CARB_d44_40Ca,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
1.4,si,shl,,,2.4,,2.4,,5.72,-12.75,mtx,,,,,,,,,,
1.9,ls,ri,,,13.1,,13.1,,4.9,-10.28,mtx,,,,,,,,,,
8.8,si,shl,,,21.3,,21.3,,4.85,-8.85,mtx,,,,,,,,,,
1.4,ls,ri,fs+scs,,32.1,,32.1,,5.35,-8.98,mtx,,,,,,,,,,
2.9,cover,cover,,,40.5,,40.5,,5.82,-8.91,mtx,,,,,,,,,,
0.7,ls,ri,,,42.5,,42.5,,5.5,-9.59,mtx,,,,,,,,,,
0.8,si,shl,,,50,,50,,5.07,-9.15,mtx,,,,,,,,,,
2,si,shl,,,63.8,,63.8,,5.4,-10.82,mtx,,,,,,,,,,
6,si,shl,,,74.2,,74.2,,5.56,-10.01,mtx,,,,,,,,,,
0.6,ls,ri,fs,,74.5,,74.5,,5.6,-9.5,mtx,-0.985229518,0.70676,57,3.24E+05,3,2181,279,215,342,2491
4.9,si,shl,,,74.5,,74.5,,6.62,-10.21,mts,-0.971681486,0.70672,,3.99E+05,,1289,95,6,,1218
3.4,ls,ri,fs,,84.6,,84.6,,5.03,-9.24,mtx,,,,,,,,,,
1.4,si,shl,,,90.7,,90.7,,4.916,-8.612,mtx,,,,,,,,,,
1.8,ls,ri,,,90.7,,90.7,,5.214,-8.714,mts,,,,,,,,,,
4,ls,ri,1mt+hcs,,93.6,,93.6,,5.03,-7.97,mtx,,,,,,,,,,
0.5,ls,ri,,,103.4,,103.4,,4.92,-8.55,mtx,,,,,,,,,,
0.45,gr,sill,,,119.3,,119.3,,5.36,-10.49,mtx,,,,,,,,,,
0.55,ls,ri,,,119.8,,119.8,,5.642,-9.614,mtx,,,,,,,,,,
1.3,si,shl,,,124.9,,124.9,,5.64,-9.39,mtx,-1.305968936,0.70676,33,3.27E+05,9,10443,390,249,399,2252
0.6,ls,ri,,,124.9,,124.9,,5.46,-9.87,mts,-1.183129083,0.70674,,4.26E+05,,1500,198,,301,1415
0.6,si,shl,,,128.2,,128.2,,5.99,-9.9,mtx,,,,,,,,,,
4.5,ls,ri,,,139.7,,139.7,,5.66,-9.51,mtx,,,,,,,,,,
0.1,ls,gr,fs+sxs,,141.4,,141.4,,5.588,-8.813,mtx,,,,,,,,,,
0.6,si,shl,,,152.6,,152.6,,5.74,-8.57,mtx,,,,,,,,,,
2.5,ls,ri,,,161.3,,161.3,,5.53,-10.99,mtx,,,,,,,,,,
0.7,si,shl,,,174,,174,,5.47,-8.37,mtx,,,,,,,,,,
1.7,ls,ri,,,180.6,,180.6,,4.407,-7.386,mts,,,,,,,,,,
0.7,si,shl,,,180.6,,180.6,,5.744,-7.491,mtx,,,,,,,,,,
0.2,ls,ri,3mt,,184.4,,184.4,,5.45,-8.53,mtx,,,,,,,,,,
0.8,ls,ri,,,195.1,,195.1,,5.105,-8.513,mtx,,,,,,,,,,
0.1,ls,ri,3mt,,196.8,,196.8,,5.58,-9.43,mtx,,,,,,,,,,
0.3,si,shl,,,210.3,,210.3,,5.47,-9.99,mtx,,,,,,,,,,
2.7,ls,ri,,,211.3,,211.3,,5.61,-9.39,mtx,-1.319118918,0.7067,11,3.56E+05,5,2255,263,39,358,2361
3,si,shl,,,211.3,,211.3,,5.39,-9.68,mts,-1.382288044,0.70664,,4.24E+05,8,1473,192,,351,2151
1.9,si,shl,,,225,,225,,5.227,-9.039,mtx,,,,,,,,,,
0.4,ls,ri,,,229.7,,229.7,,5.56,-10.32,mtx,,,,,,,,,,
0.1,ls,ri,2mt,,245.7,,245.7,,3.481,-7.982,mts,,,,,,,,,,
0.4,ls,icb,,,245.7,,245.7,,5.83,-8.367,mtx,,,,,,,,,,
0.2,ls,gr,,,246.3,,246.3,,5.88,-8.86,mtx,,,,,,,,,,
0.2,ls,icb,fs,,253.9,,253.9,,5.62,-8.64,mtx,,,,,,,,,,
1.9,si,shl,,,257.7,,257.7,,5.338,-7.868,mtx,,,,,,,,,,
1.2,si,shl,,,259.9,,259.9,,5.64,-7.85,mtx,,,,,,,,,,
4.8,ls,ri,2mt,,260.3,,260.3,,4.786,-8.625,mtx,,,,,,,,,,
0.3,ls,ri,sxs,,261.1,,261.1,,4.998,-8.432,mtx,,,,,,,,,,
0.5,cover,cover,,,264.4,,264.4,,5.511,-9.48,mtx,,,,,,,,,,
0.5,ls,ri,2mt,,268,,268,,5.77,-9.54,mtx,,,,,,,,,,
0.2,ls,ri,fs,,269.7,,269.7,,5.799,-9.386,mtx,,,,,,,,,,
1.1,cover,cover,,,273.6,,273.6,,5.379,-8.591,mtx,,,,,,,,,,
0.7,ls,ri,1mt,,279.6,,279.6,,4.925,-9.199,mtx,,,,,,,,,,
0.8,si,shl,,,281.3,,281.3,,3.87,-9.275,mtx,,,,,,,,,,
3.2,ls,ri,1mt,,281.3,,281.3,,4.84,-5.336,mts,,,,,,,,,,
1.3,si,shl,,,284.6,,284.6,,5.802,-8.339,mtx,,,,,,,,,,
0.6,si,shl,,,287.7,,287.7,,5.697,-7.449,mtx,,,,,,,,,,
2.2,si,shl,,,287.7,,287.7,,6.047,-6.378,mts,,,,,,,,,,
2.7,ls,ri,2mt+ssd,,293.4,,293.4,,5.444,-6.682,mtx,,,,,,,,,,
0.1,ls,icb,,,293.4,,293.4,,5.709,-7.375,mts,,,,,,,,,,
1.5,ls,ri,1mt+ssd,,298.2,,298.2,,5.461,-7.71,mtx,,,,,,,,,,
2.6,ls,ri,2mt,,305.7,,305.7,,4.997,-10.027,mtx,,,,,,,,,,
0.1,ls,gr,,,308,,308,,5.053,-11.434,mtx,,,,,,,,,,
