Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum
T21,7/8/10,,,,,WGS84
,,,,,,
,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,,
0.6,si,vcss,,,,
0.3,si,shl,,,,
2.7,cover,cover,,,,
0.6,si,vcss,,,,
2.4,si,fss,,,,
4.4,basalt,m,,,,
4.2,si,gss,,,,
0.9,cover,cover,,,,
2.4,si,fss,,,,
2.5,si,mss,,,,
5.9,si,vfss,,,,
0.8,si,css,,,,
1,si,vfss,,,,
0.7,si,css,,,,
0.5,si,vfss,,,,
2.1,si,mss,,,,
30.8,cover,cover,,,,
1.9,si,vfss,,,,
1.6,si,fss,,,,
0.6,si,mss,,,,
1.8,cover,cover,,,,
1.4,si,vfss,,,,
3.6,cover,cover,,,,
7.7,si,fss,,,,
0.9,si,css,,,,
1.4,cover,cover,,,,
13.4,si,fss,,,,
1.4,si,ccg,,,,
0.4,si,vfss,,,,
6.8,si,pcg,,,,
15.6,si,fss,,,,
68.3,basalt,m,,,,
6.7,basalt,mves,,,,
0.9,basalt,ves,,,,
0.4,si,shl,,,,
2.8,cover,cover,,,,
7.7,basalt,m,,,,
2.6,basalt,mves,,,,
1.6,basalt,ves,,,,
0.2,si,shl,,,,
2.9,cover,cover,,,,
5.6,basalt,m,,,,
1.1,basalt,mves,,,,
0.8,basalt,ves,,,,
0.4,si,shl,,,,
10.3,si,shl,,,,
8.4,cover,cover,,,,
43.3,basalt,m,,,,
8.4,basalt,mves,,,,
