finalid,line,d13C,d13Cstd,d18O,d18Ostd
SND_ICT_1,23,-1.896220325,1.106028175,-9.339838165,1.171094704
SND_ICT_3,25,-2.056314106,0.285971492,-11.08486151,0.857560024
SND_ICT_4,26,-2.039831517,0.738379092,-10.70242291,2.308070408
SND_ICT_6,31,0.167326877,0.215487992,-4.957130947,0.634683024
SND_ICT_8,33,-0.493116773,0.129320589,-7.161203443,0.607143215
SND_ICT_9,34,3.24998619,0.053953983,-12.02655416,0.130421537
SND_ICT_11,36,1.00917039,0.031189182,-11.20420393,0.175278354
SND_ICT_16,43,-0.648491725,0.332471437,-3.583171466,0.578710807
SND_ICT_19,46,2.817580117,0.094550062,-4.933737172,0.17676586
SND_ICT_21,48,3.25659505,0.050355124,-12.33210512,0.169485836
SND_ICT_23,50,-1.479377635,0.080732671,-5.725667677,0.136116131
SND_ICT_24,51,3.439342664,0.039546301,-11.49400818,0.224966054
SND_ICT_27,56,-0.160662139,0.172323317,-7.491149667,0.83717201
SND_ICT_28,57,1.020998158,0.073195794,-11.86993781,0.152124138
SND_ICT_29,58,2.226760158,0.077608186,-11.64719143,0.317509362
SND_ICT_30,59,3.753347535,0.067345223,-10.61708447,0.256751558
SND_ICT_32,60,4.160122344,0.063069414,-11.0886548,0.127514635
