Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,
T30,1/20/13,,,,,WGS84,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx,CARB_d44_40Ca,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
7,ls,ri-shl,,,1.4,,1.4,0,1.79,-7.75,mtx,-1.194135408,0.70648,23,3.19E+05,2,1857,529,204,,779
0.3,ls,icb,,,4.2,,4.2,0,1.19,-7.94,mtx,,,,,,,,,,
1.9,ls,ri-shl,,,9.6,,9.6,4,1.99,-8.7,mtx,,,,,,,,,,
0.3,ls,ri,,,11.7,,11.7,7,2.73,-7.28,mtx,,,,,,,,,,
0.4,ls,ri-shl,,,16.8,,16.8,10,1.98,-8.56,mtx,,,,,,,,,,
1,ls,ri,,,21.4,,21.4,13,2.74,-9.25,mtx,,,,,,,,,,
0.7,si,shl-ri,,,25.6,,25.6,13,2.35,-9.76,mtx,,,,,,,,,,
0.2,ls,gr,,,30.4,,30.4,13,0.56,-8.1,mtx,-1.075600302,,45,2.57E+05,,1206,397,331,,316
2,cover,cover,,,55.2,,55.2,16,-2.42,-5.94,mtx,,,,,,,,,,
2.6,si,shl,,,56.3,,56.3,16,-0.65,-3.21,mtx,,,,,,,,,,
0.7,ls,ri-shl,,,60.3,,60.3,19,-2.71,-8.78,mtx,-0.960610859,0.7061,37,2.88E+05,,1729,854,183,,556
0.8,si,shl-ri,,,60.8,,60.8,19,-3.03,-9.99,mtx,,,,,,,,,,
1.2,cover,cover,,,85.7,,85.7,25,-1.31,-10.08,mtx,,,,,,,,,,
11.9,ls,ri-shl,,,86.7,,86.7,27,-0.54,-10.12,mtx,-0.896874766,0.7055,8,2.15E+05,2,51286,1168,201,,915
23.1,si,shl,,,87.3,,87.3,29,-0.36,-10.22,mtx,,,,,,,,,,
1,cover,cover,,,88,,88,30,-0.15,-10.12,mtx,,,,,,,,,,
1.3,dl,icb,,,88.7,,88.7,32,-1.25,-11.76,mtx,,,,,,,,,,
2.8,si,shl,,,89.4,,89.4,34,-0.56,-12.03,mtx,,,,,,,,,,
1,cover,cover,,,89.9,,89.9,34,-2.16,-10.24,mtx,,,,,,,,,,
0.7,ls,ri,,,108,,108,41,-3.45,-11.14,mtx,,,,,,,,,,
0.8,si,shl-ri,,,,,,,,,,,,,,,,,,,
0.4,cover,cover,,,,,,,,,,,,,,,,,,,
3,si,shl,,,,,,,,,,,,,,,,,,,
17.2,cover,cover,,,,,,,,,,,,,,,,,,,
3.1,si,shl,,,,,,,,,,,,,,,,,,,
0.4,dl,mi,,,,,,,,,,,,,,,,,,,
0.6,si,shl,,,,,,,,,,,,,,,,,,,
0.4,dl,ri,,,,,,,,,,,,,,,,,,,
0.2,si,shl,,,,,,,,,,,,,,,,,,,
0.7,dl,ri-shl,,,,,,,,,,,,,,,,,,,
0.4,dl,mi,,,,,,,,,,,,,,,,,,,
0.3,dl,ri-shl,,,,,,,,,,,,,,,,,,,
0.5,ls,mi,,,,,,,,,,,,,,,,,,,
0.3,cover,cover,,,,,,,,,,,,,,,,,,,
0.8,dl,mi,,,,,,,,,,,,,,,,,,,
9.9,si,shl,,,,,,,,,,,,,,,,,,,
3.9,si,di,,,,,,,,,,,,,,,,,,,
1.4,si,gw,,,,,,,,,,,,,,,,,,,
0.4,cover,cover,,,,,,,,,,,,,,,,,,,
0.4,si,mss,,,,,,,,,,,,,,,,,,,
1.8,si,gw,,,,,,,,,,,,,,,,,,,
0.3,si,gw,,,,,,,,,,,,,,,,,,,
0.3,cover,cover,,,,,,,,,,,,,,,,,,,
0.2,si,dicss,,,,,,,,,,,,,,,,,,,
30,si,di,,,,,,,,,,,,,,,,,,,
