Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
T6,6/23/10,,,,,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
3.1,volc,tuff,,,34.7,,34.7,11,6.21,-16.18,mtx
1.2,si,shl,,,35.7,,35.7,11,6,-15.3,mtx
3.5,volc,tuff,,,37.2,,37.2,11,6.06,-14.19,mtx
1.2,volc,tuff,,,38,,38,11,5.97,-15.94,mtx
2.8,bslt,m,,,41,,41,13.5,6.16,-14.69,mtx
3.6,bslt,m,,,42.1,,42.1,15,5.44,-16.26,mtx
5.6,volc,tuff,,,,,,,,,
9.2,volc,tuff,,,,,,,,,
2,bslt,mves,,,,,,,,,
0.4,bslt,ves,,,,,,,,,
1.4,si,cgl,,,,,,,,,
4.2,ls,gr,,,,,,,,,
0.4,ls,st,,,,,,,,,
2.4,ls,gr,,,,,,,,,
0.6,ls,st,,,,,,,,,
0.9,ls,gr,,,,,,,,,
1.5,si,css,,,,,,,,,
0.5,si,shl,,,,,,,,,
0.1,volc,tuff,,,,,,,,,
