Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum
T20,7/8/10,,,,,WGS84
,,,,,,
,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,,
4.2,bslt,m,,,,
1.3,bslt,mves,,,,
4.7,volc,tuff,,,,
14.4,cover,cover,,,,
4.5,bslt,m,,,,
4.4,bslt,mves,,,,
2.8,bslt,ves,,,,
0.6,si,css,,,,
0.3,si,vfss,,,,
0.4,si,css,,,,
1.9,si,mss,,,,
0.4,volc,tuff,,,,
1,si,shl,,,,
1,volc,tuff,,,,
1.9,si,css,,,,
1.4,si,vfss,,,,
0.9,si,fss,,,,
0.5,si,shl,,,,
0.5,si,fss,,,,
1.2,volc,tuff,,,,
0.5,si,css,,,,
1.5,si,shl,,,,
0.4,si,fss,,,,
1.4,si,shl,,,,
0.2,volc,tuff,,,,
1.1,si,shl,,,,
12.5,si,vcss,,,,
1.3,si,fss,,,,
1.1,si,css,,,,
0.1,si,shl,,,,
1.4,si,mss,,,,
0.1,si,shl,,,,
1.7,si,mss,,,,
0.5,si,shl,,,,
7,si,fss,,,,
2.2,si,fss,,,,
1.4,si,mss,,,,
4.6,cover,cover,,,,
2.8,si,fss,,,,
1.4,cover,cover,,,,
3,si,mss,,,,
0.9,cover,cover,,,,
6.3,si,css,,,,
0.5,si,pcg,,,,
2.4,si,css,,,,
13.3,si,pcg,,,,
3.9,si,pcg,,,,
4.2,cover,cover,,,,
8.4,si,pcg,,,,
13.9,si,ccg,,,,
1.7,si,ccg,,,,
10.5,si,ccg,,,,
1.9,si,css,,,,
11.2,si,ccg,,,,
4.5,si,pcg,,,,
1.8,si,pcg,,,,
1.4,si,ccg,,,,
2.8,si,css,,,,
2.8,si,pcg,,,,
6.2,si,shl,,,,
3.5,cover,cover,,,,
5.9,si,pcg,,,,
8.4,si,pcg,,,,
5.6,bslt,m,,,,
1.2,bslt,ves,,,,
11.2,bslt,m,,,,
2.8,si,mss,,,,
0.7,si,shl,,,,
1.2,gr,sill,,,,
1.8,si,shl,,,,
14.4,si,di,,,,
7.4,si,gss,,,,
5.6,cover,cover,,,,
3.6,si,vcss,,,,
1,si,shl,,,,
0.2,si,mss,,,,
2.6,si,shl,,,,
3.9,volc,rhyolite,,,,
9.6,si,di,,,,
0.3,gr,sill,,,,
7.2,si,di,,,,
1.4,si,shl,,,,
2.6,si,fss,,,,
2.1,si,gss,,,,
0.8,si,pcg,,,,
4.9,si,fss,,,,
0.8,si,pcg,,,,
1.9,si,mss,,,,
0.4,si,ccg,,,,
1,si,fss,,,,
0.5,si,ccg,,,,
3.5,si,mss,,,,
0.3,si,ccg,,,,
0.4,si,fss,,,,
3,si,di,,,,
0.9,si,vcss,,,,
2.2,si,fss,,,,
5.6,si,mss,,,,
0.3,volc,tuff,,,,
5.6,si,fss,,,,
0.2,volc,tuff,,,,
4,si,fss,,,,
0.9,si,mss,,,,
1.3,si,fss,,,,
0.2,volc,tuff,,,,
2.6,si,mss,,,,
0.6,si,css,,,,
1.8,si,shl,,,,
6.3,si,vfss,,,,
0.6,si,mss,,,,
4.5,si,shl,,,,
0.4,si,fss,,,,
4.2,si,shl,,,,
0.2,si,mss,,,,
0.9,si,fss,,,,
0.1,si,shl,,,,
1.3,si,vcss,,,,
2.1,si,shl,,,,
0.7,si,css,,,,
5.3,si,shl,,,,
0.4,si,mss,,,,
1.2,si,vfss,,,,
1.9,si,fss,,,,
6.6,si,shl,,,,
0.3,volc,tuff,,,,
4.9,si,shl,,,,
0.5,si,fss,,,,
5.3,si,shl,,,,
1,si,mss,,,,
3.5,si,shl,,,,
3.3,si,shl,,,,
3.4,gr,sill,,,,
2.9,si,shl,,,,
0.5,si,vcss,,,,
0.2,si,fss,,,,
0.5,si,shl,,,,
0.3,si,vcss,,,,
1.2,si,shl,,,,
1.4,si,css,,,,
3.5,si,shl,,,,
4.8,gr,sill,,,,
9.9,si,shl,,,,
0.3,si,css,,,,
0.5,si,shl,,,,
6,si,shl,,,,
12.6,si,shl,,,,
18.2,si,shl,,,,
3.8,si,shl,,,,
0.6,si,pcg,,,,
8.7,si,shl,,,,
0.4,si,vfss,,,,
2.2,si,shl,,,,
0.5,si,pcg,,,,
1.8,si,vfss,,,,
0.3,si,shl,,,,
0.2,si,vfss,,,,
0.4,si,pcg,,,,
2,si,shl,,,,
1.7,gr,sill,,,,
5.1,si,shl,,,,
0.8,si,pcg,,,,
11.7,si,shl,,,,
12.6,si,shl,,,,
35.6,si,shl,,,,
0.6,si,pcg,,,,
26,si,shl,,,,
8.9,cover,cover,,,,
19.5,si,shl,,,,
1.4,si,shl,,,,
21,si,shl,,,,
2.8,si,shl,,,,
0.3,si,shl,,,,
3.5,si,shl,,,,
1.7,si,shl,,,,
2.7,si,shl,,,,
5.6,si,shl,,,,
3.8,si,shl,,,,
1,volc,tuff,,,,
0.1,si,shl,,,,
2.3,si,ccg,,,,
1.3,volc,tuff,,,,
1.1,si,pcg,,,,
0.3,volc,tuff,,,,
0.3,si,shl,,,,
0.1,volc,tuff,,,,
2.3,si,shl,,,,
0.8,volc,tuff,,,,
9.3,si,shl,,,,
2.8,si,shl,,,,
49,cover,cover,,,,
8.2,si,shl,,,,
25.2,si,shl,,,,
21,si,shl,,,,
4.6,si,shl,,,,
14,cover,cover,,,,
30.8,si,shl,,,,
5.6,si,shl,,,,
14,cover,cover,,,,
21,si,shl,,,,
8.4,cover,cover,,,,
43,si,shl,,,,
0.1,ls,ri,,,,
1.4,si,shl,,,,
0.3,ls,ri,,,,
0.8,si,shl,,,,
0.1,ls,ri,,,,
1.7,si,shl,,,,
0.1,ls,ri,,,,
1.4,si,shl-ri,,,,
0.5,si,shl,,,,
0.2,ls,gr,,,,
1.6,ls,ri-shl,,,,
0.3,ls,ri,,,,
2,si,shl-ri,,,,
4.6,gr,sill,,,,
3.8,si,shl-ri,,,,
0.2,ls,ri,,,,
5.6,si,shl-ri,,,,
