Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,
T27,1/18/13,,,,,WGS84,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
1,dl,ri,,,444.6,,444.6,380,1.369261081,0.058032265,-6.520280826,0.362931205,mtx
0.3,cover,cover,,,449.3,,449.3,390,0.138528396,0.066671968,-6.599979854,0.254775782,mtx
0.3,dl,R,,,473,,473,391,1.640560119,0.051598094,-6.925280355,0.189886775,mtx
5.5,cover,cover,,,479,,479,396,0.562851732,0.046780516,-7.570808505,0.153261911,mtx
0.2,dl,ri,,,482.4,,482.4,403,-0.242844353,0.058980414,-7.81949266,0.351270526,mtx
16.6,cover,cover,,,484.7,,484.7,405,-0.390447716,0.102126814,-6.959885757,0.339513539,mtx
1.4,dl,R,,,530.4,,530.4,421,-0.600363466,0.024604678,-7.560371979,0.119486339,mtx
0.6,dl,R,,,536.1,,536.1,424,-1.403245689,0.02281163,-5.603499604,0.225881167,mtx
1.2,dl,R,,,538,,538,425.5,-1.706546757,0.054000816,-8.228612442,0.1399884,mtx
12.4,cover,cover,,,561,,561,436,-2.180488022,0.062253605,-4.924329629,0.2256752,mtx
0.6,dl,R,,,579.2,,579.2,451.5,-1.089469003,0.067781855,-5.009023915,0.215838362,mtx
27.1,cover,cover,,,596.1,,596.1,465,0.469911286,0.097732669,-10.18295527,0.287670703,mtx
1.7,dl,R,,,597.7,,597.7,467,0.67374236,0.091921036,-8.81473302,0.922638112,mtx
6.2,cover,cover,,,600.7,,600.7,470,0.617420746,0.040202511,-5.548639272,0.12651957,mtx
1.4,dl,R,,,604.8,,604.8,479,-0.249676026,0.079089715,-7.817545689,0.339083561,mtx
5,si,shl,,,618.2,,618.2,483,0.478153255,0.097449039,-4.964515913,0.289970962,mtx
3.4,cover,cover,,,624,,624,487,0.175179501,0.032132232,-6.130307437,0.098113371,mtx
1.1,si,shl-ri,,,643.4,,643.4,499,0.726027692,0.040401666,-4.028021528,0.047373122,mtx
0.8,si,shl-ri,,,651.3,,651.3,510,1.873667869,0.062842883,-0.640506026,0.31057005,mtx
0.4,dl,ri-shl,,,666.9,,666.9,515,0.66929376,0.068806757,-4.382145487,0.230762535,mtx
0.9,si,shl-ri,,,672.9,,672.9,518,0.573648739,0.139597978,-4.236247065,0.307186295,mtx
0.8,dl,ri-shl,,,676.6,,676.6,521,0.141530875,0.120422058,-4.864955491,0.646205469,mtx
0.3,si,shl,,,679.2,,679.2,525,0.269142745,0.04121582,-5.334329806,0.11286485,mtx
0.3,dl,ri,,,684.1,,684.1,525,0.934495131,0.059610852,-3.942797965,0.148620511,mtx
0.3,si,shl,,,695.2,,695.2,535,0.740679321,0.064941261,-3.222048937,0.358674886,mtx
0.3,dl,ri,,,696.3,,696.3,537,0.788607053,0.030144176,-2.981707911,0.17015709,mtx
0.4,si,shl,,,702.3,,702.3,541,0.36126388,0.068940766,-3.991507153,0.163377488,mtx
0.3,dl,ri,,,716,,716,545,1.186871592,0.06402403,-3.764456465,0.112880551,mtx
0.2,si,shl,,,716.7,,716.7,545,1.220127433,0.065438327,-4.09568567,0.205407189,mtx
0.1,dl,ri,,,722,,722,547,1.530781929,0.057603374,-4.315359077,0.137092357,mtx
0.3,si,shl,,,725.3,,725.3,550,0.796387591,0.048596505,-4.510268757,0.174871812,mtx
0.2,dl,ri,,,726.1,,726.1,552,0.8589777,0.024853611,-4.529865334,0.146558517,mtx
0.3,si,shl,,,740,,740,559,0.841387584,0.045520791,-4.699719124,0.110366094,mtx
0.5,dl,ri,,,743.5,,743.5,562,0.207408069,0.040212705,-5.489761566,0.09236674,mtx
0.3,si,shl,,,745.6,,745.6,564,1.663585216,0.032447431,-3.13167818,0.142713339,mtx
0.1,dl,ri,,,750.3,,750.3,567,1.351544076,0.042850521,-6.14807855,0.086273006,mtx
0.4,si,shl,,,757.1,,757.1,571,1.641200383,0.05324783,-2.990254108,0.08796942,mtx
0.1,dl,ri,,,760.4,,760.4,571,0.62874563,0.060903529,-3.563064132,0.183020649,mtx
0.2,si,shl,,,776.4,,776.4,580,2.119937974,0.03935722,-3.402838839,0.060622006,mtx
0.2,dl,ri,,,780.9,,780.9,582,1.69879858,0.038187999,-2.670639036,0.143431799,mtx
0.1,si,shl,,,792.4,,792.4,589.5,0.985429015,0.048593858,-5.891983392,0.126905414,mtx
0.3,dl,ri,,,793.3,,793.3,591.5,0.853096034,0.054431637,-6.50232862,0.265302089,mtx
1.3,si,shl,,,794.2,,794.2,592,0.416155473,0.055148411,-7.597166349,0.210686375,mtx
0.4,dl,ri,,,794.7,,794.7,592,0.491360505,0.040489774,-6.416739122,0.195078291,mtx
0.2,si,shl,,,795.8,,795.8,592,0.67932555,0.048674177,-6.262455077,0.164807644,mtx
0.1,dl,ri,,,800.2,,800.2,597,0.475321941,0.062337731,-0.227236694,0.220533985,mtx
0.3,si,shl,,,803.9,,803.9,602.5,-0.06390734,0.055465448,-2.203113586,0.173375777,mtx
0.1,dl,ri,,,805.2,,805.2,604,0.389578375,0.040259608,-0.807894671,0.187249302,mtx
0.2,si,shl,,,826.9,,826.9,612,0.150312362,0.046977255,-4.255574018,0.228321458,mtx
0.1,dl,ri,,,828.3,,828.3,613,1.52942669,0.066719787,-2.795875424,0.259209634,mtx
0.3,si,shl,,,829.2,,829.2,614,1.865665015,0.061718006,-2.566206172,0.09863414,mtx
0.1,dl,ri,,,831.6,,831.6,614,1.86848719,0.072029095,-2.984457781,0.204657102,mtx
0.2,cover,cover,,,860.7,,860.7,619,5.482864887,0.025346067,-6.857207267,0.127726379,mtx
0.5,dl,ri,,,862.3,,862.3,620,5.772142865,0.034345862,-7.17955962,0.193262214,mtx
0.2,cover,cover,,,863.7,,863.7,620,6.027012307,0.031141675,-6.178856874,0.110507657,mtx
0.1,dl,ri,,,865.1,,865.1,620,6.331010323,0.037819079,-4.573775614,0.075231315,mtx
1.8,si,shl,,,866.6,,866.6,620,6.758018491,0.052101001,-4.730217576,0.209455849,mtx
0.1,dl,ri,,,868.1,,868.1,620,6.241813195,0.095681141,-4.365004871,0.368730715,mtx
0.9,si,shl,,,870.1,,870.1,620,5.746506199,0.113062447,-5.179000438,0.290775194,mtx
0.1,dl,ri,,,,,,,,,,,
0.8,si,shl,,,,,,,,,,,
9.1,cover,cover,,,,,,,,,,,
0.1,dl,R,,,,,,,,,,,
0.2,cover,cover,,,,,,,,,,,
0.5,dl,R,,,,,,,,,,,
0.2,si,shl,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.5,si,shl,,,,,,,,,,,
0.1,dl,R,,,,,,,,,,,
0.4,si,shl,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.5,si,shl,,,,,,,,,,,
0.5,dl,R,,,,,,,,,,,
0.2,si,shl,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,
0.2,si,shl,,,,,,,,,,,
0.7,dl,R,,,,,,,,,,,
0.6,si,shl,,,,,,,,,,,
0.7,dl,R,,,,,,,,,,,
0.3,si,shl,,,,,,,,,,,
0.6,dl,R,,,,,,,,,,,
0.2,si,shl,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.2,si,shl,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,
0.9,si,shl,,,,,,,,,,,
0.1,dl,R,,,,,,,,,,,
0.4,dl,ri,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,
0.1,si,shl,,,,,,,,,,,
0.3,dl,ri,,,,,,,,,,,
0.9,si,shl,,,,,,,,,,,
0.6,dl,ri,,,,,,,,,,,
0.2,si,shl,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,
0.3,si,shl,,,,,,,,,,,
0.7,dl,R,,,,,,,,,,,
0.6,si,shl,,,,,,,,,,,
0.2,dl,ri,,,,,,,,,,,
0.3,si,shl-ri,,,,,,,,,,,
0.1,dl,R,,,,,,,,,,,
0.9,si,shl,,,,,,,,,,,
0.5,dl,R,,,,,,,,,,,
1.2,si,shl-ri,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,
0.7,dl,ri,,,,,,,,,,,
0.3,cover,cover,,,,,,,,,,,
0.7,cover,cover,,,,,,,,,,,
0.9,dl,R,,,,,,,,,,,
0.4,dl,ri,,,,,,,,,,,
1.6,cover,cover,,,,,,,,,,,
4.3,si,shl-ri,,,,,,,,,,,
3.9,si,shl,,,,,,,,,,,
0.9,si,shl-ri,,,,,,,,,,,
4.9,cover,cover,,,,,,,,,,,
0.2,si,shl,,,,,,,,,,,
0.1,dl,R,,,,,,,,,,,
3.4,cover,cover,,,,,,,,,,,
1.2,dl,R,,,,,,,,,,,
0.2,dl,ri,,,,,,,,,,,
0.1,dl,ri,,,,,,,,,,,
0.1,dl,ri,,,,,,,,,,,
1.4,dl,ri-shl,,,,,,,,,,,
0.8,dl,R,,,,,,,,,,,
0.7,si,shl-ri,,,,,,,,,,,
0.4,dl,ri,,,,,,,,,,,
0.4,si,shl-ri,,,,,,,,,,,
1.1,dl,ri,,,,,,,,,,,
0.5,si,shl-ri,,,,,,,,,,,
0.3,dl,ri,,,,,,,,,,,
0.8,si,shl-ri,,,,,,,,,,,
0.4,dl,ri,,,,,,,,,,,
0.3,si,shl-ri,,,,,,,,,,,
0.3,dl,ri,,,,,,,,,,,
0.7,si,shl-ri,,,,,,,,,,,
0.6,dl,ri,,,,,,,,,,,
0.3,si,shl-ri,,,,,,,,,,,
0.3,dl,ri,,,,,,,,,,,
0.3,si,shl-ri,,,,,,,,,,,
1.1,dl,ri,,,,,,,,,,,
0.4,si,shl-ri,,,,,,,,,,,
2.8,dl,ri,,,,,,,,,,,
0.3,si,shl-ri,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,
0.8,dl,ri,,,,,,,,,,,
