Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,
T3,6/9/10,,,,,WGS84,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx,CARB_d44_40Ca,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
1.5,ls,ri,3 5 cm thick layers of beef calcite,,1,,1,0,2.95,-10.52,mtx,,,,,,,,,,
7.1,si,shl,,,8.7,,8.7,2,4.16,-10.46,mtx,,,,,,,,,,
0.2,ls,ri,,,17.3,,17.3,9.5,0.94,-7.32,mtx,,,,,,,,,,
4,si,shl,,,39.4,,39.4,23,1.63,-10.19,mtx,,,,,,,,,,
0.8,si,shl,,,46,,46,26.5,1.34,-7.8,mtx,,,,,,,,,,
0.4,ls,ri,,,48.9,,48.9,30.5,1.93,-11.03,mtx,,,,,,,,,,
0.4,si,shl,,,54.7,,54.7,37,3.54,-10.74,mtx,,,,,,,,,,
2.1,ls,ri,5 cm thick shl interbeds,,57.3,,57.3,41,3.37,-8.87,mtx,,,,,,,,,,
0.2,si,shl,,,60.7,,60.7,49.5,4.96,-11.81,mtx,,,,,,,,,,
0.6,ls,ri,,,64.3,,64.3,50.5,3.54,-8.61,mtx,,,,,,,,,,
0.1,si,shl,,,65.6,,65.6,53,4.52,-9.22,mtx,,,,,,,,,,
0.3,ls,ri,,,68.2,,68.2,55,4.47,-9.78,mtx,,,,,,,,,,
0.3,si,shl,,,69.7,,69.7,55.5,4.89,-9.47,mtx,,,,,,,,,,
0.7,ls,ri,,,72.8,,72.8,60,5.51,-10.58,mtx,,,,,,,,,,
2.1,si,shl,,,74.7,,74.7,62,6.05,-10.76,mtx,,,,,,,,,,
0.1,ls,ri,,,77,,77,62,5.37,-9.95,mtx,,,,,,,,,,
2.2,si,shl,,,79.4,,79.4,66,5.91,-9.28,mtx,,,,,,,,,,
3.3,cover,cover,,,81.3,,81.3,68,6.09,-9.95,mtx,,,,,,,,,,
1.5,ls,ri,recrystallized,,83.3,,83.3,70,5.95,-9.68,mtx,,,,,,,,,,
6.6,cover,cover,,,84.5,,84.5,72.5,6.35,-10.06,mtx,,,,,,,,,,
2.7,si,shl,,,94,,94,76,5.47,-9.36,mtx,,,,,,,,,,
0.2,ls,ri,,,96.7,,96.7,80,4.86,-8.04,mtx,,,,,,,,,,
1.9,si,shl,,,98.5,,98.5,82,5.2,-8.12,mtx,,,,,,,,,,
0.3,ls,ri,,,102,,102,86,5.19,-8.93,mtx,,,,,,,,,,
6.2,si,shl,,,103.5,,103.5,88.5,5.89,-8.69,mtx,,,,,,,,,,
0.1,ls,ri,,,105.4,,105.4,90,5.85,-9.26,mtx,,,,,,,,,,
0.1,si,shl,,,108,,108,91,6.01,-9.15,mtx,,,,,,,,,,
0.1,ls,ri,,,109.1,,109.1,92.5,6.35,-8.94,mtx,,,,,,,,,,
0.7,si,shl,,,110.9,,110.9,95,6.15,-9.08,mtx,,,,,,,,,,
0.1,ls,ri,,,113.3,,113.3,99,5.68,-8.83,mtx,,,,,,,,,,
2,si,shl,,,114.9,,114.9,100,6.09,-8.8,mtx,,,,,,,,,,
0.1,ls,ri,recrystallized,,116.7,,116.7,102,5.86,-8.84,mtx,,,,,,,,,,
0.7,si,shl,,,118.4,,118.4,106,6.02,-8.27,mtx,,,,,,,,,,
0.9,cover,cover,,,121.2,,121.2,112,6.06,-8.48,mtx,,,,,,,,,,
0.6,ls,ri,,,123.2,,123.2,114,5.88,-7.63,mtx,,,,,,,,,,
2.2,cover,cover,,,125.6,,125.6,118,5.84,-8.82,mtx,,,,,,,,,,
1.1,si,shl,,,127.1,,127.1,124,5.78,-8.61,mtx,,,,,,,,,,
0.3,ls,ri,wavy lamination,,129.9,,129.9,127,5.55,-8.58,mtx,,,,,,,,,,
1.9,si,shl,a few 2 cm thick ls beds,,131.1,,131.1,128,6.18,-8.51,mtx,,,,,,,,,,
0.1,ls,ri,,,134.1,,134.1,131,5.71,-8.17,mtx,,,,,,,,,,
0.4,si,shl,,,137.3,,137.3,134,5.64,-8.67,mtx,,,,,,,,,,
0.2,ls,ri,,,138.3,,138.3,134,5.64,-7.98,mtx,,,,,,,,,,
2,si,shl,,,139.9,,139.9,136.5,4.69,-8.37,mtx,,,,,,,,,,
0.1,ls,ri,,,142.5,,142.5,138,4.53,-7.85,mtx,,,,,,,,,,
0.2,si,shl,,,144.7,,144.7,140,5.14,-8.09,mtx,,,,,,,,,,
0.1,ls,ri,,,146.2,,146.2,144,5.25,-8.32,mtx,,,,,,,,,,
0.5,si,shl,,,148.6,,148.6,147,5.4,-8.3,mtx,,,,,,,,,,
0.1,ls,ri,,,150.8,,150.8,148,5.05,-8.01,mtx,,,,,,,,,,
0.2,si,shl,,,154.4,,154.4,152,4.75,-7.7,mtx,,,,,,,,,,
0.1,ls,ri,,,157.7,,157.7,156.5,5.06,-8.54,mtx,,,,,,,,,,
3.6,si,shl,variable bedding,,164,,164,169,4.85,-7.51,mtx,,,,,,,,,,
0.4,ls,ri,wispy dl laminations,,166.4,,166.4,171.5,4.8,-8.06,mtx,,,,,,,,,,
0.8,si,shl,,,168.4,,168.4,172,4.08,-7.07,mtx,,,,,,,,,,
0.6,ls,ri,wispy dl laminations,,170.6,,170.6,175,2.79,-5.74,mtx,,,,,,,,,,
1.7,si,shl,,,173,,173,176,5.11,-8.35,mtx,,,,,,,,,,
1.9,ls,ri,low-angle swaley cross-strat,,176.6,,176.6,181,5.25,-7.38,mtx,,,,,,,,,,
0.2,cover,cover,,,178.3,,178.3,182.5,4.75,-7.3,mtx,,,,,,,,,,
0.3,ls,ri,,,180.2,,180.2,183.5,4.49,-7.44,mtx,,,,,,,,,,
1.7,si,shl,1-5 cm dl beds,,182.5,,182.5,186,5.26,-7.93,mtx,,,,,,,,,,
0.5,ls,ri,shale breaks,,185,,185,188.5,4.8,-7.88,mtx,,,,,,,,,,
2.1,ls,ri,ssd slump folds + sxb,,187,,187,190,5.4,-7.86,mtx,,,,,,,,,,
0.1,si,shl,hcs,,188.8,,188.8,190.5,4.53,-7.77,mtx,,,,,,,,,,
3.3,ls,ri,current ripples + hummocky cross-strat + photo ACM1081-1082,,191.2,,191.2,194,4.54,-8.13,mtx,,,,,,,,,,
0.3,si,shl,,,193.8,,193.8,196,5.74,-7.19,mtx,,,,,,,,,,
0.3,ls,gr,slightly dl,,195.1,,195.1,196,,,mtx,,,,,,,,,,
0.7,si,shl,,,198.2,,198.2,200,4.85,-7.74,mtx,,,,,,,,,,
0.3,ls,ri,parallel lamination,,199.6,,199.6,202,5.18,-8.38,mtx,,,,,,,,,,
0.3,si,shl,,,201.5,,201.5,202,5.9,-7.86,mtx,,,,,,,,,,
2.4,ls,ri,,,203.5,,203.5,202,5.57,-8.69,mtx,,,,,,,,,,
0.1,ls,gr,slightly dl + ssd slump folds,,207.3,,207.3,204,5.4,-7.94,mtx,,,,,,,,,,
1.1,ls,ri,,,209.9,,209.9,205.5,3.46,-6.73,mtx,,,,,,,,,,
0.2,ls,gr,,,212.4,,212.4,207,5.37,-8.22,mtx,,,,,,,,,,
0.9,ls,ri,,,214.6,,214.6,210,4.99,-7.76,mtx,,,,,,,,,,
3.1,ls,ri,current ripples + hcs,,216.4,,216.4,212,5.5,-7.85,mtx,,,,,,,,,,
2.3,cover,cover,,,218.4,,218.4,212.5,5.66,-7.91,mtx,,,,,,,,,,
3.1,cover,cover,,,220.3,,220.3,213,5.64,-8.19,mtx,,,,,,,,,,
2.8,ls,ri,shale interbeds,,222.4,,222.4,215,4.81,-7.94,mtx,,,,,,,,,,
