Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,
0.2,si,shl,,,223.7,,223.7,215,5.37,-8.12,mtx,,,,,,,,,,
0.2,ls,ri,,,225.9,,225.9,219,4.67,-8.28,mtx,,,,,,,,,,
0.3,si,shl,,,227.6,,227.6,220,5.56,-8.78,mtx,,,,,,,,,,
0.3,ls,ri,,,229.9,,229.9,221,5.53,-8.58,mtx,,,,,,,,,,
0.9,si,shl,,,231.5,,231.5,223.5,4.25,-7.36,mtx,,,,,,,,,,
1.4,ls,ri,,,237.5,,237.5,227,4.68,-8.52,mtx,,,,,,,,,,
1.2,si,shl,,,239.1,,239.1,229,5.34,-8.65,mtx,,,,,,,,,,
0.2,ls,ri,,,240.6,,240.6,231,4.09,-6.59,mtx,,,,,,,,,,
0.8,si,shl,,,246.3,,246.3,234,4.9,-8.98,mtx,,,,,,,,,,
2,ls,ri,,,248.3,,248.3,234,5.21,-8.39,mtx,,,,,,,,,,
0.1,si,shl,,,254.5,,254.5,237,3.59,-6.86,mtx,,,,,,,,,,
0.1,ls,ri,,,258.8,,258.8,239,4.59,-8.38,mtx,,,,,,,,,,
1.2,si,shl,,,262.9,,262.9,241.5,4.55,-8.91,mtx,,,,,,,,,,
2.8,ls,ri,scour with thin grainstone,,264.5,,264.5,242,5.02,-8.99,mtx,,,,,,,,,,
0.6,ls,ri,1-5 cm shale interbeds,,266.8,,266.8,244,4.28,-7.87,mtx,,,,,,,,,,
1,ls,ri,hcs,,268.3,,268.3,245,4.89,-8.59,mtx,,,,,,,,,,
1.4,ls,ri,shale breaks,,270.7,,270.7,247,4.07,-8.13,mtx,,,,,,,,,,
0.1,si,shl,,,277.5,,277.5,249,5.08,-8.92,mtx,,,,,,,,,,
0.5,ls,ri,1-5 cm shale interbeds + ssd,,280.1,,280.1,249,4.88,-9.13,mtx,,,,,,,,,,
0.6,ls,ri,hcs,,281.3,,281.3,249.5,5.33,-8.88,mtx,,,,,,,,,,
0.1,si,shl,,,288.7,,288.7,252,5.6,-8.8,mtx,,,,,,,,,,
0.5,ls,ri,hcs,,290.1,,290.1,254,5.39,-8.54,mtx,,,,,,,,,,
1.5,ls,ri,1-5 cm shale interbeds,,299.7,,299.7,256,5.52,-9.47,mtx,,,,,,,,,,
1.9,ls,ri,sxb,,304.7,,304.7,258,5.15,-8.98,mtx,,,,,,,,,,
0.3,si,shl,,,308.4,,308.4,258.5,4.68,-9,mtx,,,,,,,,,,
1.5,ls,ri,ssd + pl,,313.6,,313.6,260,4.84,-9.09,mtx,,,,,,,,,,
0.3,si,shl,,,316.2,,316.2,264,4.05,-8.23,mtx,,,,,,,,,,
0.1,ls,ri,wispy dl laminations,,318.7,,318.7,265,4.47,-8.05,mtx,,,,,,,,,,
0.2,si,shl,,,321.9,,321.9,267,4.79,-8.98,mtx,,,,,,,,,,
0.5,ls,ri,current ripples + some grainstone + crp,,322.2,,322.2,267,5.07,-8.78,mtx,-1.134896752,,13,3.73E+05,23,2650,405,70,392,2345
0.4,cover,cover,,,322.2,,322.2,267,5.52,-8.97,mts,,0.70667,474.2690792,423403.1303,881.7210336,1476.38467,120.6296075,73.04273639,19.26260482,1493.41159
0.5,ls,ri,,,322.2,,322.2,267,5.52,-8.57,mts,,,,,,,,,,
0.2,si,shl,,,322.9,,322.9,269,5.39,-9.21,mtx,,,,,,,,,,
0.2,ls,ri,,,322.9,,322.9,269,5.53,-8.6,mts,,,,,,,,,,
0.3,si,shl,3 cm thick ribbonite beds,,322.9,,322.9,269,5.53,-8.6,mts,,,,,,,,,,
1.4,ls,ri,hcs + photo ACM1080,,323.1,,323.1,269,4.64,-8.15,mtx,,,,,,,,,,
0.2,si,shl,,,326.6,,326.6,271,4.75,-9.08,mtx,,,,,,,,,,
1.7,ls,ri,ssd + shale breaks,,327.2,,327.2,271,4.22,-8.17,mtx,,,,,,,,,,
0.4,si,shl,,,330.1,,330.1,273,3.94,-7.86,mtx,,,,,,,,,,
0.7,ls,ri,hcs,,332.9,,332.9,278,5.32,-8.88,mtx,,,,,,,,,,
0.8,ls,ri,1-3 cm shale interbeds,,334.5,,334.5,279,5.24,-8.85,mtx,,,,,,,,,,
1,ls,ri,shale breaks,,336.3,,336.3,280,5.13,-9.62,mtx,,,,,,,,,,
0.1,si,shl,,,337.2,,337.2,282,5.23,-9.52,mtx,,,,,,,,,,
0.1,ls,ri,,,337.2,,337.2,282,5.16,-8.8,mts,,,,,,,,,,
0.2,si,shl,,,337.2,,337.2,282,5.16,-8.8,mts,,,,,,,,,,
0.1,ls,ri,,,337.7,,337.7,282,5.44,-9.9,mtx,,,,,,,,,,
0.1,si,shl,,,341,,341,283,5.56,-8.96,mtx,,,,,,,,,,
0.5,ls,ri,pl,,343.1,,343.1,284.5,5.53,-8.95,mtx,,,,,,,,,,
0.2,si,shl,,,344.9,,344.9,285,5.93,-6.53,mtx,,,,,,,,,,
0.5,ls,ri,wispy dl laminations,,344.9,,344.9,285,5.76,-8.48,mts,,,,,,,,,,
2.5,ls,ri,1-10 cm shale interbeds,,344.9,,344.9,285,5.76,-8.48,mts,,,,,,,,,,
1.1,ls,ri,,,345,,345,285,5.45,-8.97,mtx,,,,,,,,,,
1.1,si,shl,,,348.9,,348.9,286,5.68,-8.67,mtx,,,,,,,,,,
0.7,si,shl,2-5 5 cm ribbonite interbeds,,350.3,,350.3,287,5.48,-8.92,mtx,,,,,,,,,,
0.6,ls,ri,,,351.6,,351.6,287.5,5.33,-8.88,mtx,,,,,,,,,,
1,ls,ri,,,358.5,,358.5,289,5.36,-8.24,mtx,,,,,,,,,,
1.4,si,shl,ssd,,362.8,,362.8,292,5.15,-7.78,mts,,,,,,,,,,
1.9,ls,ri,ssd; some grainstone,,362.8,,362.8,292,5.38,-8.55,mtx,-1.362826535,,256,1.95E+05,117,5396,254,689,489,556
0.2,si,shl,,,362.8,,362.8,292,5.15,-7.78,mts,,,,,,,,,,
1.2,ls,ri,pl + some horiz dl,,363.2,,363.2,293.5,,,mtx,,,,,,,,,,
1.2,si,shl,,,363.6,,363.6,294.5,1.57,-5.46,mtx,,,,,,,,,,
3,ls,ri,pl + shale breaks,,364.7,,364.7,297,4.46,-6.86,mtx,,,,,,,,,,
0.5,si,shl,,,365,,365,297,,,mtx,,,,,,,,,,
0.2,ls,ri,,,368.1,,368.1,297,5.08,-8.03,mtx,,,,,,,,,,
0.3,si,shl,,,371.1,,371.1,300,5.08,-8.07,mtx,,,,,,,,,,
0.2,ls,ri,pl,,373.1,,373.1,301,5.45,-7.81,mtx,,,,,,,,,,
0.2,si,shl,,,374.4,,374.4,303,5.18,-8.58,mtx,,,,,,,,,,
0.8,ls,ri,,,377.3,,377.3,307,5.03,-7.85,mtx,,,,,,,,,,
0.4,si,shl,1-3 cm ribbonite interbeds,,380.1,,380.1,310,5.04,-8.19,mtx,,,,,,,,,,
1.4,ls,ri,sxb,,382.5,,382.5,313,4.81,-8.06,mtx,,,,,,,,,,
2.6,si,shl,1-2 cm ribbonite interbeds,,383.1,,383.1,313,5.83,-7.28,mtx,,,,,,,,,,
1,ls,ri,shale breaks,,384,,384,315,4.48,-7.23,mtx,,,,,,,,,,
1.8,si,shl,ribbonite interbeds,,384,,384,315,4.75,-7.32,mts,,,,,,,,,,
0.2,ls,ri,sxb,,384,,384,315,4.75,-7.32,mts,,,,,,,,,,
0.3,si,shl,,,385.4,,385.4,316,5.07,-7.96,mtx,,,,,,,,,,
0.7,ls,ri,mt1,,388,,388,320,5.02,-8.35,mtx,,,,,,,,,,
1.7,cover,cover,,,389.5,,389.5,322,5.27,-8.24,mtx,,,,,,,,,,
0.2,si,shl,,,391.1,,391.1,325.5,5.1,-9.02,mtx,,,,,,,,,,
0.4,ls,ri,,,393.9,,393.9,328,5.32,-7.91,mtx,,,,,,,,,,
0.7,si,shl,ribbonite interbeds,,395.1,,395.1,329,5.53,-7.58,mtx,,,,,,,,,,
0.1,ls,ri,,,397.6,,397.6,333,5.6,-8.44,mtx,,,,,,,,,,
0.1,si,shl,,,400.8,,400.8,339,5.38,-8.43,mtx,,,,,,,,,,
0.5,ls,ri,,,403.1,,403.1,346,4.21,-7.01,mtx,,,,,,,,,,
0.2,si,shl,,,403.8,,403.8,347.5,5.47,-8.71,mtx,,,,,,,,,,
2.4,ls,ri,interval sampled for pmag,,405.5,,405.5,352.5,5.02,-8.63,mtx,,,,,,,,,,
0.9,si,shl,,,408.4,,408.4,356,5.25,-7.79,mtx,,,,,,,,,,
0.2,ls,gr,,,410.2,,410.2,360,5.38,-8.71,mtx,,,,,,,,,,
0.1,si,shl,,,411.7,,411.7,362,5.45,-7.76,mtx,,,,,,,,,,
0.1,ls,ri,,,414.7,,414.7,367,5.5,-8.82,mtx,,,,,,,,,,
0.2,si,shl,,,417.1,,417.1,373,5.29,-8.58,mtx,,,,,,,,,,
0.1,ls,ri,,,418.7,,418.7,376,5.34,-8.56,mtx,,,,,,,,,,
1.2,si,shl,5-10 cm ribbonite interbeds,,421.9,,421.9,381.5,5.26,-7.89,mtx,,,,,,,,,,
1,ls,ri,shale breaks and interbeds up to 5 cm + sxb,,424.5,,424.5,388.5,,,mtx,,,,,,,,,,
0.6,si,shl,ribbonite interbeds,,425.7,,425.7,392,3.35,-6.43,mtx,-1.133279865,,114,2.52E+05,,2607,213,484,,920
1,ls,ri,sxb,,425.7,,425.7,392,5.86,-5.79,mts,,0.70673,383.2179081,436409.1063,215.3357522,810.5078084,52.70098553,62.17592193,16.66333291,1666.011315
2.5,ls,ri,shale breaks and interbeds up to 5 cm,,425.7,,425.7,392,5.86,-5.79,mts,,,,,,,,,,
0.7,ls,ri,crp with low-angle truncations,,426.7,,426.7,393,5.49,-7.83,mtx,,,,,,,,,,
0.8,cover,cover,,,429.1,,429.1,400,5.02,-7.95,mtx,,,,,,,,,,
1.2,si,shl,5 cm ribbonite interbeds,,432.6,,432.6,405,5.84,-7.81,mtx,,,,,,,,,,
2,ls,ri,pl + hcs,,433.1,,433.1,405,5.89,-6.37,mtx,,,,,,,,,,
0.7,si,shl,5 cm ribbonite interbeds,,433.1,,433.1,405,5.32,-4.89,mts,,,,,,,,,,
1.1,ls,ri,,,433.1,,433.1,405,5.32,-4.89,mts,,,,,,,,,,
0.3,si,shl,,,434.2,,434.2,410.5,5.42,-7.74,mtx,,,,,,,,,,
0.6,ls,ri,shale interbeds,,437.3,,437.3,415,5.65,-7.14,mtx,,,,,,,,,,
0.8,ls,ri,ssd (ball and pillow),,440.8,,440.8,416,5.76,-6.74,mtx,,,,,,,,,,
1.2,ls,ri,shale breaks and interbeds up to 5 cm,,443.6,,443.6,420,5.98,-6.21,mtx,,,,,,,,,,
1.9,si,shl,3-5 cm shale interbeds,,446.4,,446.4,425,5.89,-6.47,mtx,,,,,,,,,,
1.8,ls,ri,shale breaks and 1-3 cm interbeds,,449.5,,449.5,431,5.59,-7,mtx,,,,,,,,,,
0.4,ls,ri,shale interbeds,,450.7,,450.7,433,5.51,-7.25,mtx,,,,,,,,,,
0.2,ls,ri,,,453.3,,453.3,436.5,5.54,-7.62,mtx,,,,,,,,,,
0.6,si,shl,,,455,,455,439.5,5.61,-8.22,mtx,,,,,,,,,,
1.8,ls,ri,shale breaks and 1 cm interbeds,,457.1,,457.1,443.5,5.78,-7.93,mtx,,,,,,,,,,
1,si,shl,ribbonite interbeds,,458.8,,458.8,447,5.89,-8.77,mtx,,,,,,,,,,
2.8,ls,ri,,,460.8,,460.8,449,5.6,-9.02,mtx,,,,,,,,,,
0.9,cover,cover,,,462.8,,462.8,453,5.51,-8.96,mtx,,,,,,,,,,
0.2,ls,ri,,,466.7,,466.7,456,5.47,-8.66,mtx,,,,,,,,,,
0.8,si,shl,ribbonite interbeds,,470,,470,459.5,5.78,-8.47,mtx,,,,,,,,,,
2.1,ls,ri,pl + ssd,,470.5,,470.5,460,5.17,-6.67,mtx,,,,,,,,,,
0.1,si,shl,,,470.5,,470.5,460,4.09,-5.69,mts,,,,,,,,,,
2.3,ls,ri,pl + hcs,,470.5,,470.5,460,4.09,-5.69,mts,,,,,,,,,,
1.9,si,shl,1-3 cm ribbonite interbeds,,471.2,,471.2,460,5.15,-7.53,mtx,,,,,,,,,,
0.3,ls,gr,ic,,474.9,,474.9,462,5.69,-6.33,mtx,,,,,,,,,,
0.7,si,shl,1-3 cm ribbonite interbeds,,477.5,,477.5,465,5.02,-6.91,mtx,,,,,,,,,,
0.2,ls,ri,,,478.5,,478.5,468,5.61,-7.13,mtx,,,,,,,,,,
1.2,ls,ri,shale breaks and 1 cm interbeds,,482.2,,482.2,470,4.8,-6.76,mtx,,,,,,,,,,
4.8,ls,ri,hcs + photo ACM1084,,484.4,,484.4,474,5.88,-7.09,mtx,,,,,,,,,,
2.2,si,shl,1-3 cm ribbonite interbeds,,486.2,,486.2,476,5.66,-6.37,mtx,,,,,,,,,,
2.4,ls,ri,shale breaks and 1 cm interbeds,,489.6,,489.6,480,5.57,-6.68,mtx,,,,,,,,,,
1,ls,ri,some horiz dl,,490.3,,490.3,481,5.5,-6.8,mtx,,,,,,,,,,
2.4,ls,ri,1-3 cm shale interbeds,,490.3,,490.3,481,5.81,-4.85,mts,,,,,,,,,,
0.2,ls,ri,,,490.3,,490.3,481,5.81,-4.85,mts,,,,,,,,,,
1.7,ls,ri,crp + 1-5 cm shale interbeds,,490.5,,490.5,482,5.96,-6.29,mtx,,,,,,,,,,
0.3,si,shl,,,493,,493,486,5.66,-6.67,mtx,,,,,,,,,,
0.9,ls,ri,,,499.8,,499.8,491,5.66,-6.96,mtx,,,,,,,,,,
0.4,cover,cover,,,503,,503,493,4.64,-6.65,mtx,,,,,,,,,,
2.6,ls,ri,,,505.4,,505.4,495,5.48,-7.53,mtx,,,,,,,,,,
2.1,ls,ri,hcs,,510.8,,510.8,498,5.61,-7.03,mtx,,,,,,,,,,
0.5,cover,cover,,,511.8,,511.8,498,5.76,-7.58,mtx,,,,,,,,,,
3.2,ls,ri,shale breaks,,515.2,,515.2,501,5.98,-7.52,mtx,,,,,,,,,,
0.1,si,shl,,,519.7,,519.7,503,5.48,-7.86,mtx,,,,,,,,,,
0.4,ls,ri,,,521,,521,505,5.57,-7.34,mtx,,,,,,,,,,
0.1,ls,gr,,,526.3,,526.3,507,5.45,-6.99,mtx,,,,,,,,,,
1.4,ls,ri,shale breaks,,527.8,,527.8,508,5.37,-7.26,mtx,,,,,,,,,,
1.9,ls,ri,ssd + crp,,536,,536,510,6.13,-6.56,mtx,,,,,,,,,,
2.8,ls,ri,,,542.3,,542.3,512,5.17,-6.54,mtx,,,,,,,,,,
0.3,cover,cover,,,549.1,,549.1,517,6.08,-6.92,mtx,,,,,,,,,,
0.3,ls,ri,,,552,,552,520,5.17,-6.86,mtx,-1.265209511,,4,3.54E+05,12,2348,264,90,,1954
1.4,ls,ri,shale breaks and 1 cm interbeds,,552,,552,520,,,mts,,0.70672,495.9995211,463495.3488,1042.387399,941.2439563,99.45981098,53.87178333,-43.25349316,1453.593059
1.5,cover,cover,,,557.2,,557.2,522.5,5.68,-7.13,mtx,,,,,,,,,,
2.8,ls,ri,shale breaks + poorly exposed,,561.8,,561.8,527,5.88,-7.37,mtx,,,,,,,,,,
1.4,ls,ri,pl + some horiz dl,,563.3,,563.3,529,5.89,-6.77,mtx,,,,,,,,,,
0.4,ls,ri,1-3 cm shale interbeds,,563.3,,563.3,529,6.23,-6.71,mts,,,,,,,,,,
0.2,ls,ri,,,563.3,,563.3,529,6.23,-6.71,mts,,,,,,,,,,
0.2,cover,cover,,,564.2,,564.2,529,5.71,-7.12,mtx,,,,,,,,,,
1.3,ls,ri,sxb + with small scours,,569.3,,569.3,533,5.59,-7.09,mtx,,,,,,,,,,
2.8,cover,cover,,,572,,572,535,5.89,-7.28,mtx,,,,,,,,,,
1.9,ls,ri,poorly exposed,,574.1,,574.1,536.5,5.3,-6.97,mtx,,,,,,,,,,
3.4,ls,ri,pl + ssd,,578.8,,578.8,539,5.92,-7.53,mtx,,,,,,,,,,
3,ls,ri,poorly exposed,,579.8,,579.8,539,5.91,-6.74,mtx,,,,,,,,,,
0.8,cover,cover,,,580.8,,580.8,541.5,5.69,-8.07,mtx,,,,,,,,,,
3.1,ls,ri,,,584.3,,584.3,543,5.35,-7.19,mtx,,,,,,,,,,
0.7,cover,cover,,,589.8,,589.8,545,5.86,-6,mts,,,,,,,,,,
2.8,ls,ri,ssd,,589.8,,589.8,545,5.83,-6.56,mtx,,,,,,,,,,
0.1,ls,gr,,,589.8,,589.8,545,5.86,-6,mts,,,,,,,,,,
3.6,ls,ri,,,593.9,,593.9,548.5,5.92,-6.66,mtx,,,,,,,,,,
2.4,ls,ri,ssd,,598.6,,598.6,553,5.78,-7.42,mtx,,,,,,,,,,
0.1,ls,gr,,,598.8,,598.8,553,5.19,-6.93,mtx,,,,,,,,,,
2.2,ls,ri,sxb,,602.4,,602.4,555,5.62,-6.42,mtx,,,,,,,,,,
1.4,ls,ri,ssd,,602.5,,602.5,555,4.53,-7.1,mtx,-1.085717112,,36,3.22E+05,85,1483,141,130,,1779
1,cover,cover,,,602.5,,602.5,555,5.78,-3.95,mts,,0.70674,365.4684926,417448.9451,321.9895016,632.3488101,59.84590972,53.7569738,-14.96100123,1221.094197
3.2,ls,ri,,,602.5,,602.5,555,5.78,-3.95,mts,,,,,,,,,,
3,cover,cover,,,605.3,,605.3,559,6.02,-6.77,mtx,,,,,,,,,,
5.1,ls,ri,sxb + pl,,615.6,,615.6,563,5.46,-8.12,mtx,,,,,,,,,,
7,cover,cover,,,616.6,,616.6,564,5.47,-6.41,mtx,,,,,,,,,,
0.3,si,shl,,,618.7,,618.7,568.5,5.34,-7.3,mtx,,,,,,,,,,
0.2,ls,ri,,,645.1,,645.1,571,5.19,-4.56,mtx,,,,,,,,,,
0.1,ls,st,(?) elongate with lack of clear laminae--long axis 187,,677.6,,677.6,573,5.66,-6.07,mtx,,,,,,,,,,
1.4,ls,ri,sxb,,678.4,,678.4,574,5.61,-5.27,mtx,,,,,,,,,,
8.4,cover,cover,,,678.4,,678.4,574,5.25,-5.47,mts,,,,,,,,,,
2.8,ls,ri,,,678.4,,678.4,574,5.25,-5.47,mts,,,,,,,,,,
1.8,cover,cover,,,679.9,,679.9,576,5.45,-6.08,mtx,,,,,,,,,,
5.1,ls,ri,weathered in stream--hard to see interior structure,,682.2,,682.2,578,5.27,-5.27,mtx,,,,,,,,,,
5.1,ls,ri,shale breaks and interbeds up to 5 cm,,685.8,,685.8,581,4.64,-4.72,mtx,,,,,,,,,,
0.2,ls,ri,,,702.1,,702.1,588,5.08,-6.21,mtx,,,,,,,,,,
0.3,si,shl,,,711.6,,711.6,588,5.09,-6.1,mtx,,,,,,,,,,
0.1,ls,ri,,,717.2,,717.2,588,4.62,-5.71,mtx,,,,,,,,,,
0.8,si,shl,,,725.2,,725.2,589,5.21,-5.75,mtx,,,,,,,,,,
2.8,ls,ri,poorly exposed,,732.2,,732.2,589,5.51,-5.82,mtx,,,,,,,,,,
1.1,ls,ri,mt1 + horiz dl,,736.4,,736.4,589,4.99,-5.88,mtx,,,,,,,,,,
2.3,ls,ri,poorly exposed,,746.2,,746.2,589,5.09,-5.56,mtx,,,,,,,,,,
1.4,ls,ri,shale breaks,,753.3,,753.3,589,5.23,-5.72,mtx,,,,,,,,,,
0.3,si,shl,,,759,,759,591,4.98,-6.38,mtx,,,,,,,,,,
0.4,ls,ri,shale breaks,,,,,,,,,,,,,,,,,,
0.6,ls,st,elongate--long axis 195,,,,,,,,,,,,,,,,,,
4.2,ls,ri,ib ri/shl 1-5 cm interbeds,,,,,,,,,,,,,,,,,,
1.8,si,shl,0.5 to 3 cm ribbonite ib,,,,,,,,,,,,,,,,,,
