Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
T9,6/22/10,,,,,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
1.5,ls,ri,,,0,,0,,5.85,-8.14,mtx
3.3,cover,cover,,,5.3,,5.3,,5.59,-8.17,mtx
0.7,ls,ri,,,9.3,,9.3,,5.35,-6.61,mtx
2.8,cover,cover,,,10.5,,10.5,,5.93,-7.75,mtx
9.1,ls,ri,,,15.4,,15.4,,5.19,-6.7,mtx
0.9,cover,cover,,,19,,19,,5.8,-7.13,mtx
1.4,ls,ri,,,25.4,,25.4,,1.57,-7.95,mtx
4.6,cover,cover,,,29.2,,29.2,,5.81,-7.82,mtx
2.3,ls,ri,,,32.4,,32.4,,4.41,-7.41,mtx
2,cover,cover,,,37.1,,37.1,,3.31,-7.32,mtx
3.7,ls,ri,,,40,,40,,5.26,-9.44,mtx
0.2,si,shl,,,46.9,,46.9,,0.34,-7.09,mtx
0.3,ls,ri,1mt,,50.7,,50.7,,1.45,-8.03,mtx
0.8,cover,cover,,,54.8,,54.8,,1.8,-6.24,mtx
0.2,ls,ri,,,58.5,,58.5,,1.01,-9.25,mtx
3.5,cover,cover,,,61,,61,,1.52,-9.02,mtx
0.1,ls,ri,,,66.7,,66.7,,4.4,-9.11,mtx
1.2,cover,cover,,,74.2,,74.2,,5.16,-7.57,mtx
0.1,ls,ri,,,90.3,,90.3,,3.43,-10.6,mtx
1,cover,cover,,,92.4,,92.4,,3.3,-8.61,mtx
0.9,ls,ri,,,94.8,,94.8,,3.39,-9.03,mtx
1.2,cover,cover,,,99.1,,99.1,,3.42,-8.69,mtx
0.9,ls,ri,,,101,,101,,3.56,-8.35,mtx
4.1,cover,cover,,,102.7,,102.7,,-0.7,-8.38,mtx
5,ls,ri,sxs,,109.3,,109.3,,4.38,-10.12,mtx
2.8,cover,cover,,,111.3,,111.3,,3.26,-8.91,mtx
5.4,ls,ri,sxs,,113.8,,113.8,,2.85,-8.67,mtx
1,cover,cover,,,117.7,,117.7,,-0.08,-8.81,mtx
0.4,ls,icb,fs,,119.9,,119.9,,4.45,-9.66,mtx
1.9,si,shl,,,129.8,,129.8,,4.15,-9.26,mtx
0.2,ls,ri,,,131.6,,131.6,,2.81,-8.36,mtx
3.4,cover,cover,,,133.8,,133.8,,4.16,-10.77,mtx
3.6,ls,ri,,,136.3,,136.3,,2.7,-8.7,mtx
1.9,cover,cover,,,141.5,,141.5,,3.15,-7.87,mtx
2.2,ls,ri,,,143.9,,143.9,,3.24,-13.1,mtx
14.6,cover,cover,,,147.1,,147.1,,1.43,-8.37,mtx
1.8,ls,icb,,,149,,149,,1.38,-11.46,mtx
0.9,cover,cover,,,152,,152,,0.63,-5.48,mtx
1.1,ls,icb,dl,,156.6,,156.6,,-3,-5.71,mtx
1,cover,cover,,,158.3,,158.3,,2.16,-5.22,mtx
1.6,ls,icb,,,165.5,,165.5,,2.48,-3.9,mtx
0.7,cover,cover,,,173.4,,173.4,,2.24,-2.59,mtx
1.2,ls,icb,,,188.6,,188.6,,1.35,-3.63,mtx
1,cover,cover,,,212.1,,212.1,,1.33,-3.31,mtx
2.1,ls,icb,,,217.1,,217.1,,0.97,-2.86,mtx
1.1,cover,cover,,,241.4,,241.4,,0.31,-4.96,mtx
0.1,ls,icb,,,255.5,,255.5,,0.4,-3.85,mtx
0.6,ls,gr,2mt,,258.3,,258.3,,1,-7.98,mtx
0.1,ls,icb,,,262.8,,262.8,,2.13,-9.07,mtx
1.4,cover,cover,,,270.1,,270.1,,1.72,-10.2,mtx
1.2,ls,ri,R+Buff,,278.5,,278.5,,-1.25,-8.48,mtx
2,cover,cover,,,283.6,,283.6,,3.16,-7.88,mtx
0.2,ls,gr,crp,,295.6,,295.6,,-0.48,-7.75,mtx
2.1,cover,cover,,,298.9,,298.9,,0.27,-6.97,mtx
0.7,ls,gr,crp,,304.9,,304.9,,-0.09,-8.24,mtx
0.2,cover,cover,,,346.4,,346.4,,3.19,-9.97,mtx
0.4,ls,icb,si,,348.6,,348.6,,4.29,-10.46,mtx
1.4,ls,ri,,,355.3,,355.3,,4.41,-11.64,mtx
0.5,ls,icb,,,359.3,,359.3,,4.37,-10.21,mtx
0.1,ls,ri,2mt,,362,,362,,4.47,-9.91,mtx
0.2,cover,cover,,,364.9,,364.9,,3.52,-6.39,mtx
0.3,ls,icb,,,367.8,,367.8,,2.82,-7.18,mtx
1.7,cover,cover,,,371.2,,371.2,,0.6,-8.01,mtx
0.3,ls,ri,1mt,,374,,374,,2.89,-4.7,mtx
0.6,cover,cover,,,376.9,,376.9,,3.75,-7.58,mtx
0.2,ls,icb,,,380.9,,380.9,,-0.2,-8.3,mtx
0.3,ls,ri,1mt,,385.5,,385.5,,-0.56,-7.24,mtx
0.4,cover,cover,,,389.5,,389.5,,0.41,-7.19,mtx
0.2,ls,ri,1mt,,419.4,,419.4,,2.48,-5.77,mtx
1,cover,cover,,,432,,432,,2.79,-5.28,mtx
1.7,ls,ri,,,436.5,,436.5,,3.52,-4.98,mtx
0.9,cover,cover,,,440,,440,,3.75,-7.55,mtx
0.2,si,ri,1mt,,444.1,,444.1,,3.64,-5.27,mtx
0.4,ls,icb,,,448.1,,448.1,,4.04,-5.17,mtx
0.2,ls,gr,1mt,,455.6,,455.6,,3.93,-5.27,mtx
8.2,cover,cover,,,461.6,,461.6,,3.66,-13.45,mtx
0.6,ls,icb,,,467,,467,,3.85,-11.06,mtx
1.2,ls,ri,,,470,,470,,1.34,-6.53,mtx
1.1,cover,cover,,,478.8,,478.8,,1.66,-8.71,mtx
1.4,ls,gr,2mt,,482.4,,482.4,,1.79,-8.05,mtx
0.3,cover,cover,,,487.8,,487.8,,3.6,-8.13,mtx
0.1,ls,ri,,,491.8,,491.8,,-0.39,-8.88,mtx
0.2,ls,gr,,,600.4,,600.4,,4.15,-8.27,mtx
0.5,cover,cover,,,502.2,,502.2,,-0.02,-8.2,mtx
0.3,ls,gr,2mt,,507,,507,,2.01,-7.84,mtx
0.2,cover,cover,,,509.8,,509.8,,-0.4,-9.88,mtx
0.4,ls,gr,,,514.1,,514.1,,1.52,-8.62,mtx
