Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
T22,7/13/10,,,,,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
44.1,si,shl,,,44.3,,44.3,1,4.12,-6.21,mtx
0.4,dl,ri,,,44.8,,44.8,3.5,4.38,-6.13,mtx
0.1,si,shl,,,45.5,,45.5,4,4.69,-6.59,mtx
0.2,dl,ri,,,46.7,,46.7,6,4.07,-6.29,mtx
1.2,dl,R,,,50,,50,9.5,3.73,-4.95,mtx
0.6,si,shl,,,50.2,,50.2,11.5,5.32,-4.42,mtx
0.2,dl,ri,,,56.8,,56.8,12,0.52,-5.7,mtx
0.5,dl,R,,,59.1,,59.1,22.5,1.82,-5.27,mtx
2.6,si,shl,,,59.7,,59.7,27.5,0.52,-6.04,mtx
0.1,dl,ri,,,62,,62,29,1.99,-5.47,mtx
0.1,si,shl,,,68.2,,68.2,30,-1,-8.09,mtx
0.1,dl,ri,,,68.9,,68.9,31.5,-0.2,-5.71,mtx
6.7,si,shl,,,70.9,,70.9,32.5,-0.85,-5.49,mtx
0.1,dl,ri,,,73.6,,73.6,34,-0.42,-5.6,mtx
0.2,si,shl,,,75.3,,75.3,36.5,-1.6,-5.1,mtx
0.1,dl,ri,,,81.4,,81.4,42.5,-1.94,-5.71,mtx
0.2,si,shl,,,84.7,,84.7,44.5,0.23,-5.52,mtx
0.1,dl,ri,,,86.3,,86.3,45,0.32,-5.7,mtx
0.3,si,shl,,,91.7,,91.7,45.5,-0.39,-6.22,mtx
0.1,dl,ri,,,96.4,,96.4,47,-0.64,-5.97,mtx
0.6,si,shl,,,100.7,,100.7,47.5,-1.64,-5.9,mtx
0.1,dl,ri,,,104,,104,50,-1.45,-5.07,mtx
0.4,si,shl,,,529.8,,529.8,166,2.25,-3.87,mtx
0.2,dl,ri,,,531.1,,531.1,166,2.06,-3.69,mtx
0.1,si,shl,,,532.5,,532.5,166,2.17,-3.71,mtx
0.1,dl,ri,,,562.1,,562.1,172,2.21,-2.93,mtx
0.1,si,shl,,,563.5,,563.5,174,2.47,-3.58,mtx
0.1,dl,ri,,,566,,566,177,3.11,-5.99,mtx
2.2,si,shl,,,569.1,,569.1,179,3.18,-5.79,mtx
0.2,dl,ri,,,578.1,,578.1,180.5,4.67,-4.62,mtx
