Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
T16,7/3/10,,,,,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
3.5,si,shl,,,4,,4,1,-5.61,-12.22,mtx
0.7,ls,ri,,,6.6,,6.6,5,-5.47,-13.69,mtx
0.4,si,shl,,,9,,9,10,-5.8,-11.68,mtx
1.4,ls,ri,,,22.3,,22.3,13,-4.79,-14.16,mtx
0.2,si,shl,,,25.5,,25.5,17,-4.42,-13.08,mtx
0.7,ls,ri,,,27.7,,27.7,20.5,-4.35,-13.74,mtx
0.3,si,shl,,,37.5,,37.5,28,-4.87,-12.75,mtx
1.1,si,shl,,,39.3,,39.3,30,-4.82,-13.27,mtx
0.2,ls,ri,,,45.6,,45.6,38,-5.44,-11.73,mtx
0.3,si,shl,,,54.6,,54.6,42,-4.71,-8.33,mtx
0.3,ls,ri,,,86.9,,86.9,47,-4.78,-10.15,mtx
7,si,shl,,,91.8,,91.8,52,-4.44,-9.79,mtx
6.1,si,shl,,,95.2,,95.2,54,-4,-9.3,mtx
0.2,ls,ri,,,98.2,,98.2,56,-4.23,-12.36,mtx
0.6,si,shl,,,100.6,,100.6,56,-3.44,-8.36,mtx
0.2,ls,ri,,,104.1,,104.1,60,-3.87,-8.01,mtx
2.2,si,shl,,,110.8,,110.8,63,-3.67,-7.76,mtx
0.2,ls,ri,,,115,,115,65,-3.63,-10.27,mtx
1.8,si,shl,,,118.7,,118.7,67,-3.51,-12.35,mtx
0.1,ls,ri,,,123.4,,123.4,69,,,
0.2,si,shl,,,132.2,,132.2,71,-3.61,-6.54,mtx
0.1,ls,ri,,,136.5,,136.5,73,-3.79,-7.87,mtx
7.3,cover,cover,,,143,,143,75,-3.41,-12.31,mtx
0.4,si,shl,,,150,,150,79,-3.6,-7.12,mtx
0.2,ls,ri,,,156.7,,156.7,83,-3.24,-11.46,mtx
0.9,si,shl,,,179.7,,179.7,85,-3.56,-12.75,mtx
0.4,ls,ri,,,186.8,,186.8,87,-3.23,-11.98,mtx
0.2,si,shl,,,190.7,,190.7,89,-3.51,-11.66,mtx
0.7,ls,ri,,,195,,195,91.5,-2.93,-12.39,mtx
0.9,cover,cover,,,196.8,,196.8,93.5,-2.81,-12.76,mtx
0.9,ls,ri,,,201.9,,201.9,97,-3.7,-11.61,mtx
0.9,cover,cover,,,225.1,,225.1,99,,,
0.8,ls,ri,,,234.3,,234.3,101,-3.53,-13,mtx
0.9,si,shl,,,239.5,,239.5,103,-3.24,-11.85,mtx
0.3,ls,ri,,,242.4,,242.4,105,-3.9,-11.24,mtx
0.7,si,shl,,,246.3,,246.3,107,-3.65,-11.57,mtx
0.3,ls,ri,,,251,,251,108,-2.71,-12.45,mtx
0.9,si,shl,,,254.9,,254.9,110,-3.67,-11.05,mtx
1.2,ls,ri,,,258.5,,258.5,112.5,-3.71,-12.29,mtx
4.2,cover,cover,,,261.3,,261.3,115.5,-3.62,-13.07,mtx
0.3,ls,ri,,,264.1,,264.1,117,-3.76,-11.16,mtx
3.3,cover,cover,,,266.9,,266.9,119,-3.99,-10.89,mtx
