Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,
T1,6/19/2010 and 6/20/2010,,,,,WGS84,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx,CARB_d44_40Ca,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
1.3,si,vfss,,,479.9,,479.9,87.5,-3.55,-10.22,mtx,,,,,,,,,,
0.3,si,vfss,,,480.4,,480.4,88.5,-1.91,-10.09,mtx,,,,,,,,,,
0.4,si,vfss,,,480.8,,480.8,90,-0.86,-7.09,mtx,,,,,,,,,,
0.2,si,vfss,,,483.2,,483.2,96,,,mtx,,,,,,,,,,
0.4,gr,sill,,,486.1,,486.1,98,-2.66,-12.48,mtx,,,,,,,,,,
6.6,si,vfss,,,491.9,,491.9,106,-2.05,-10.98,mtx,,,,,,,,,,
0.3,si,br,,,492.3,,492.3,107,-2.1,-10.64,mtx,-1.246920008,0.70653,,3.98E+05,5,1507,205,40,407,282
0.1,si,vfss,,,494.3,,494.3,107,-2.24,-10.25,mtx,,,,,,,,,,
0.3,gr,sill,,,497.7,,497.7,110,-2.31,-9.83,mtx,,,,,,,,,,
0.3,si,vfss,scour,,497.8,,497.8,110,-2.59,-9.59,mtx,,,,,,,,,,
3.5,volc,tuff,,,500.6,,500.6,112,-2.3,-9.66,mtx,,,,,,,,,,
1.4,si,vfss,ssd+scour,,506.2,,506.2,114,,,mtx,,,,,,,,,,
3.2,volc,tuff,,,506.5,,506.5,114,,,mtx,,,,,,,,,,
0.3,si,vfss,,,506.8,,506.8,114,,,mtx,,,,,,,,,,
0.4,si,sst,,,507.3,,507.3,114,,,mtx,,,,,,,,,,
0.5,si,sst,,,507.9,,507.9,114,,,mtx,,,,,,,,,,
0.8,si,sst,,,508.5,,508.5,114,-2.24,-8.78,mtx,,,,,,,,,,
4.5,si,sst,,,509,,509,114,,,mtx,,,,,,,,,,
0.4,si,shl,,,513.4,,513.4,116,,,mtx,,,,,,,,,,
0.7,si,sst,,,513.7,,513.7,116,,,mtx,,,,,,,,,,
0.1,si,shl,,,514.1,,514.1,116,-2.04,-8.37,mtx,,,,,,,,,,
0.7,si,sst,scour,,514.2,,514.2,116,,,mtx,,,,,,,,,,
0.3,si,sst,,,516.5,,516.5,117,-2.04,-7.92,mtx,,,,,,,,,,
1.4,volc,tuff,,,519.2,,519.2,118,-2.32,-8.23,mtx,,,,,,,,,,
1.9,si,vfss,ssd+ps+pl,,519.5,,519.5,118,,,mtx,,,,,,,,,,
2.3,si,vfss,,,520.8,,520.8,118,,,mtx,,,,,,,,,,
0.7,si,vfss,,,522.9,,522.9,118,,,mtx,,,,,,,,,,
0.4,si,vfss,,,526.9,,526.9,120,-2.92,-7.65,mtx,,,,,,,,,,
0.4,si,vfss,,,528.3,,528.3,120,-2.72,-8.08,mtx,,,,,,,,,,
0.7,si,vfss,,,528.8,,528.8,120,,,mtx,,,,,,,,,,
12.6,si,vfss,ssd+ps+pl,,530,,530,120,,,mtx,,,,,,,,,,
2.2,si,vfss,pl,,531.6,,531.6,120,,,mtx,,,,,,,,,,
1.4,volc,tuff,,,532.2,,532.2,120,,,mtx,,,,,,,,,,
7,si,vfss,pl+scour,,535.5,,535.5,122,,,mtx,,,,,,,,,,
0.1,si,sst,,,536.1,,536.1,122,-2.49,-7.74,mtx,,,,,,,,,,
4.9,si,vfss,,,540.6,,540.6,128,-2.12,-8.04,mtx,,,,,,,,,,
2.2,cover,cover,,,543.3,,543.3,128,-2.12,-7.42,mtx,,,,,,,,,,
3.2,si,vfss,scour,,545.8,,545.8,131,-1.98,-8.26,mtx,,,,,,,,,,
0.2,si,cgl,,,546.1,,546.1,132,-2.18,-7.86,mtx,,,,,,,,,,
4.5,si,shl,,,548.8,,548.8,136,,,mtx,,,,,,,,,,
2.3,cover,cover,,,548.9,,548.9,136,,,mtx,,,,,,,,,,
1.4,si,shl,,,549.1,,549.1,136,,,mtx,,,,,,,,,,
0.2,si,vfss,ps,,552.3,,552.3,138,-1.91,-8.38,mtx,,,,,,,,,,
2.9,cover,cover,,,552.6,,552.6,138,-2.18,-8.76,mtx,,,,,,,,,,
17.1,si,shl,,,556.2,,556.2,143,-2.06,-8.88,mtx,,,,,,,,,,
9.1,cover,cover,,,558.8,,558.8,150,,,mtx,,,,,,,,,,
1.6,si,shl,,,558.9,,558.9,150,,,mtx,,,,,,,,,,
5.9,cover,cover,,,559,,559,150,,,mtx,,,,,,,,,,
9.5,si,shl,,,559.1,,559.1,150.5,,,mtx,,,,,,,,,,
15.6,cover,cover,,,559.15,,559.15,151,,,mtx,,,,,,,,,,
6.4,si,shl,ssd+ps+pl,,559.25,,559.25,152,,,mtx,,,,,,,,,,
2,cover,cover,,,562.7,,562.7,154,-2.26,-9.83,mtx,,,,,,,,,,
0.9,si,shl,,,565.9,,565.9,159,-2.17,-9.24,mtx,,,,,,,,,,
2.7,si,shl,,,568.8,,568.8,160,-2.36,-10.09,mtx,-1.136225489,0.70598,26,5.14E+05,8,4758,56,33,368,316
0.4,cover,cover,,,569.1,,569.1,161,-2.23,-9.02,mtx,,,,,,,,,,
1.2,si,shl,,,571,,571,163,,,mtx,,,,,,,,,,
0.2,si,shl,,,573.1,,573.1,165,-1.91,-9.13,mtx,,,,,,,,,,
6.2,si,shl,,,576,,576,165,-2,-11.28,mtx,,,,,,,,,,
4.4,cover,cover,,,578.4,,578.4,167,-2.18,-10.75,mtx,,,,,,,,,,
2.1,si,shl,ssd,,580,,580,169,,,mtx,,,,,,,,,,
0.3,gr,sill,,,580.1,,580.1,169,,,mtx,,,,,,,,,,
4.8,si,shl,,,580.12,,580.12,169,,,mtx,,,,,,,,,,
5.1,si,shl,,,580.3,,580.3,169.5,,,mtx,,,,,,,,,,
