Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,
T61,6/8/17,13.082667,39.19658,13.085464,39.192134,WGS84,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
0.3,ls,ri,,,205.8,,195.7,76,1.785042281,0.093784008,-2.240453946,0.139077643,mtx
1.9,dl,st,,,206.4,,196.3,76,1.616293732,0.22367072,-2.371642266,1.148415196,mtx
33.6,si,sts,,,262.7,,252.6,78,1.273591648,0.07595967,-1.716230093,0.154606963,mtx
4.2,si,sts,,,263.3,,253.2,78,1.241738048,0.071945736,-2.054798038,0.372005979,mtx
7.6,dl,R,,,264.2,,254.1,78,1.350996935,0.078814357,-2.039456074,0.165313156,mtx
0.3,dl,st,,,264.9,,254.8,78,1.288540804,0.055477507,-3.367261179,0.280628995,mtx
0.4,dl,gr,,,265.5,,255.4,78,1.383225804,0.082874296,-2.427343272,0.162500472,mtx
4.7,dl,R,,,266.3,,256.2,78,1.226565096,0.049758529,-2.609133577,0.201306648,mtx
0.1,dl,gr,,,267.4,,257.3,79,1.124224803,0.026712466,-2.308828284,0.142434034,mtx
0.2,dl,ri,,,268.2,,258.1,79,1.346125761,0.066430175,-2.210860917,0.263299583,mtx
17.2,cover,cover,,,269.1,,259,79,1.234663592,0.086133194,-3.121285238,0.337296182,mtx
2,dl,gr,,,272.3,,262.2,79,1.247371919,0.025724925,-2.466663594,0.224402773,mtx
4.8,dl,R,,,273.3,,263.2,79,1.395058636,0.034544565,-1.328401056,0.169500806,mtx
2.7,dl,st,,,274.3,,264.2,79,1.433935511,0.074990198,-1.354689372,0.209674386,mtx
0.8,dl,R,,,276.1,,266,79,1.181245458,0.03942848,-0.750491452,0.130962845,mtx
0.5,dl,ri,,,276.6,,266.5,79,0.973173779,0.046809124,-0.614057766,0.073186264,mtx
0.8,dl,R,,,279,,268.9,79,1.15209823,0.035860882,-1.500331832,0.153270144,mtx
0.8,dl,R,,,279.8,,269.7,79,,,,,mtx
0.9,dl,R,,,281,,270.9,79,1.325342596,0.069191615,-2.723948229,0.343111295,mtx
1.4,dl,R,,,282.1,,272,79,1.346020967,0.050496648,-1.218672081,0.095117543,mtx
55.6,dl,R,,,283.1,,273,79,1.086570058,0.072996451,-0.589326718,0.260888475,mtx
5.3,dl,R,,,284.3,,274.2,79,1.275893153,0.079306401,-0.749927565,0.177351583,mtx
19.1,dl,st,,,285.3,,275.2,79,1.073728323,0.141744639,-0.8880386,0.265224674,mtx
9.8,dl,st,,,286.4,,276.3,79,1.470189428,0.064967146,-0.721676098,0.252265548,mtx
7.7,dl,st,,,296.8,,286.7,81,1.151192662,0.110965158,-2.311202411,0.342685481,mtx
3.3,dl,st,,,297.5,,287.4,81,1.559923601,0.058373316,-0.910589167,0.137764288,mtx
17.8,dl,R,,,298.5,,288.4,81,1.560710577,0.079809712,-1.662454695,0.150087476,mtx
5,dl,st,,,299.4,,289.3,81,1.438245204,0.053411908,-1.482800051,0.134091035,mtx
5.8,dl,st,,,300.8,,290.7,81,1.610731141,0.134651432,-1.620438386,0.193898026,mtx
1.6,dl,st,,,302.2,,292.1,81,1.576174418,0.100819511,-1.809074621,0.378575071,mtx
1.8,dl,st,,,303.9,,293.8,81,1.389938532,0.082969198,-1.59921443,0.186915267,mtx
0.8,dl,icb,,,304.3,,294.2,82,1.65,0.12,-0.942,0.384,mtx
9,dl,st,,,306.2,,296.1,82,1.238,0.068,-3.714,0.223,mtx
11.2,si,di,,,308.5,,298.4,83,1.891,0.088,-7.882,0.264,mtx
32.2,cover,cover,,,310.4,,300.3,83,2.688,0.052,-3.893,0.227,mtx
2.8,si,di,,,314.1,,304,83,1.756,0.043,-10.111,0.289,mtx
19.6,si,mss,,,317.6,,307.5,83,2.117,0.072,-9.627,0.324,mtx
,,,,,320.4,,310.3,83,2.523,0.133,-6.657,0.428,mtx
,,,,,322.1,,312,83,1.904,0.033,-11.161,0.3,mtx
,,,,,323.8,,313.7,83,2.054,0.08,-11.595,0.142,mtx
,,,,,325.6,,315.5,84,3.532681572,0.032312242,-1.561030645,0.147031152,mtx
,,,,,327.8,,317.7,84,3.034054661,0.049565551,-2.621762324,0.20366307,mtx
,,,,,328.9,,318.8,84,3.186182231,0.053377025,-2.715380049,0.353492321,mtx
,,,,,330,,319.9,84,3.122,0.072,-1.658,0.237,mtx
,,,,,335.8,,325.7,86,2.264079149,0.040661461,-2.522326249,0.234253295,mtx
,,,,,337.4,,327.3,86,2.228,0.096,-2.639,0.24,mtx
,,,,,339.7,,329.6,88,2.465079454,0.044780627,-1.767721088,0.102611789,mtx
,,,,,341.4,,331.3,89,2.869554206,0.072517206,-2.058517482,0.261191494,mtx
,,,,,342.5,,332.4,89,2.776315833,0.051890994,-1.141551753,0.16672268,mtx
,,,,,344.2,,334.1,89,2.225,0.047,-2.058,0.282,mtx
,,,,,345.8,,335.7,89,2.085995605,0.044166687,-2.234519158,0.170518758,mtx
,,,,,346.5,,336.4,89,2.258,0.039,-2.662,0.232,mtx
,,,,,347.9,,337.8,89,2.121,0.056,-2.294,0.207,mtx
