Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
Y06,5/22/17,13.101844,39.169964,13.102204,39.169179,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
0.1,si,sts,,,13.75,ADD 0.05,13.8,21,,,mtx
1,si,vfss,rxb,,15.25,,15.3,23,,,mtx
0.15,si,sts,,,16.65,,16.7,25,,,mtx
0.95,si,vfss,spl+sc,,16.95,,17,25,,,mtx
0.3,si,sts,,,17.8,,17.85,27,,,mtx
0.45,si,vfss,,,18.65,,18.7,29,,,mtx
0.25,si,sts,,,27.15,,27.2,31,,,mtx
0.35,si,vfss,,,27.45,,27.5,31,,,mtx
0.1,si,sts,,,28.05,,28.1,33,,,mtx
0.45,si,vfss,,,28.45,,28.5,33,,,mtx
2.5,si,sts,,,30,,30.05,35,,,mtx
0.15,si,vfss,,,31.35,,31.4,37,,,mtx
0.1,si,sts,,,32.2,,32.25,40,,,mtx
0.5,si,vfss,sc,,33,,33.05,42,,,mtx
0.2,si,fss,,,,,,,,,
0.2,si,sts,,,,,,,,,
0.25,si,fss,,,,,,,,,
0.1,si,mss,,,,,,,,,
0.25,si,sts,,,,,,,,,
0.1,dl,gr,,,,,,,,,
5.3,si,sts,,,,,,,,,
0.05,ls,gr,ripups,,,,,,,,
1.4,cover,cover,,,,,,,,,
0.1,ls,gr,ripups,,,,,,,,
1.4,cover,cover,,,,,,,,,
0.3,ls,gr,ripups,,,,,,,,
0.75,cover,cover,,,,,,,,,
0.15,ls,gr,ripups,,,,,,,,
0.7,cover,cover,,,,,,,,,
0.1,ls,gr,ripups,,,,,,,,
8.3,cover,cover,,,,,,,,,
0.5,ls,gr,,,,,,,,,
0.6,cover,cover,,,,,,,,,
0.4,ls,gr,ripups,,,,,,,,
1.3,cover,cover,,,,,,,,,
0.3,ls,gr,ripups,,,,,,,,
1.1,cover,cover,,,,,,,,,
0.2,ls,gr,ripups,,,,,,,,
0.7,cover,cover,,,,,,,,,
0.15,ls,gr,,,,,,,,,
0.05,ls,gr,ripups,,,,,,,,
0.6,si,sts,,,,,,,,,
0.15,ls,gr,ripups,,,,,,,,
7.5,si,sts,,,,,,,,,
4.5,si,sts,,,,,,,,,
1.6,si,sts,,,,,,,,,
5,si,di,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
