Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
Y07,5/28/17,13.101534,39.169828,13.101974,39.169109,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
3.1,si,fss,,,11.3,,11.3,7,,,mtx
0.3,dl,gr,,,11.7,,11.7,7,,,mtx
1.8,si,fss,spl,,12.2,,12.2,7,,,mtx
0.4,dl,gr,,,12.8,,12.8,9,,,mtx
0.7,si,fss,,,13.8,,13.8,9,,,mtx
0.4,dl,gr,,,14.3,,14.3,9,,,mtx
4.6,cover,cover,,,15.7,,15.7,9,,,mtx
0.9,ls,gr,ripups,,16.4,,16.4,9,,,mtx
0.6,cover,cover,,,16.9,,16.9,9,,,mtx
5,ls,gr,ripups,,17.4,,17.4,9,,,mtx
2.5,ls,gr,ripups,,17.8,,17.8,9,,,mtx
1.1,ls,gr,ripups,,20.3,,20.3,11,,,mtx
0.8,si,sts,,,21,,21,11,,,mtx
0.2,ls,gr,ripups,,21.4,,21.4,11,,,mtx
0.8,cover,cover,,,22.3,,22.3,13,,,mtx
0.3,ls,gr,ripups,,24.6,,24.6,18,,,mtx
0.7,si,sts,,,26.2,,26.2,19,,,mtx
0.2,ls,gr,ripups,,26.8,,26.8,20,,,mtx
1.6,cover,cover,,,27.2,,27.2,23,,,mtx
0.2,ls,gr,ripups+olt,,27.8,,27.8,25,,,mtx
0.6,si,sts,,,28.1,,28.1,25,,,mtx
0.3,ls,gr,ripups+olt,,28.6,,28.6,26,,,mtx
0.1,si,sts,,,29.1,,29.1,26,,,mtx
0.1,ls,icb,,,31.2,,31.2,28,,,mtx
0.5,si,gcg,,,,,,,,,
0.3,ls,gr,ripups+olt,,,,,,,,
1,ls,olt,,,,,,,,,
2,cover,cover,,,,,,,,,
0.2,ls,gr,ripups+olt,,,,,,,,
1.4,si,sts,,,,,,,,,
23.1,si,sts,,,,,,,,,
5,si,di,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
