Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,
T62,6/9/2017 and 6/17/2017,13.101484,39.156088,13.098888,39.164021,WGS84,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH_SAMPLE,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
0.4,dl,R,,,SAM-ET-21,566.1,,0.4,,0.4,0,,,mtx
2.8,cover,cover,,,578.1,580.1,,4.5,,4.5,4,,,mtx
0.5,dl,ri,,,,,,10.1,,10.1,4,,,mtx
0.8,cover,cover,,,,,,16.2,,16.2,6,,,mtx
8.4,dl,ri,,,,,,28.1,,28.1,8,,,mtx
1.2,cover,cover,,,,,,30.3,,30.3,8,,,mtx
3.9,dl,R,,,,,,60.6,,60.6,13,,,mtx
9.8,cover,cover,,,,,,62.7,,62.7,13,,,mtx
2.9,ls,ri-sts,,,,,,68.7,,68.7,13,,,mtx
17.4,si,sts,,,,,,90.8,,90.8,17,,,mtx
7,si,sts,,,,,,96.8,,96.8,23,,,mtx
0.6,ls,ri,,,,,,100.4,,100.4,27,,,mtx
2.8,cover,cover,,,,,,104.7,,104.7,28,,,mtx
10.7,ls,ri,,,,,,111.7,,111.7,28,,,mtx
0.9,ls,gr,,,,,,119,,119,30,,,mtx
14.6,si,sts,,,,,,121.2,,121.2,30,,,mtx
5.9,si,sts,,,,,,133,,133,30,,,mtx
0.2,ls,gr,,,,,,141.8,,141.8,30,,,mtx
1.9,si,sts,,,,,,147.5,,147.5,30,,,mtx
0.2,ls,gr,,,,,,159.2,,159.2,30,,,mtx
1.4,ls,ri-sts,,,,,,164.6,,164.6,33,,,mtx
0.3,ls,gr,,,,,,171.9,,171.9,33,,,mtx
1.9,ls,ri-sts,,,,,,177.5,,177.5,37,,,mtx
1.1,ls,ri,,,,,,182.5,,182.5,40,,,mtx
2.6,ls,ri-sts,,,,,,193,,193,42,,,mtx
0.1,ls,gr,,,,,,198.4,,198.4,46,,,mtx
0.1,ls,ri,,,,,,203.1,,203.1,46,,,mtx
0.1,ls,gr,,,,,,210.1,,210.1,46,,,mtx
15.6,ls,ri,,,,,,218.8,,218.8,47,,,mtx
0.1,ls,gr,,,,,,224.2,,224.2,51,,,mtx
46.2,ls,ri,,,,,,245.8,,245.8,57,,,mtx
0.3,ls,gr,,,,,,257.6,,257.6,61,,,mtx
1.7,ls,ri,,,,,,266.9,,266.9,61,,,mtx
9.6,ls,gr,,,,,,276.2,,276.2,61,,,mtx
1.1,ls,gr,mts,,,,,290.1,,290.1,63,,,mtx
0.5,ls,gr,,,,,,296.9,,296.9,67,,,mtx
0.5,ls,gr,mts,,,,,303.7,,303.7,69,,,mtx
1.7,ls,gr,,,,,,307.8,,307.8,71,,,mtx
1.8,ls,gr,mts,,,,,316.3,,316.3,85,,,mtx
0.9,ls,ri,mts,,,,,324.4,,324.4,89,,,mtx
3.4,ls,gr,,,,,,334.8,,334.8,93,,,mtx
1.8,ls,ri,,,,,,344.9,ADD 2.0,346.9,97,,,mtx
8.1,ls,gr,mts,,,,,350.6,,352.6,100,,,mtx
0.9,ls,ri,,,,,,357.3,,359.3,106,,,mtx
1.6,ls,gr,,,,,,362.6,,364.6,113,,,mtx
1.2,ls,icb,olt,,,,,366.8,,368.8,121,,,mtx
19.6,ls,gr,mts,,,,,372.8,,374.8,127,,,mtx
3.8,ls,ri,,,,,,400.9,,402.9,135,,,mtx
0.7,ls,gr,mts,,,,,408.5,,410.5,139,,,mtx
0.2,ls,icb,,,,,,414.2,,416.2,141,,,mtx
2.4,ls,gr,mts,,,,,427.2,,429.2,143,,,mtx
1,ls,olt,,,,,,477.5,,479.5,151,,,mtx
2.3,ls,ri,,,,,,482,,484,155,,,mtx
0.2,ls,gr,mts,,,,,484.5,,486.5,161,,,mtx
0.8,ls,olt,,,,,,485.7,,487.7,161,,,mtx
1.8,ls,gr,mts,,,,,490.7,,492.7,165,,,mtx
15,cover,cover,,,,,,508.5,,510.5,168,,,mtx
2.4,ls,olt,,,,,,510.1,,512.1,168,,,mtx
6.8,cover,cover,,,,,,565.6,,567.6,178,,,mtx
0.3,ls,ri,,,,,,608.8,,610.8,199,,,mtx
1.4,cover,cover,,,,,,610.1,,612.1,199,,,mtx
20,ls,gr,mts,,,,,614.6,,616.6,205,,,mtx
13.5,ls,ri,,,,,,617.9,,619.9,211,,,mtx
0.4,ls,gr,,,,,,678.5,,680.5,221,,,mtx
2.1,ls,ri,,,,,,701.2,,703.2,227,,,mtx
0.3,ls,gr,,,,,,704.2,,706.2,229,,,mtx
4.2,ls,ri,,,,,,704.7,,706.7,231,,,mtx
0.4,ls,gr,mts,,,,,707.5,,709.5,233,,,mtx
6.4,ls,ri,,,,,,709.3,,711.3,233,,,mtx
1.2,ls,gr,,,,,,766.7,,768.7,250,,,mtx
2.9,ls,ri,,,,,,789.3,SUB 10.0,781.3,253,,,mtx
0.2,ls,gr,,,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
0.8,ls,ri,,,,,,,,,,,,
0.4,ls,gr,mts,,,,,,,,,,,
0.5,ls,ri,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,
1.6,ls,ri,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,
2.3,ls,ri,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,
0.9,ls,ri,,,,,,,,,,,,
0.6,ls,st,,,,,,,,,,,,
1.4,cover,cover,,,,,,,,,,,,
0.7,ls,gr,,,,,,,,,,,,
4.9,cover,cover,,,,,,,,,,,,
2,ls,gr,,,,,,,,,,,,
3,cover,cover,,,,,,,,,,,,
2.2,ls,st,,,,,,,,,,,,
2.2,cover,cover,,,,,,,,,,,,
4,ls,gr,,,,,,,,,,,,
0.6,ls,st,,,,,,,,,,,,
7.8,cover,cover,,,,,,,,,,,,
0.3,ls,st,,,,,,,,,,,,
1.5,ls,icb,,,,,,,,,,,,
1.6,cover,cover,,,,,,,,,,,,
1.9,ls,st,,,,,,,,,,,,
2.2,ls,R,,,,,,,,,,,,
1.5,ls,st,,,,,,,,,,,,
1.2,cover,cover,,,,,,,,,,,,
0.4,ls,icb,,,,,,,,,,,,
2.8,cover,cover,,,,,,,,,,,,
0.4,ls,st,,,,,,,,,,,,
0.4,ls,icb,st,,,,,,,,,,,
2.8,cover,cover,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
0.3,ls,icb,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,
1.4,cover,cover,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,
0.1,ls,icb,,,,,,,,,,,,
0.9,cover,cover,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,
0.4,ls,gr,,,,,,,,,,,,
1.2,cover,cover,,,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,,,
0.6,ls,icb,,,,,,,,,,,,
1.4,ls,gr,,,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,,,
1.9,ls,gr,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,
1.4,cover,cover,,,,,,,,,,,,
1.7,ls,icb,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
1.6,cover,cover,,,,,,,,,,,,
0.5,ls,icb,,,,,,,,,,,,
0.8,cover,cover,,,,,,,,,,,,
0.2,ls,icb,,,,,,,,,,,,
2.8,si,sts,,,,,,,,,,,,
21,si,sts,,,,,,,,,,,,
5.3,ls,ri-sts,,,,,,,,,,,,
0.5,si,sts,,,,,,,,,,,,
1.3,ls,ri,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
3.1,ls,ri,,,,,,,,,,,,
3,si,sts-ri,,,,,,,,,,,,
3.2,ls,ri,,,,,,,,,,,,
8.6,si,sts,,,,,,,,,,,,
1.3,ls,ri,,,,,,,,,,,,
19.6,si,sts,,,,,,,,,,,,
1,ls,ri,,,,,,,,,,,,
4.2,si,sts,,,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,,,
12.6,si,sts,,,,,,,,,,,,
4.2,ls,ri,,,,,,,,,,,,
8.1,si,bs,,,,,,,,,,,,
3,ls,ri,,,,,,,,,,,,
1.3,si,bs,,,,,,,,,,,,
0.3,dl,gr,,,,,,,,,,,,
0.1,si,sts,,,,,,,,,,,,
0.2,dl,gr,,,,,,,,,,,,
0.1,si,sts,,,,,,,,,,,,
0.2,dl,gr,,,,,,,,,,,,
0.1,si,sts,,,,,,,,,,,,
1.4,dl,gr,,,,,,,,,,,,
0.1,si,sts,,,,,,,,,,,,
1.6,dl,gr,,,,,,,,,,,,
0.7,si,sts,,,,,,,,,,,,
0.3,dl,gr,,,,,,,,,,,,
3.9,si,bs,,,,,,,,,,,,
0.4,dl,gr,,,,,,,,,,,,
1.4,si,bs,,,,,,,,,,,,
15.4,si,bs,,,,,,,,,,,,
3.8,ls,ri-sts,,,,,,,,,,,,
3.5,si,bs,,,,,,,,,,,,
2.8,cover,cover,,,,,,,,,,,,
7,si,bs,,,,,,,,,,,,
5.6,si,bs,,,,,,,,,,,,
21,si,bs,,,,,,,,,,,,
9.8,si,bs,,,,,,,,,,,,
2.8,si,sts,,,,,,,,,,,,
0.1,volc,tuff,,,,,,,,,,,,
1.4,si,sts,,,,,,,,,,,,
0.1,ld,gr,,,,,,,,,,,,
0.5,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
9.8,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
2.1,si,sts-gr,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
4.2,si,sts-gr,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,
0.7,si,sts,,,,,,,,,,,,
0.9,si,vfss,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
4.2,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
2.1,si,sts,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,
1,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
10.9,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
5.6,si,sts,,,,,,,,,,,,
1.4,ls,gr-sts,,,,,,,,,,,,
1.4,si,sts,,,,,,,,,,,,
0.6,ls,gr-sts,,,,,,,,,,,,
1.2,si,sts,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,
1,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
0.2,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
0.9,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
1.6,si,sts,,,,,,,,,,,,
2.5,si,sts-gr,,,,,,,,,,,,
20.3,si,sts,,,,,,,,,,,,
5,si,sts-gr,,,,,,,,,,,,
3.6,si,sts,,,,,,,,,,,,
1.3,si,sts-gr,,,,,,,,,,,,
1.4,si,sts,,,,,,,,,,,,
6.6,si,sts-gr,,,,,,,,,,,,
7.9,si,sts,,,,,,,,,,,,
1,si,sts-gr,,,,,,,,,,,,
11.3,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
0.9,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
19.1,si,sts,,,,,,,,,,,,
0.2,ls,gr,,,,,,,,,,,,
2,si,sts,,,,,,,,,,,,
0.3,ls,gr,bd,,,,,,,,,,,
2.9,si,sts,,,,,,,,,,,,
0.2,dl,gr,,,,,,,,,,,,
0.4,si,sts,,,,,,,,,,,,
0.1,dl,gr,,,,,,,,,,,,
2.2,si,sts,,,,,,,,,,,,
4.9,dl,gr-sts,,,,,,,,,,,,
0.4,si,sts,,,,,,,,,,,,
0.1,dl,gr,,,,,,,,,,,,
1,dl,gr-sts,,,,,,,,,,,,
9.1,si,sts,,,,,,,,,,,,
0.4,dl,gr,,,,,,,,,,,,
11.9,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
1.8,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
5.2,si,sts,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
6.9,si,sts,,,,,,,,,,,,
1,si,fss,,,,,,,,,,,,
13.2,si,vfss,,,,,,,,,,,,
0.9,ls,olt,,,,,,,,,,,,
2,si,vfss,,,,,,,,,,,,
0.7,ls,ri,,,,,,,,,,,,
0.1,ls,olt,,,,,,,,,,,,
12.4,si,vfss,,,,,,,,,,,,
0.4,ls,olt,bd,,,,,,,,,,,
1.1,ls,gr-sts,,,,,,,,,,,,
3.9,si,vfss,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,
0.8,si,sts-gr,,,,,,,,,,,,
0.3,ls,gr,,,,,,,,,,,,
3,ls,gr-sts,,,,,,,,,,,,
5,si,di,,,,,,,,,,,,
