Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum
Y02,5/22/17,13.108671,39.1753,13.10873,39.175136,WGS84
,,,,,,
,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,,
1.6,si,sts,spl,,,
0.7,si,vfss,rxb,,,
0.4,si,sts,,,,
1,si,vfss,gbc,,,
0.1,si,sts,,,,
0.4,si,vfss,rxb,,,
0.1,si,sts,,,,
0.7,si,vfss,rxb,,,
0.4,si,sts,,,,
0.8,si,vfss,rxb,,,
0.25,si,sts,,,,
0.6,si,vfss,,,,
0.1,dl,gr,,,,
0.5,si,sts,,,,
0.1,dl,gr,,,,
0.6,si,sts,,,,
0.1,dl,gr,,,,
0.4,si,sts,,,,
0.1,dl,gr,,,,
0.3,si,sts,,,,
0.35,si,vfss,spl,,,
0.3,si,sts,,,,
2.8,si,vfss,spl,,,
0.8,si,sts,,,,
0.3,dl,gr,,,,
0.1,si,sts,,,,
0.15,dl,gr,,,,
0.15,si,sts,,,,
0.05,dl,gr,,,,
1.3,si,sts,,,,
0.5,dl,gr,,,,
0.3,si,sts,,,,
1.4,dl,gr,,,,
0.2,si,sts,,,,
0.1,dl,gr,,,,
0.4,si,sts,,,,
0.15,dl,gr,,,,
0.1,si,sts,,,,
0.15,dl,gr,,,,
0.25,si,sts,,,,
0.5,dl,gr,,,,
0.1,si,sts,,,,
0.1,dl,gr,,,,
0.2,si,sts,,,,
0.2,dl,gr,,,,
0.15,si,sts,,,,
0.1,dl,gr,,,,
0.1,si,sts,,,,
0.1,dl,gr,,,,
0.2,si,sts,,,,
0.1,dl,gr,,,,
0.2,si,sts,,,,
0.1,dl,gr,,,,
0.1,si,sts,,,,
0.5,dl,gr,,,,
1.7,si,sts,,,,
5,si,di,,,,
