Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
Y10,5/28/17,13.100345,39.168629,13.100405,39.167856,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
1.7,si,vfss,spl,,3.1,,3.1,3,,,mtx
0.6,si,vfss,rxb,,3.3,,3.3,3,,,mtx
0.6,si,vfss,spl,,3.9,,3.9,4,,,mtx
0.8,ls,gr,ripups,,4.2,,4.2,5,,,mtx
0.4,ls,gr,ripups,,4.5,,4.5,5,,,mtx
3.7,ls,gr,ripups,,5.2,,5.2,5,,,mtx
0.05,ls,gcg,,,5.8,,5.8,5,,,mtx
0.75,ls,gr,ripups,,6.3,,6.3,5,,,mtx
0.05,ls,gcg,,,6.7,,6.7,5,,,mtx
0.15,ls,gr,ripups,,7.1,,7.1,5,,,mtx
0.05,ls,gcg,,,7.4,,7.4,5,,,mtx
0.95,ls,gr,ripups,,7.7,,7.7,5,,,mtx
0.05,ls,gcg,,,8.9,,8.9,11,,,mtx
0.2,ls,gr,,,10,,10,13,,,mtx
0.15,ls,gcg,,,10.7,,10.7,15,,,mtx
8.1,ls,gr,ripups+olt,,11.7,,11.7,15,,,mtx
0.2,ls,gcg,,,12.4,,12.4,15,,,mtx
2.2,ls,gr,ripups+olt,,12.8,,12.8,15,,,mtx
0.2,ls,gcg,,,13.4,,13.4,15,,,mtx
0.3,si,sts,,,14.2,,14.2,15,,,mtx
7,si,sts,,,14.8,,14.8,15,,,mtx
15.4,si,sts,,,15.1,,15.1,15,,,mtx
0.7,ls,icb,onc,,15.7,,15.7,15,,,mtx
7,si,sts,,,16.7,,16.7,15,,,mtx
5,si,di,,,18.1,,18.1,15,,,mtx
,,,,,18.8,,18.8,17,,,mtx
,,,,,19.4,,19.4,17,,,mtx
,,,,,20.2,,20.2,17,,,mtx
,,,,,43.6,,43.6,22,,,mtx
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
