Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
T60,6/6/17,13.152207,39.178161,13.151697,39.179035,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
1.3,dl,ri,,,0,,0,0,,,mtx
1.7,dl,R,,,0.7,,0.7,0,,,mtx
1.5,dl,ri,,,1.3,,1.3,1,,,mtx
0.5,dl,R,,,2,,2,1,,,mtx
0.7,cover,cover,,,2.9,,2.9,1,,,mtx
0.9,dl,ri,,,3.5,,3.5,2,,,mtx
2.6,cover,cover,,,4.1,,4.1,2,,,mtx
0.2,dl,ri,,,4.9,,4.9,3,,,mtx
0.5,cover,cover,,,5.7,,5.7,5,,,mtx
0.3,dl,ri,,,6.2,,6.2,5,,,mtx
1.7,cover,cover,,,9.3,,9.3,7,,,mtx
3.1,dl,ri,,,10,,10,9,,,mtx
0.9,cover,cover,,,11.9,,11.9,11,,,mtx
4.7,dl,ri,,,12.6,,12.6,11,,,mtx
2.6,cover,cover,,,13.1,,13.1,11,,,mtx
3.8,dl,R,,,14.4,,14.4,11,,,mtx
0.9,si,sts,,,15,,15,11,,,mtx
1.4,si,sts-ri,,,15.9,,15.9,13,,,mtx
8.9,si,sts,,,16.8,,16.8,13,,,mtx
1.8,dl,R,,,17.7,,17.7,13,,,mtx
0.8,dl,ri-sts,,,18.4,,18.4,13,,,mtx
22.3,si,sts,,,18.9,,18.9,13,,,mtx
0.2,si,sts,,,20,,20,13,,,mtx
0.1,ls,ri,,,20.5,,20.5,13,,,mtx
0.1,si,sts,,,23.1,ADD 0.1,23.2,15,,,mtx
0.1,ls,ri,,,24,,24.1,15,,,mtx
0.2,si,sts,,,24.9,,25,15,,,mtx
0.1,ls,ri,,,26.9,,27,15,,,mtx
0.4,si,sts,,,38.4,,38.5,19,,,mtx
2.2,cover,cover,,,39,,39.1,19,,,mtx
0.2,ls,ri,,,39.4,,39.5,19,,,mtx
1,si,sts,,,39.9,,40,19,,,mtx
0.1,ls,ri,,,40.4,,40.5,20,,,mtx
0.6,ls,ri-sts,,,63.2,,63.3,23,,,mtx
3.2,ls,ri,,,67.6,,67.7,32,,,mtx
0.3,ls,gr,,,68.3,,68.4,34,,,mtx
5,ls,ri,,,68.8,,68.9,34,,,mtx
0.1,ls,gr,,,69,,69.1,34,,,mtx
0.2,cover,cover,,,69.8,,69.9,34,,,mtx
1.1,ls,ri,,,70.1,,70.2,34,,,mtx
16.8,cover,cover,,,70.6,,70.7,34,,,mtx
1,si,sts-ri,,,71.3,,71.4,34,,,mtx
0.9,cover,cover,,,72,,72.1,36,,,mtx
0.3,ls,gr,veined,,72.5,,72.6,36,,,mtx
1.4,cover,cover,,,73,,73.1,36,,,mtx
0.2,ls,gr,veined,,73.4,,73.5,36,,,mtx
1.8,cover,cover,,,73.9,,74,36,,,mtx
0.2,ls,gr,veined,,74.3,,74.4,36,,,mtx
1.7,cover,cover,,,75.1,,75.2,36,,,mtx
0.2,ls,gr,veined,,75.6,,75.7,36,,,mtx
0.2,cover,cover,,,76.3,,76.4,36,,,mtx
0.2,ls,gr,veined,,76.8,,76.9,37,,,mtx
0.5,cover,cover,,,77.2,,77.3,39,,,mtx
8,ls,ri,,,77.6,,77.7,39,,,mtx
,,,,,78.2,,78.3,39,,,mtx
,,,,,97.1,,97.2,43,,,mtx
,,,,,98.8,,98.9,45,,,mtx
,,,,,100.7,,100.8,47,,,mtx
,,,,,102.5,,102.6,49,,,mtx
,,,,,103,,103.1,51,,,mtx
,,,,,106,,106.1,53,,,mtx
