Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
Y05,5/22/17,13.102188,39.170216,13.102482,39.169665,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
1.5,si,sts,,,31.6,ADD 1.0,32.6,17,,,mtx
0.2,si,vfss,,,32.1,,33.1,19,,,mtx
4.8,si,vfss,,,32.6,,33.6,21,,,mtx
0.5,si,fss,rxb,,32.75,,33.75,23,,,mtx
0.05,si,sts,,,32.95,,33.95,23,,,mtx
0.2,si,fss,,,33.1,,34.1,25,,,mtx
0.2,dl,gr,,,33.35,,34.35,25,,,mtx
3.9,si,sts,,,33.7,,34.7,27,,,mtx
0.5,si,fss,,,34.85,,35.85,29,,,mtx
0.1,si,sts,,,,,,,,,
0.4,si,fss,,,,,,,,,
0.2,si,sts,,,,,,,,,
0.6,si,fss,spl+sc,,,,,,,,
1.3,si,sts,,,,,,,,,
0.3,si,fss,,,,,,,,,
17,cover,cover,,,,,,,,,
0.8,si,sts,,,,,,,,,
0.5,ls,gr,sc,,,,,,,,
0.05,si,sts,,,,,,,,,
0.05,ls,gr,,,,,,,,,
0.2,si,sts,,,,,,,,,
0.25,ls,gr,,,,,,,,,
0.05,cover,cover,,,,,,,,,
0.4,ls,gr,ripups,,,,,,,,
0.05,cover,cover,,,,,,,,,
0.25,ls,gr,ripups,,,,,,,,
0.05,cover,cover,,,,,,,,,
0.3,ls,gr,ripups,,,,,,,,
0.8,cover,cover,,,,,,,,,
0.35,ls,gr,ripups,,,,,,,,
5.3,si,sts,,,,,,,,,
0.9,si,vfss,,,,,,,,,
1.9,si,sts,,,,,,,,,
5,si,di,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
