Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,
T58,26/05/17 and 27/05/17,13.157231,39.186423,13.156195,39.191947,WGS84,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,DZ_SAMPLE,DZ_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
14.3,si,sts,"poorly exposed, cover to diabase",,378.9,495.4,,282.7,ADD 117.5,400.2,78,-6.362565451,0.070508119,-10.6920992,0.362269579,mtx
3.5,cover,cover,,,,,,283.1,,400.6,78,-5.868237921,0.023938921,-11.16569695,0.184407603,mtx
0.4,si,sts,,,,,,283.7,,401.2,78,-4.615995116,0.160222367,-10.01935986,0.66100808,mtx
1,cover,cover,,,,,,284.7,,402.2,78,-4.756368397,0.105815651,-10.38288657,0.411512418,mtx
1.5,si,sts,,,,,,285.1,,402.6,78,-4.763489764,0.064265894,-9.664014702,0.16042244,mtx
7,cover,cover,,,,,,285.8,,403.3,78,-4.861334444,0.076776016,-10.60303494,0.594534768,mtx
1.4,si,sts,,,,,,286.2,,403.7,78,-4.839229383,0.637104385,-9.257466688,0.362985705,mtx
0.1,si,vfss,,,,,,286.9,,404.4,78,-4.469459434,0.236742957,-10.2515459,0.509054219,mtx
2,si,sts,,,,,,287.4,,404.9,78,-4.762259062,0.097549997,-8.316610736,0.363400509,mtx
0.1,si,vfss,,,,,,288.1,,405.6,78,-4.751661756,0.131485113,-9.227426354,0.571997531,mtx
1.4,si,sts,,,,,,288.5,,406,78,-4.367693442,0.060815328,-10.35325831,0.369618834,mtx
0.1,si,vfss,,,,,,288.9,,406.4,78,-4.273102107,0.033092184,-10.81068492,0.33546471,mtx
7.2,si,sts,,,,,,289.4,,406.9,78,-4.3186528,0.117754957,-10.35529846,0.446909769,mtx
0.1,si,vfss,,,,,,289.7,,407.2,78,-4.34623377,0.052399187,-9.181140564,0.29929226,mtx
0.1,si,sts,,,,,,290.1,,407.6,78,-4.319476716,0.08955488,-9.962500143,0.264933465,mtx
0.2,ls,gr,weathered,,,,,290.5,,408,78,-4.312062345,0.066832262,-9.38755586,0.409110656,mtx
0.6,si,vfss,,,,,,,,,,,,,,
0.4,si,sts,,,,,,,,,,,,,,
0.2,ls,gr,heavily weathered,,,,,,,,,,,,,
15.4,si,sts,,,,,,,,,,,,,,
0.3,si,fss,,,,,,,,,,,,,,
23.5,si,sts,,,,,,,,,,,,,,
0.1,si,sts,,,,,,,,,,,,,,
5.9,si,sts,,,,,,,,,,,,,,
1,si,vfss,,,,,,,,,,,,,,
4.5,si,sts,,,,,,,,,,,,,,
0.8,si,vfss,,,,,,,,,,,,,,
16.8,si,sts,,,,,,,,,,,,,,
0.1,si,fss,,,,,,,,,,,,,,
0.1,si,sts,,,,,,,,,,,,,,
0.1,si,vfss,,,,,,,,,,,,,,
0.1,si,sts,,,,,,,,,,,,,,
0.1,si,vfss,,,,,,,,,,,,,,
10.6,si,sts,,,,,,,,,,,,,,
18.8,si,vfss,poor exposure,,,,,,,,,,,,,
176.4,si,di,,,,,,,,,,,,,,
0.2,ls,gr,bd + heavily weathered,,,,,,,,,,,,,
0.6,si,di,,,,,,,,,,,,,,
0.2,ls,gr,bd + heavily weathered,,,,,,,,,,,,,
1.7,si,sts,sub mm outsize clasts,,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,,,
0.3,si,sts,fine outsize clasts,,,,,,,,,,,,,
0.1,ls,gr,,,,,,,,,,,,,,
0.5,si,sts,sub mm outsize clasts,,,,,,,,,,,,,
0.3,ls,gr,bd,,,,,,,,,,,,,
4,si,di,,,,,,,,,,,,,,
0.4,ls,gr,bd + heavily weathered,,,,,,,,,,,,,
0.2,si,sts,,,,,,,,,,,,,,
0.3,ls,gr,bd,,,,,,,,,,,,,
7,si,di,,,,,,,,,,,,,,
1,ls,ccg,"sub rounded carbonate clasts, clast supported, clasts up to 13cm long. Sample taken: YP-ET-01",,,,,,,,,,,,,
17,si,di,,,,,,,,,,,,,,
0.1,ls,gr,bd,,,,,,,,,,,,,
0.2,si,di,,,,,,,,,,,,,,
0.1,ls,gcg,ls clasts up to 2cm,,,,,,,,,,,,,
0.2,si,di,,,,,,,,,,,,,,
0.4,ls,pcg,"ls clasts up to 6cm long, clast supported, pebble conglomerate",,,,,,,,,,,,,
0.7,si,di,,,,,,,,,,,,,,
0.5,dl,gr,weathered,,,,,,,,,,,,,
0.2,si,sts,,,,,,,,,,,,,,
0.4,dl,R,,,,,,,,,,,,,,
0.2,si,sts,,,,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,,,,
0.1,si,sts,,,,,,,,,,,,,,
0.3,ls,pcg,,,,,,,,,,,,,,
0.1,si,sts,,,,,,,,,,,,,,
0.3,dl,R,,,,,,,,,,,,,,
0.1,si,sts,,,,,,,,,,,,,,
0.2,dl,R,,,,,,,,,,,,,,
0.6,si,sts,,,,,,,,,,,,,,
0.1,dl,R,,,,,,,,,,,,,,
3.1,si,di,,,,,,,,,,,,,,
1.9,cover,cover,,,,,,,,,,,,,,
4.2,si,di,,,,,,,,,,,,,,
12.1,cover,cover,,,,,,,,,,,,,,
0.2,ls,gcg,,,,,,,,,,,,,,
21.1,si,di,,,,,,,,,,,,,,
2.4,si,sts,,,,,,,,,,,,,,
11.7,ls,ri,,,,,,,,,,,,,,
1.9,cover,cover,,,,,,,,,,,,,,
4.7,si,sts,,,,,,,,,,,,,,
