Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T63,6/14/17-6/16/17,13.114373,39.293593,13.117722,39.282779,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH_SAMPLE,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
26.6,si,fss,,,SAM-ET-24,28,,221.8,,221.8,27,6.254625628,0.068557032,-6.688434479,0.428522901,mtx,,,,,,,,,
2.8,bslt,m,,,,,,224.2,,224.2,29,7.061483605,0.065876389,-5.909427831,0.199079909,mtx,,,,,,,,,
2,bslt,m,,,,,,228.4,,228.4,29,6.844768788,0.038758075,-5.600106781,0.275659389,mtx,,,,,,,,,
4.2,bslt,m,,,,,,230.1,,230.1,29,6.379349231,0.129927036,-6.892082522,0.366845987,mtx,,227.3911613,411406.8952,-17.15932204,1645.510097,100.840573,237.0657535,61.99213482,2281.640678
19.2,bslt,m,,,,,,234.1,,234.1,31,7.040668042,0.099752753,-5.732931001,0.203333067,mtx,,,,,,,,,
6.6,si,fss,,,,,,237.8,,237.8,31,7.179768926,0.067727752,-6.304503187,0.314503358,mtx,,,,,,,,,
11.7,bslt,m,,,,,,238.9,,238.9,33,7.377077458,0.082230181,-5.498665595,0.131768941,mtx,,,,,,,,,
5.2,si,fss,,,,,,240.2,,240.2,33,8.146746036,0.061822439,-5.710271839,0.109789588,mtx,,194.5685815,398775.1319,57.28650821,1511.273606,31.30443182,119.0106185,122.1233755,2059.451588
14,volc,br,,,,,,241.9,,241.9,33,7.567417117,0.03791775,-5.837566994,0.21858635,mtx,,,,,,,,,
2.8,bslt,m,,,,,,244.7,,244.7,33,7.434035904,0.077283498,-7.063578113,0.164171092,mtx,,,,,,,,,
18.2,si,fss,,,,,,246.4,,246.4,33,7.923888713,0.069150297,-4.859330658,0.196967435,mtx,,,,,,,,,
7.9,si,mss,,,,,,248.8,,248.8,33,7.66658157,0.061666599,-7.128812606,0.421292919,mtx,,,,,,,,,
10.4,si,fss,,,,,,250.2,,250.2,33,7.630401908,0.146120947,-4.290926443,1.082612776,mtx,,,,,,,,,
6.4,si,mss,,,,,,251.3,,251.3,33,7.042433386,0.082560835,-7.085432549,0.267730691,mtx,,226.0907551,483638.3651,139.4188544,1802.259355,104.5265165,119.5960492,111.7297979,3640.936108
5.2,si,fss,,,,,,252.4,,252.4,33,7.314307948,0.087141753,-6.10329603,0.227631343,mtx,,,,,,,,,
6.5,cover,cover,,,,,,253.7,,253.7,33,,,,,mtx,,,,,,,,,
10.8,si,fss,,,,,,255.7,,255.7,33,6.314167015,0.054549802,-5.503778059,0.165641449,mtx,,,,,,,,,
3,si,css,,,,,,258.1,,258.1,35,5.819555243,0.092359377,-8.628292683,0.204184381,mtx,,,,,,,,,
8.4,si,mss,,,,,,259.7,,259.7,35,7.513853692,0.065307042,-5.436422959,0.191931411,mtx,,,,,,,,,
3.4,cover,cover,,,,,,260.6,,260.6,37,6.991293155,0.108640391,-5.919546093,0.118687159,mtx,,162.4246349,362769.5712,155.5263612,37511.74568,1458.599408,64.28883436,63.32709913,1189.441256
2.8,si,fss,,,,,,262.7,,262.7,37,6.482411702,0.045250655,-4.187292385,0.080715431,mtx,,,,,,,,,
1.9,cover,cover,,,,,,264,,264,38,7.615283328,0.048265694,-4.137182964,0.072890457,mtx,,,,,,,,,
2.8,si,fss,,,,,,265.3,,265.3,38,7.738165004,0.075616872,-3.74648266,0.086402385,mtx,,,,,,,,,
0.6,si,mss,,,,,,267.3,,267.3,38,7.905524077,0.05480518,-3.629966769,0.205252369,mtx,,,,,,,,,
