Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,
0.3,si,css,,,,,,185.1,,184.7,50,-4.118253731,0,-10.27698789,0,mtx
0.8,si,sts-ri,,,,,,192.1,SUB 0.1,191.6,51,-4.447116311,0.157125313,-11.03360893,0.340865827,mtx
0.2,ls,gr,,,,,,206.8,,206.3,54,-1.870606702,0.078957433,-9.493753931,0.168974114,mtx
6.5,si,sts-ri,,,,,,210.3,,209.8,55,-2.424097013,0.329193975,-8.836393712,0.751206093,mtx
0.2,ls,ri,,,,,,,,,,,,,,
2.3,si,sts-ri,,,,,,,,,,,,,,
0.3,ls,ri,,,,,,,,,,,,,,
2.6,si,sts-ri,,,,,,,,,,,,,,
0.2,si,css,,,,,,,,,,,,,,
8,si,sts-ri,,,,,,,,,,,,,,
0.2,ls,ri,,,,,,,,,,,,,,
4.3,si,sts-ri,,,,,,,,,,,,,,
6.2,si,sts,,,,,,,,,,,,,,
0.4,ls,ri,,,,,,,,,,,,,,
7,si,fss,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,
14.5,si,fss,,,,,,,,,,,,,,
0.1,ls,ri,,,,,,,,,,,,,,
6.6,si,sts-ri,,,,,,,,,,,,,,
13,si,fss,,,,,,,,,,,,,,
61.2,si,di,,,,,,,,,,,,,,
5.6,si,fss,,,,,,,,,,,,,,
9.8,si,di,,,,,,,,,,,,,,
14,si,fss,,,,,,,,,,,,,,
15.4,si,fss,,,,,,,,,,,,,,
11.2,si,gcg,,,,,,,,,,,,,,
37.8,si,mss,ark,,,,,,,,,,,,,
1.2,si,css,ark,,,,,,,,,,,,,
0.5,si,mss,ark,,,,,,,,,,,,,
0.3,si,fss,ark,,,,,,,,,,,,,
11.2,si,mss,ark,,,,,,,,,,,,,
1.2,si,css,ark,,,,,,,,,,,,,
2.1,si,fss,ark,,,,,,,,,,,,,
9.8,si,mss,ark,,,,,,,,,,,,,
2.1,si,css,ark,,,,,,,,,,,,,
15.4,si,mss,ark,,,,,,,,,,,,,
8.4,cover,cover,,,,,,,,,,,,,,
21,si,mss,ark,,,,,,,,,,,,,
14,cover,cover,,,,,,,,,,,,,,
8.4,si,di,,,,,,,,,,,,,,
5.2,si,mss,ark,,,,,,,,,,,,,
8.4,si,di,,,,,,,,,,,,,,
9.8,si,fss,,,,,,,,,,,,,,
0.1,si,di,,,,,,,,,,,,,,
14.9,si,fss,lone,,,,,,,,,,,,,
0.1,si,css,,,,,,,,,,,,,,
29.4,si,fss,lone,,,,,,,,,,,,,
2.8,si,di,,,,,,,,,,,,,,
1,si,mss,ark,,,,,,,,,,,,,
