Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,
T65,6/20/17,13.123898,39.280426,13.133422,39.279118,WGS84,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,DZ_SAMPLE,DZ_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx
2.6,si,sts,,,359.1,358.6,,2.6,,2.6,1,-7.890641377,0.169155338,-22.87684855,0.93881939,mtx
0.4,ls,ri-sts,,,,,,61.1,,61.1,17,-3.782012477,0.24308233,-10.14740481,0.795013884,mtx
4.8,si,sts,,,,,,63.9,,63.9,19,-1.323143359,0.068234308,-8.450075599,0.462937074,mtx
6.3,si,di,,,,,,65.7,,65.7,20,-1.953561822,0.222727238,-9.990825978,1.115722143,mtx
5.6,si,sts,,,,,,67.1,,67.1,20,-2.053793224,0.148408591,-10.21680581,0.353407904,mtx
19.6,cover,cover,,,,,,68.2,,68.2,21,-0.236391384,0.110773424,-9.188481884,0.313016099,mtx
10.5,si,sts,,,,,,69.6,,69.6,22,-2.437404175,0.192069834,-9.585611268,1.392476898,mtx
0.1,si,css,,,,,,72.5,,72.5,22,-3.702449825,0.076449513,-10.24020258,0.606718585,mtx
0.3,si,sts,,,,,,77.1,,77.1,22,-3.086807492,0.038035104,-9.640933548,0.50170132,mtx
0.4,si,fss,,,,,,82.5,,82.5,23,-1.305873943,0.167678367,-8.466011037,0.548291882,mtx
0.7,si,sts,,,,,,85.1,,85.1,24,-2.853351073,0.104781255,-9.936242012,0.229116251,mtx
0.2,si,css,,,,,,89.9,,89.9,24,-1.213926854,0.162162658,-10.13513576,0.338188454,mtx
1.7,si,sts,,,,,,92.4,,92.4,24,-1.435202605,0.19521283,-6.96240647,0.65189634,mtx
0.4,si,fss,,,,,,96.6,,96.6,25,-0.371780653,0.064514973,-5.827006345,0.348098905,mtx
5.8,cover,cover,,,,,,103.3,,103.3,26,-1.657714503,0.201831645,-7.912746558,1.047373446,mtx
0.5,si,sts,,,,,,104.9,,104.9,26,-1.717042209,0.07559767,-9.227324204,0.264967102,mtx
1,si,fss,,,,,,106,,106,26,-0.596972241,0.137117517,-8.555044454,1.002916505,mtx
0.3,ls,gr,bd,,,,,108.8,,108.8,26,-2.187522497,0.137588707,-8.09152646,0.435690867,mtx
2.6,si,sts-gr,,,,,,116.1,,116.1,26,-2.350216978,0.678821733,-7.056020716,2.031665192,mtx
0.3,si,css,,,,,,121.3,,121.3,26,-1.894973544,0.175646595,-7.911165598,0.990188884,mtx
4,si,sts-gr,,,,,,130.7,SUB 0.4,130.3,28,-2.335558386,0.441966734,-4.582768434,1.093855085,mtx
0.3,si,css,,,,,,132.8,,132.4,28,-3.753629739,0.160615109,-10.36583027,0.409105593,mtx
14.1,si,sts-gr,,,,,,133.4,,133,29,-3.522795494,0.103766104,-9.555613237,0.524061643,mtx
0.1,si,css,,,,,,135.1,,134.7,30,-2.886939214,0.062610252,-8.985502438,0.387561398,mtx
14,si,sts-gr,,,,,,136.9,,136.5,31,-2.721229681,0.158884201,-8.962937387,0.617917422,mtx
0.1,si,css,,,,,,138,,137.6,31,-2.649918363,0,-9.531921085,0,mtx
30.8,si,sts-gr,,,,,,142.1,,141.7,34,-3.491924242,0.418071625,-10.40970591,2.388421725,mtx
0.2,ls,gr,,,,,,146.9,,146.5,35,-4.15835658,0.074145404,-9.993225136,0.203904545,mtx
5.3,si,sts-gr,,,,,,152.8,,152.4,37,-1.42114713,0.071592996,-5.51747215,0.359316534,mtx
0.1,ls,gr,,,,,,156.7,,156.3,40,-3.807115655,0,-5.768863991,0,mtx
1.6,si,sts-gr,,,,,,160.5,,160.1,41,-2.069491234,0,-9.925152339,0,mtx
4.1,ls,ri-sts,,,,,,163,,162.6,43,-2.124291461,0.098951065,-10.71935389,0.494892456,mtx
0.1,si,css,,,,,,166.7,,166.3,46,-2.643663521,0.166638771,-10.29496727,1.778600957,mtx
2.8,cover,cover,,,,,,169.8,,169.4,46,-3.223275734,0.082197725,-10.10965999,0.297310205,mtx
4.2,si,sts-ri,,,,,,175.2,,174.8,48,-3.629841952,0.114100417,-10.84286183,0.34220234,mtx
0.8,ls,ri,,,,,,176.6,,176.2,48,-1.798851217,0.110026696,-9.426245218,0.402834323,mtx
5.5,si,sts-ri,,,,,,177.1,,176.7,48,-2.869894023,0,-10.46702178,0,mtx
