Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum
Y01,5/22/17,13.109612,39.176618,13.109737,39.17644,WGS84
,,,,,,
,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,,
0.15,si,sts,,,,
0.3,si,fss,pl,,,
0.2,si,fss,rxb,,,
0.5,si,fss,spl,,,
0.05,cover,cover,,,,
2.7,si,fss,spl+sc,,,
1.2,si,fss,rxb,,,
0.2,dl,gr,bd,,,
0.5,si,fss,rxb,,,
1,si,fss,pl,,,
0.1,si,fss,,,,
1.6,si,fss,rxb,,,
1.85,si,fss,spl,,,
0.8,si,sts,,,,
1.8,si,fss,spl,,,
1.2,si,sts,,,,
0.7,dl,gr,spl,,,
1.1,si,sts,,,,
0.5,dl,gr,,,,
3.1,si,sts,spl,,,
5,si,di,,,,
