Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,
Y09,5/28/17,13.100701,39.168929,13.100954,39.168378,WGS84,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d18O,CARB_mts_mtx
7.6,si,vfss,spl,,8.3,,8.3,2,,,mtx
0.7,cover,cover,,,9.3,,9.3,2,,,mtx
1.5,ls,gr,ripups+olt,,10.3,,10.3,3,,,mtx
1.5,ls,icb,,,11,,11,3,,,mtx
1.9,ls,olt,,,12.3,,12.3,4,,,mtx
0.3,ls,icb,,,12.7,,12.7,4,,,mtx
0.3,ls,gr,,,13.5,,13.5,5,,,mtx
0.1,ls,gcg,,,14.2,,14.2,9,,,mtx
0.3,cover,cover,,,14.6,,14.6,15,,,mtx
0.15,ls,gr,,,14.9,,14.9,18,,,mtx
0.05,ls,gcg,,,16.8,,16.8,22,,,mtx
0.05,ls,gr,,,45,,45,26,,,mtx
0.05,ls,gcg,,,45.3,,45.3,26,,,mtx
0.05,ls,gr,,,,,,,,,
0.05,ls,gcg,,,,,,,,,
0.1,ls,gr,,,,,,,,,
0.1,ls,gcg,,,,,,,,,
0.05,ls,gr,,,,,,,,,
0.05,ls,gcg,,,,,,,,,
1,cover,cover,,,,,,,,,
0.3,ls,gr,,,,,,,,,
0.1,ls,gcg,,,,,,,,,
0.5,ls,gr,,,,,,,,,
5.6,si,sts,,,,,,,,,
8.4,si,sts,,,,,,,,,
14,si,sts,,,,,,,,,
0.5,ls,gr,ripups,,,,,,,,
5,si,di,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
