sample,formation,strat_m,87Sr/86Sr,d13C,d18O,Mn_ppm,Sr_ppm,Mn/Sr,Mg/Ca,d13C_Srdata
,Grusdievbreen,0,,0.8,,,,,,There appears to be a slight discrepancy between the composite strat levels accompanying the Sr data and that for the d13C data. This needs to be resolved in order to integrate the Sr and C composites.
,Grusdievbreen,3.5,,1.5,,,,,,
,Grusdievbreen,11.8,,2,,,,,,
,Grusdievbreen,14.4,,2.7,,,,,,
,Grusdievbreen,23.7,,1.5,,,,,,
,Grusdievbreen,28.7,,2.5,,,,,,
,Grusdievbreen,30.9,,1.4,,,,,,
,Grusdievbreen,41,,4.1,,,,,,
,Grusdievbreen,62,,3.9,,,,,,
,Grusdievbreen,70.4,,4.5,,,,,,
,Grusdievbreen,78.2,,8.4,,,,,,
,Grusdievbreen,87.2,,6.5,,,,,,
,Grusdievbreen,95.7,,5.2,,,,,,
,Grusdievbreen,106,,5.6,,,,,,
,Grusdievbreen,115.5,,6.5,,,,,,
,Grusdievbreen,125,,3.7,,,,,,
,Grusdievbreen,132.8,,5.7,,,,,,
,Grusdievbreen,138,,3.8,,,,,,
,Grusdievbreen,146,,5.2,,,,,,
,Grusdievbreen,154,,3.3,,,,,,
,Grusdievbreen,205,,2.9,,,,,,
,Grusdievbreen,212,,3.2,,,,,,
G336. 219.6 ,Grusdievbreen,219.6,0.71078,,-6.4,,,, ,4.1
,Grusdievbreen,226,,4.3,,,,,,
,Grusdievbreen,247,,4.8,,,,,,
,Grusdievbreen,259.6,,1.7,,,,,,
,Grusdievbreen,265.3,,3.3,,,,,,
,Grusdievbreen,265.5,,3.6,,,,,,
,Grusdievbreen,265.8,,3.5,,,,,,
,Grusdievbreen,265.9,,3.6,,,,,,
,Grusdievbreen,266.2,,3.5,,,,,,
,Grusdievbreen,266.5,,4.2,,,,,,
,Grusdievbreen,266.7,,4,,,,,,
,Grusdievbreen,267.2,,4,,,,,,
,Grusdievbreen,267.5,,4,,,,,,
,Grusdievbreen,267.8,,3.8,,,,,,
,Grusdievbreen,268,,4.1,,,,,,
,Grusdievbreen,270.8,,4.4,,,,,,
,Grusdievbreen,271.2,,4.4,,,,,,
,Grusdievbreen,271.8,,4.2,,,,,,
,Grusdievbreen,272.1,,4.9,,,,,,
,Grusdievbreen,272.6,,4.2,,,,,,
,Grusdievbreen,272.9,,4.7,,,,,,
,Grusdievbreen,273.6,,4.8,,,,,,
,Grusdievbreen,273.9,,5,,,,,,
,Grusdievbreen,274.5,,5,,,,,,
,Grusdievbreen,275.5,,4.8,,,,,,
,Grusdievbreen,276.5,,5.3,,,,,,
,Grusdievbreen,277.5,,5.2,,,,,,
,Grusdievbreen,279.1,,5.4,,,,,,
,Grusdievbreen,280.4,,5.5,,,,,,
G336. 281.7 ,Grusdievbreen,281.7,0.70627,,-5.7,17,2278,0.01,0.01,7
,Grusdievbreen,282.5,,5.6,,,,,,
,Grusdievbreen,289.1,,5.9,,,,,,
,Grusdievbreen,291.4,,5.7,,,,,,
,Grusdievbreen,294,,6.1,,,,,,
,Grusdievbreen,297.9,,6.1,,,,,,
,Grusdievbreen,300.3,,6.5,,,,,,
,Grusdievbreen,307,,6.2,,,,,,
,Grusdievbreen,311.3,,6.7,,,,,,
,Grusdievbreen,315.5,,4.8,,,,,,
,Grusdievbreen,317.2,,5.5,,,,,,
,Grusdievbreen,330.7,,5.6,,,,,,
,Grusdievbreen,335.4,,5.6,,,,,,
,Grusdievbreen,337.9,,6,,,,,,
,Grusdievbreen,344.3,,6.2,,,,,,
,Grusdievbreen,349,,6.4,,,,,,
,Grusdievbreen,355.5,,6.2,,,,,,
G33. 14.5 ,Grusdievbreen,357.5,0.70626,,-6.3,10,2526,0,0,6.6
,Grusdievbreen,359.1,,6.8,,,,,,
,Grusdievbreen,362.7,,6.8,,,,,,
,Grusdievbreen,367.8,,7.1,,,,,,
,Grusdievbreen,372.9,,6.9,,,,,,
,Grusdievbreen,384.9,,6.5,,,,,,
,Grusdievbreen,389.4,,7.7,,,,,,
