sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca
H119-293.4,Coates Lake,274.5,274.5,4.41,-6.09,,,,,,,,,,
H119-294.9,Coates Lake,276,276,3.78,-7.06,,,,,,,,,,
H119-296.9,Coates Lake,278,278,5.5,-6.16,,,,,,,,,,
H119-298.2,Coates Lake,279.3,279.3,5.92,-6.66,,,,,,,,,,
H119-299.5,Coates Lake,280.6,280.6,5.13,-6.6,0.70674,,,,,,,,,
H119-300.8,Coates Lake,281.9,281.9,5.29,-8.49,,,,,,,,,,
H119-302.4,Coates Lake,283.5,283.5,6.07,-5.18,,,,,,,,,,
H119-304.2,Coates Lake,285.3,285.3,5.26,-6.79,,,,,,,,,,
H119-305.3,Coates Lake,286.4,286.4,6.52,-6.04,,,,,,,,,,
H119-306.7,Coates Lake,287.8,287.8,6.01,-6.27,,,,,,,,,,
H119-310.1,Coates Lake,291.2,291.2,7.64,-5.9,0.70663,,,,,,,,,
H119-314.7,Coates Lake,295.8,295.8,7.69,-5.72,,,,,,,,,,
H119-316.1,Coates Lake,297.2,297.2,7.74,-5.78,,,,,,,,,,
H119-317.7,Coates Lake,298.8,298.8,7.49,-5.34,,,,,,,,,,
H119-319.0,Coates Lake,300.1,300.1,7.95,-5.26,,,,,,,,,,
H119-320.5,Coates Lake,301.6,301.6,7.91,-5.3,,,,,,,,,,
H119-322.7,Coates Lake,303.8,303.8,8.07,-5.16,0.70666,,,,,,,,,
H119-325.4,Coates Lake,306.5,306.5,6.08,-3.14,,,,,,,,,,
H119-326.9,Coates Lake,308,308,5.06,-4.34,,,,,,,,,,
H119-328.4,Coates Lake,309.5,309.5,5.6,-4.69,,,,,,,,,,
H119-345.0,Coates Lake,326.1,326.1,1.42,-7.17,,,,,,,,,,
H119-346.5,Coates Lake,327.6,327.6,2.8,-9.89,,,,,,,,,,
H119-347.3,Coates Lake,328.4,328.4,3.02,-19.12,,,,,,,,,,
H119-348.5,Coates Lake,329.6,329.6,4.26,-12.34,,,,,,,,,,
H119-350.5,Coates Lake,331.6,331.6,5.14,-16.36,,,,,,,,,,
H119-351.3,Coates Lake,332.4,332.4,4.5,-15.55,,,,,,,,,,
H119-352.4,Coates Lake,333.5,333.5,5.2,-17.08,,,,,,,,,,
H119-352.8,Coates Lake,333.9,333.9,3.29,-15.74,,,,,,,,,,
H119-354.3,Coates Lake,335.4,335.4,2.71,-14.1,,,,,,,,,,
H119-355.0,Coates Lake,336.1,336.1,3.69,-14.27,,,,,,,,,,
H119-355.5,Coates Lake,336.6,336.6,3.7,-14.61,,,,,,,,,,
H119-356.0,Coates Lake,337.1,337.1,4.29,-12.82,,,,,,,,,,
H119-356.2,Coates Lake,337.3,337.3,4.5,-12.75,,,,,,,,,,
H119-356.5,Coates Lake,337.6,337.6,4.54,-12.5,,,,,,,,,,
H119-356.7,Coates Lake,337.8,337.8,4.63,-12.61,,,,,,,,,,
H119-356.8,Coates Lake,337.9,337.9,3.73,-12.68,,,,,,,,,,
