section,lithology,formation,strat_m,composite_strat,d13C,d18O,d13Corg,Dd13C,TOC%
W1,dolostone,Bitter Springs,-1929.6,17.9,-1.5,-6,,,
W1,,Bitter Springs,-1929.1,18.4,,,,,
W1,dolostone,Bitter Springs,-1928.6,18.9,-1.8,-6,,,
W1,dolostone,Bitter Springs,-1928.3,19.2,-1.3,-5.6,,,
W1,dolostone,Bitter Springs,-1927.3,20.2,-1.3,-5.5,,,
W1,dolostone,Bitter Springs,-1926.6,20.9,-1.3,-5.7,,,
W1,dolostone,Bitter Springs,-1926,21.5,-1.1,-5.7,,,
W1,insoluble residue,Bitter Springs,-1924.1,23.4,,,-27.4,26.2,
W1,dolostone,Bitter Springs,-1923.1,24.4,-1.2,-5.2,,,
W1,dolostone,Bitter Springs,-1922.3,25.2,-1.1,-6,-30.7,29.6,0.063
W1,dolostone,Bitter Springs,-1920.7,26.8,-1.3,-5.7,,,
W1,dolostone,Bitter Springs,-1920,27.5,-1.5,-5.6,-30,28.6,0.034
W1,dolostone,Bitter Springs,-1919.3,28.2,-1.5,-5.8,,,
W1,dolostone,Bitter Springs,-1917.9,29.6,-1.5,-5.5,,,
W1,dolostone,Bitter Springs,-1917.2,30.3,-1.9,-5.5,,,
W1,dolostone,Bitter Springs,-1916.4,31.1,-1.6,-5.8,,,
W1,dolostone,Bitter Springs,-1914.6,32.9,-1.5,-5.7,,,
W1,dolostone,Bitter Springs,-1913.2,34.3,-2.1,-5.2,-30.1,28,0.053
W1,dolostone,Bitter Springs,-1912.6,34.9,-2.2,-5.5,,,
W1,dolostone,Bitter Springs,-1911.5,36,-2.3,-5.1,,,
W1,anhydrite,Bitter Springs,-1910.5,37,,,,,
W1,dolostone,Bitter Springs,-1910.4,37.1,-2.3,-5.6,,,
W1,anhydrite,Bitter Springs,-1910.3,37.2,,,,,
W1,dolostone,Bitter Springs,-1909.6,37.9,-2.4,-5.7,,,
W1,dolostone,Bitter Springs,-1908.4,39.1,-2.4,-5.5,,,
W1,insoluble residue,Bitter Springs,-1908.1,39.4,,,-28.4,26,
W1,dolostone,Bitter Springs,-1907.5,40,-2.8,-5.1,,,
W1,,Bitter Springs,-1906.8,40.7,,,,,
W1,dolostone,Bitter Springs,-1906.5,41,-3.2,-6.1,,,
W1,dolostone,Bitter Springs,-1905.9,41.6,-3.2,-6,,,
W1,dolostone,Bitter Springs,-1904.8,42.7,-2.6,-4.5,,,
W1,dolostone,Bitter Springs,-1904,43.5,-2.6,-5.5,,,
W1,anhydrite,Bitter Springs,-1902.5,45.1,,,,,
W1,dolostone,Bitter Springs,-1901.6,45.9,-3.2,-5.4,,,
W1,dolostone,Bitter Springs,-1901.1,46.4,-2.8,-5.9,,,
W1,insoluble residue,Bitter Springs,-1900.8,46.7,,,-29.1,26.3,
W1,dolostone,Bitter Springs,-1899.8,47.7,-3.5,-5.7,,,
W1,dolostone,Bitter Springs,-1898.6,48.9,-3.2,-6,,,
W1,dolostone,Bitter Springs,-1897.5,50,-2.9,-5.9,,,
W1,,Bitter Springs,-1896.7,50.8,,,,,
W1,dolostone,Bitter Springs,-1896.5,51,-2.9,-5.8,,,
W1,dolostone,Bitter Springs,-1896.3,51.2,-2.9,-5.9,-30.8,27.9,0.061
W1,,Bitter Springs,-1895.8,51.7,,,,,
