section,lithology,formation,strat_m,composite_strat,d13C,d18O,d13Corg,Dd13C,TOC%
W1,limestone,Bitter Springs,-1608,339.5,7.2,-7.1,,,
W1,limestone,Bitter Springs,-1607,340.5,6.8,-7.9,,,
W1,limestone,Bitter Springs,-1605.9,341.6,6.5,-8.1,,,
W1,limestone,Bitter Springs,-1604.9,342.6,6,-7.9,,,
W1,limestone,Bitter Springs,-1604,343.5,6.1,-8,,,
W1,limestone,Bitter Springs,-1603,344.5,6.1,-8.1,,,
W1,limestone,Bitter Springs,-1602.1,345.4,6.3,-7,,,
W1,dolostone,Bitter Springs,-1601.5,346,6.3,-6.7,,,
W1,limestone,Bitter Springs,-1600.9,346.6,4.9,-10.4,,,
W1,dolostone,Bitter Springs,-1594.8,352.7,4.2,-3.5,,,
W1,dolostone,Bitter Springs,-1591,356.5,4.4,-4.1,,,
W1,insoluble residue,Bitter Springs,-1590.9,356.6,,,-27.1,31.5,
W1,dolostone,Bitter Springs,-1590.3,357.2,5.2,-4,,,
W1,,Bitter Springs,-1589.8,357.7,,,,,
W1,dolostone,Bitter Springs,-1589.4,358.1,4.6,-5.5,,,
W1,dolostone,Bitter Springs,-1587.6,359.9,4.1,-4.8,-25.8,29.8,0.038
W1,dolostone,Bitter Springs,-1586.6,360.9,4.2,-5.4,,,
W1,insoluble residue,Bitter Springs,-1581.1,366.4,,,-27.8,33.3,
W1,dolostone,Bitter Springs,-1581,366.5,5.6,-3.8,,,
W1,dolostone,Bitter Springs,-1580,367.5,6.2,-4,,,
W1,dolostone,Bitter Springs,-1579.8,367.7,6.1,-5,,,
W1,dolostone,Bitter Springs,-1578.2,369.3,5.5,-4.9,,,
W1,dolostone,Bitter Springs,-1577.9,369.6,4.9,-5.3,,,
W1,dolostone,Bitter Springs,-1577.4,370.1,5.1,-5.5,,,
W1,dolostone,Bitter Springs,-1576.5,371,4.5,-5,,,
W1,,Bitter Springs,-1574.4,373.1,,,,,
W1,dolostone,Bitter Springs,-1570,377.5,4.5,-4,-26.2,30.7,0.013
W1,dolostone,Bitter Springs,-1569,378.5,4.7,-4.6,,,
W1,dolostone,Bitter Springs,-1567.9,379.6,4.7,-4,,,
W1,dolostone,Bitter Springs,-1567.5,380,4.3,-5.5,,,
W1,dolostone,Bitter Springs,-1567.1,380.4,4,-5.6,,,
W1,dolostone,Bitter Springs,-1566.6,380.9,3.3,-3.3,,,
W1,dolostone,Bitter Springs,-1562.8,384.7,4.8,-4.8,,,
W1,dolostone,Bitter Springs,-1561.6,385.9,4.3,-5.4,,,
W1,dolostone,Bitter Springs,-1560.2,387.3,3.4,-7.7,,,
W1,dolostone,Bitter Springs,-1559.2,388.3,4.6,-5,-26.9,31.5,0.058
W1,dolostone,Bitter Springs,-1558.3,389.2,4.6,-5.5,,,
W1,dolostone,Bitter Springs,-1557.6,389.9,4,-5.2,,,
W1,,Bitter Springs,-1548.6,398.9,,,,,
W1,insoluble residue,Bitter Springs,-1548.3,399.2,,,-27.2,31.8,
W1,dolostone,Bitter Springs,-1548,399.5,4.6,-5.1,,,
W1,dolostone,Bitter Springs,-1543,404.5,4.8,-5.6,,,
W1,insoluble residue,Bitter Springs,-1542.8,404.7,,,-27.2,32,
W1,dolostone,Bitter Springs,-1542.1,405.4,4.6,-5.9,,,
W1,dolostone,Bitter Springs,-1541.3,406.2,4.4,-5.8,,,
W1,dolostone,Bitter Springs,-1540.5,407,4.3,-6.1,,,
W1,insoluble residue,Bitter Springs,-1540.4,407.1,,,-26.8,31.1,
W1,dolostone,Bitter Springs,-1539.1,408.4,3.3,-5.2,,,
W1,dolostone,Bitter Springs,-1538.5,409,4.3,-4.9,,,
W1,,Bitter Springs,-1538.3,409.2,,,,,
W1,dolostone,Bitter Springs,-1537,410.5,3.9,-4.5,-25.9,29.8,0.054
W1,dolostone,Bitter Springs,-1536.5,411,3.8,-5.6,,,
W1,dolostone,Bitter Springs,-1535,412.5,2,-4.8,,,
W1,dolostone,Bitter Springs,-1498.7,448.8,3.8,-4,,,
W1,dolostone,Bitter Springs,-1498,449.5,3.6,-4.2,,,
W1,dolostone,Bitter Springs,-1497.1,450.4,3.6,-4.3,-28.1,31.8,0.022
W1,dolostone,Bitter Springs,-1495,452.5,3.6,-6.3,,,
W1,insoluble residue,Bitter Springs,-1494.1,453.4,,,-28.5,32.3,
W1,dolostone,Bitter Springs,-1494,453.5,3.8,-4.1,,,
W1,dolostone,Bitter Springs,-1493.6,453.9,3.6,-3.9,,,
W1,dolostone,Bitter Springs,-1492.4,455.1,3.4,-5.2,-28.3,31.7,0.021
W1,dolostone,Bitter Springs,-1491.6,455.9,3.3,-4.4,,,
W1,,Bitter Springs,-1491.1,456.4,,,,,
W1,dolostone,Bitter Springs,-1490.7,456.8,3.1,-4.8,,,
W1,dolostone,Bitter Springs,-1489.7,457.8,2.7,-8.8,,,
W1,,Bitter Springs,-1487.2,460.3,,,,,
W1,dolostone,Bitter Springs,-1486.1,461.4,2.5,-4.4,-26.6,29.1,0.013
W1,,Bitter Springs,-1461.5,486,,,,,
W1,,Bitter Springs,-1461.1,486.4,,,,,
W1,dolostone,Bitter Springs,-1459,488.5,4.8,-5,,,
W1,dolostone,Bitter Springs,-1455.6,491.9,4.9,-4.5,,,
W1,dolostone,Bitter Springs,-1455.5,492,5,-1.2,,,
W1,dolostone,Bitter Springs,-1453.3,494.2,4.7,-4.7,,,
W1,,Bitter Springs,-1451.2,496.3,,,,,
W1,dolostone,Bitter Springs,-1451.1,496.4,5,-4.1,,,
W1,dolostone,Bitter Springs,-1450.3,497.2,4.1,-3.1,,,
W1,dolostone,Bitter Springs,-1449.6,497.9,3.5,-2.2,,,
W1,dolostone,Bitter Springs,-1446.5,501,2.6,-3.3,,,
W1,dolostone,Bitter Springs,-1445.4,502.1,2.8,-3.9,,,
W1,,Bitter Springs,-1445.2,502.3,,,,,
W1,,Bitter Springs,-1443.4,504.1,,,,,
W1,,Bitter Springs,-1442.4,505.1,,,,,
W1,,Bitter Springs,-1441,506.5,,,,,
W1,,Bitter Springs,-1440.8,506.7,,,,,
W1,dolostone,Bitter Springs,-1440.7,506.8,2.7,-0.9,,,
W1,,Bitter Springs,-1439,508.5,,,,,
W1,dolostone,Bitter Springs,-1438.2,509.3,3.8,-3.2,,,
W1,dolostone,Bitter Springs,-1435.2,512.3,3.8,-4.2,,,
W1,,Bitter Springs,-1434.7,512.8,,,,,
W1,dolostone,Bitter Springs,-1434.4,513.1,4.2,-2.6,,,
W1,insoluble residue,Bitter Springs,-1434.1,513.4,,,-26.4,30.6,
W1,dolostone,Bitter Springs,-1433.1,514.4,4.3,-1.9,,,
W1,,Bitter Springs,-1432,515.5,,,,,
W1,,Bitter Springs,-1431.6,516,,,,,
W1,dolostone,Bitter Springs,-1430.1,517.4,4.8,-3.3,,,
W1,insoluble residue,Bitter Springs,-1430.1,517.4,,,-28.2,33,
W1,dolostone,Bitter Springs,-1430,517.5,4.7,-3.9,,,
W1,dolostone,Bitter Springs,-1428.7,518.8,4.5,-3.7,,,
W1,,Bitter Springs,-1428.6,518.9,,,,,
W1,dolostone,Bitter Springs,-1428.4,519.1,4.3,-4.2,,,
W1,insoluble residue,Bitter Springs,-1428.4,519.1,,,-27.5,31.8,
W1,dolostone,Bitter Springs,-1427.5,520,3.6,-2.8,,,
W1,insoluble residue,Bitter Springs,-1427.2,520.3,,,-28.2,31.8,
W1,,Bitter Springs,-1427.1,520.4,,,,,
W1,insoluble residue,Bitter Springs,-1426.4,521.1,,,-27.6,31.5,
W1,dolostone,Bitter Springs,-1426.3,521.2,3.9,-3.7,,,
W1,,Bitter Springs,-1426.1,521.4,,,,,
W1,dolostone,Bitter Springs,-1425.5,522,3.3,-3.6,,,
W1,dolostone,Bitter Springs,-1425.4,522.1,3.2,-4.5,,,
W1,dolostone,Bitter Springs,-1424.3,523.2,4.3,0.5,,,
W1,,Bitter Springs,-1424.2,523.3,,,,,
