section,strat_m,d13C,d18O,unit,lithology,location,northing,easting,87Sr/86Sr,Sr_ppm,Mn/Sr,Rb/Sr,carb_perc
F702,40,3.29,-8.17,T1,l,Khongor Range,N 46 10'48.24,"E 96 16'29.9""",,,,,
F702,42,2.41,-5.63,T1,l,Khongor Range,N 46 10'48.25,"E 96 16'29.9""",,,,,
F703,0,4.64,-6.9,T2,l,Khongor Range,N 46 10'48.2,"E 96 16'29.9""",,,,,
F703,2,2.01,-5.57,T2,l,Khongor Range,N 46 10'48.3,"E 96 16'29.9""",,,,,
F703,4,3.51,-7.3,T2,l,Khongor Range,N 46 10'48.4,"E 96 16'29.9""",,,,,
F703,6,4.54,-13.15,T2,l,Khongor Range,N 46 10'48.5,"E 96 16'29.9""",,,,,
F703,12,6.64,-9.4,T2,l,Khongor Range,N 46 10'48.6,"E 96 16'29.9""",,,,,
F703,25,7.48,-6.04,T2,l,Khongor Range,N 46 10'48.7,"E 96 16'29.9""",,,,,
F703,28,8.47,-3.48,T2,l,Khongor Range,N 46 10'48.8,"E 96 16'29.9""",,,,,
F703,32,7.03,-7.28,T2,l,Khongor Range,N 46 10'48.9,"E 96 16'29.9""",,,,,
F703,34,7.06,-7.09,T2,l,Khongor Range,N 46 10'48.10,"E 96 16'29.9""",,,,,
F703,36,7.72,-10.57,T2,l,Khongor Range,N 46 10'48.11,"E 96 16'29.9""",,,,,
F703,38,8.6,-3.54,T2,l,Khongor Range,N 46 10'48.12,"E 96 16'29.9""",,,,,
F703,40,6.77,-9.63,T2,l,Khongor Range,N 46 10'48.13,"E 96 16'29.9""",,,,,
F703,42,8.32,-5.86,T2,l,Khongor Range,N 46 10'48.14,"E 96 16'29.9""",,,,,
F703,44,8.59,-3.75,T2,l,Khongor Range,N 46 10'48.15,"E 96 16'29.9""",,,,,
F703,46,6.91,-9.72,T2,l,Khongor Range,N 46 10'48.16,"E 96 16'29.9""",,,,,
F703,48,7.18,-9.51,T2,l,Khongor Range,N 46 10'48.17,"E 96 16'29.9""",,,,,
F703,50,8.9,-5.5,T2,l,Khongor Range,N 46 10'48.18,"E 96 16'29.9""",,,,,
F703,52,9.58,-3.98,T2,l,Khongor Range,N 46 10'48.19,"E 96 16'29.9""",,,,,
F703,54,7.78,-8.4,T2,l,Khongor Range,N 46 10'48.20,"E 96 16'29.9""",,,,,
F703,56,7.46,-6.48,T2,l,Khongor Range,N 46 10'48.21,"E 96 16'29.9""",,,,,
F703,58,6.82,-8.59,T2,l,Khongor Range,N 46 10'48.22,"E 96 16'29.9""",,,,,
F703,60,7.53,-8.52,T2,l,Khongor Range,N 46 10'48.23,"E 96 16'29.9""",,,,,
F703,62,7.11,-9.73,T2,l,Khongor Range,N 46 10'48.24,"E 96 16'29.9""",,,,,
F703,64,7.76,-8.53,T2,l,Khongor Range,N 46 10'48.25,"E 96 16'29.9""",,,,,
F703,66,7.52,-10.05,T2,l,Khongor Range,N 46 10'48.26,"E 96 16'29.9""",,,,,
F703,68,7.84,-8.65,T2,l,Khongor Range,N 46 10'48.27,"E 96 16'29.9""",,,,,
F703,74,7.32,-9.84,T2,l,Khongor Range,N 46 10'48.28,"E 96 16'29.9""",,,,,
F703,76,6.74,-10.24,T2,l,Khongor Range,N 46 10'48.29,"E 96 16'29.9""",,,,,
F703,78,6.99,-9.07,T2,l,Khongor Range,N 46 10'48.30,"E 96 16'29.9""",,,,,
F704,122,4.14,-4.8,T1,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,124,7.76,-7.27,T1,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,126,6.28,-5.04,T1,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,128,4.03,-6.31,T1,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,146,6.6,-6.98,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,148,7.99,-6.09,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,150,6.9,-8.57,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,152,7.6,-7.56,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,154,8.33,-3.76,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,156,8.65,-5.26,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,158,8.14,-4.98,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,160,5.93,-8.41,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,162,7.03,-7.13,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,166,5.65,-7.18,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,168,7.61,-6.91,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,170,6.56,-8.37,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,172,7.85,-4.51,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,174,6.9,-7.8,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,176,7.43,-10.89,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,178,7.34,-8.95,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,180,6.65,-8.65,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,182,7.49,-7.88,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,184,6.66,-7.86,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,186,7.02,-6.59,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,188,6.52,-7.52,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,192,7,-6.95,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,194,7.22,-6.41,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,196,7.01,-7.11,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,200,7.47,-7.93,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,202,8.55,-10.13,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,204,6.57,-8.88,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,206,6.14,-7.63,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,208,5.95,-7.47,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,210,7.26,-8.92,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,214,6.38,-9.05,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,216,6.56,-9.57,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,218,7.09,-7.19,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,220,7.41,-5.87,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,222,7.5,-7.01,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,224,7.29,-8.33,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,226,7.05,-8.38,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,228,6.68,-6.6,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,230,6.64,-13.87,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,232,6.84,-12.01,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,236,6.07,-11.75,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,238,5.81,-10.83,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,240,5.49,-11.67,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,242,5.54,-15.57,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,244,7.09,-8.71,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,246,5.87,-19.93,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,248,4.57,-14.57,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,250,1.24,-18.38,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,252,6.96,-20.5,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,254,6.73,-11.37,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,256,7.24,-13.96,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,258,7.07,-11.3,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,260,5.4,-13.15,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,264,5.88,-12.3,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,266,5.55,-9.97,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,268,7.33,-6.94,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,270,6.43,-7.55,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,272,6.79,-10.37,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,274,7.4,-7.11,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,278,5.35,-8.93,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,280,6.59,-8.25,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,282,5.25,-8.51,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,284,5.43,-8.77,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,286,6.62,-5.15,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,288,4.71,-8.58,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,290,5.01,-7.72,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,292,4.53,-8.59,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,294,3.93,-8.62,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,298,3.94,-7.67,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,300,3.39,-8.6,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,302,1.92,-6.88,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,310,-5.38,-18.35,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,312,-4.15,-19.66,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,314,-5.33,-12.89,T2,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,316,-6.69,-13.79,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,318,-6.19,-6.6,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,320,-5.78,-10.85,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,322,-5.98,-14.72,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,324,-5.46,-8.15,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,326,-7.37,-11.22,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,328,-6.58,-9.53,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,330,-5.74,-8.3,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,332,-5.44,-9.27,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,334,-6.29,-11.69,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,336,-5.11,-11.78,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,338,-4.94,-9.9,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,340,-4.33,-11.94,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,346,-2.41,-11.08,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,348,-2.67,-7.51,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,350,-2.6,-13.1,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,352,-1.29,-17.74,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,354,-1.29,-8.14,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,356,0.2,-17.5,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,360,1.13,-11.94,T3,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,362,3.83,-14.02,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,364,7.27,-12.12,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,366,8.79,-6.33,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,368,7.37,-6.82,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,370,6.16,-5.87,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,372,8.82,-5.43,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,374,9.09,-5.27,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,376,9.49,-4.64,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,378,8.08,-6.56,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,380,7.55,-7.55,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,382,7.51,-9.83,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,384,8.04,-5.42,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,386,9.21,-5.43,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,388,8.75,-8.74,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,392,9.56,-9.78,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,396,8.93,-6.67,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,398,9.13,-5.46,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,400,5.66,-5.97,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,402,7.27,-8.96,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,404,7.45,-11.23,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,406,9.35,-9.78,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,412,9.21,-6.31,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,414,8.7,-7,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,416,9.57,-4.56,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,418,7.67,-7.74,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,420,9.65,-4.36,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,424,8.97,-7.02,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,426,9.35,-4.73,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,428,8.9,-4.75,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,430,9.71,-2.66,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,432,10.02,-2.51,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,436,8.62,-5.4,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,438,10.09,-3.06,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,442,9.22,-4.81,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,446,9.93,-2.85,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,450,9.41,-4.55,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,456,9.51,-3.8,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,462,9.88,-1.59,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,466,9.1,-6.25,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,470,9.57,-3.57,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,474,9.45,-3.1,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,478,9.46,-4.27,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,482,9.76,-3.3,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,486,9.46,-4.89,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,490,8.83,-5.82,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,494,9,-4.99,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,498,8.96,-2.88,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,502,8.69,-10.22,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,506,9.51,-3.22,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,510,6.2,-5.22,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,514,9.86,-2.62,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,518,9.34,-3.06,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,522,9.72,-2.74,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,526,9.77,-3.07,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,530,9.85,-3.7,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,534,9.89,-4.51,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,538,9.69,-3.18,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,542,9.74,-3.97,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,546,9.7,-3.34,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,550,9.08,-4.36,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,554,9.96,-3.32,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,558,10.35,-3.93,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,562,11.02,-2.98,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F704,566,11.54,-3.55,T4,l,Khongor Range,"N46 41'58.0""","E 96 14'54.9""",,,,,
F708,0,10.02,-6.74,T4,l,Khongor Range,"N46 39'45.4""","E95 49'06.3""",,,,,
F708,1,10.36,-4.42,T4,l,Khongor Range,"N46 39'45.4""","E95 49'06.3""",,,,,
F708,2.5,9.61,-5.02,T4,l,Khongor Range,"N46 39'45.4""","E95 49'06.3""",,,,,
F708,4,9.05,-7.95,T4,l,Khongor Range,"N46 39'45.4""","E95 49'06.3""",,,,,
F708,5,9.95,-4.57,T4,l,Khongor Range,"N46 39'45.4""","E95 49'06.3""",,,,,
F708,6,10.04,-3.98,T4,l,Khongor Range,"N46 39'45.4""","E95 49'06.3""",,,,,
F708,7,7.7,-14.03,T4,l,Khongor Range,"N46 39'45.4""","E95 49'06.3""",,,,,
F708,7.5,8.04,-14.79,T4,l,Khongor Range,"N46 39'45.4""","E95 49'06.3""",,,,,
F708,8,4.99,-13.77,T4,l,Khongor Range,"N46 39'45.4""","E95 49'06.3""",,,,,
F713,81.7,-3.13,-16.96,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,83,-2.03,-13.55,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,84,-1.49,-13.56,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,85,-1.35,-14.34,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,86,-0.45,-9.46,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,87,-0.33,-10.08,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,88,-0.85,-9.81,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,89,-0.65,-9.4,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,90.5,-0.74,-8.76,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,92,-1.09,-6.98,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,94,-0.47,-7.56,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,96,-1.18,-11.25,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,98,-0.62,-7.76,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F713,100,-1.23,-11.29,T1,l,Taishir,"N46 40'59.9""","E96 33'50.3""",,,,,
F723,-2,10.8,-9.21,T,l,Tsagaan Gorge,N46 49'01.1,"E95 49'06.3""",,,,,
F723,-1,9.89,-9.14,T,l,Tsagaan Gorge,N46 49'01.2,"E95 49'06.3""",,,,,
F723,0,10.68,-6.5,T,l,Tsagaan Gorge,N46 49'01.3,"E95 49'06.3""",,,,,
F723,24.1,-0.28,-4.61,,,Tsagaan Gorge,N46 49'01.4,"E95 49'06.3""",,,,,
F723,25,-0.77,-5.58,,,Tsagaan Gorge,N46 49'01.5,"E95 49'06.3""",,,,,
F723,26,-0.58,-5.15,,,Tsagaan Gorge,N46 49'01.6,"E95 49'06.3""",,,,,
F723,27,-0.58,-6.05,,,Tsagaan Gorge,N46 49'01.7,"E95 49'06.3""",,,,,
F723,28,0.28,-4.91,,,Tsagaan Gorge,N46 49'01.8,"E95 49'06.3""",,,,,
F723,29,1.01,-4.89,,,Tsagaan Gorge,N46 49'01.9,"E95 49'06.3""",,,,,
F723,30,0.71,-3.99,,,Tsagaan Gorge,N46 49'01.10,"E95 49'06.3""",,,,,
F723,31,-0.23,-3.83,,,Tsagaan Gorge,N46 49'01.11,"E95 49'06.3""",,,,,
