section,strat_m,d13C,d18O,unit,lithology,location,northing,easting,87Sr/86Sr,Sr_ppm,Mn/Sr,Rb/Sr,carb_perc
F701,103.5,-1.45,1.31,MU,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,127.5,-2.14,-2.82,MU,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,170,-2.14,-11.73,MU,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,176.1,-3.06,-17.83,T1,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,176.6,-2.09,-10.23,T1,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,178,-2.4,-12.49,T1,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,179,-1.94,-12.25,T1,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,180,-1.3,-15.27,T1,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,181,-1.03,-14.78,T1,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,182,-1.61,-17.38,T1,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,183,-0.56,-13.64,T1,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,184,-1.6,-15.63,T1,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F701,185,0.43,-10.55,T1,l,Khongor Range,N 46 10.803',E 96 16.50',,,,,
F702,0,-2.58,-18.12,T1,l,Khongor Range,N 46 10'48.2,"E 96 16'29.9""",,,,,
F702,1,-1.1,-16.46,T1,l,Khongor Range,N 46 10'48.3,"E 96 16'29.9""",,,,,
F702,3,-1.32,-15.55,T1,l,Khongor Range,N 46 10'48.4,"E 96 16'29.9""",,,,,
F702,4,-0.58,-15.36,T1,l,Khongor Range,N 46 10'48.5,"E 96 16'29.9""",,,,,
F702,5,-1.3,-15.89,T1,l,Khongor Range,N 46 10'48.6,"E 96 16'29.9""",,,,,
F702,6,-0.73,-14.4,T1,l,Khongor Range,N 46 10'48.7,"E 96 16'29.9""",,,,,
F702,7,-0.8,-14.99,T1,l,Khongor Range,N 46 10'48.8,"E 96 16'29.9""",,,,,
F702,8,-0.45,-14.46,T1,l,Khongor Range,N 46 10'48.9,"E 96 16'29.9""",,,,,
F702,9,-0.92,-13.83,T1,l,Khongor Range,N 46 10'48.10,"E 96 16'29.9""",,,,,
F702,10,-0.68,-13.07,T1,l,Khongor Range,N 46 10'48.11,"E 96 16'29.9""",,,,,
F702,11,-0.23,-12.93,T1,l,Khongor Range,N 46 10'48.12,"E 96 16'29.9""",,,,,
F702,12,-0.09,-11.31,T1,l,Khongor Range,N 46 10'48.13,"E 96 16'29.9""",,,,,
F702,13,0.23,-8.65,T1,l,Khongor Range,N 46 10'48.14,"E 96 16'29.9""",,,,,
F702,14,-0.68,-13.53,T1,l,Khongor Range,N 46 10'48.15,"E 96 16'29.9""",,,,,
F702,15,-0.47,-12.11,T1,l,Khongor Range,N 46 10'48.16,"E 96 16'29.9""",,,,,
F702,16,-0.55,-8.93,T1,l,Khongor Range,N 46 10'48.17,"E 96 16'29.9""",,,,,
F702,17,-0.15,-12.96,T1,l,Khongor Range,N 46 10'48.18,"E 96 16'29.9""",,,,,
F702,18,-0.24,-12.73,T1,l,Khongor Range,N 46 10'48.19,"E 96 16'29.9""",,,,,
F702,19,-0.35,-15.03,T1,l,Khongor Range,N 46 10'48.20,"E 96 16'29.9""",,,,,
F702,21,-0.01,-9.73,T1,l,Khongor Range,N 46 10'48.21,"E 96 16'29.9""",,,,,
F702,36,3.47,-8.83,T1,l,Khongor Range,N 46 10'48.22,"E 96 16'29.9""",,,,,
F702,38,3.77,-7.84,T1,l,Khongor Range,N 46 10'48.23,"E 96 16'29.9""",,,,,
