sample,height,unit,location,bold_age,87Sr/86Sr,Sr_ppm,Mn/Sr,Rb/Sr,carb_perc,method,period,reference,bold_altered
Yd1,1,Doushantuo,"Yangjiaping section, China",,0.7081,681,0.13,0.0074,68.1,TIMS,Ediacaran,"Cui et al., 2015",no
Yd2,4,Doushantuo,"Yangjiaping section, China",,0.70812,520,0.15,0.0154,69.3,TIMS,Ediacaran,"Cui et al., 2015",no
Yd3,8,Doushantuo,"Yangjiaping section, China",,0.70811,491,0.18,0.0138,62.3,TIMS,Ediacaran,"Cui et al., 2015",yes
Yd5,16,Doushantuo,"Yangjiaping section, China",,0.70805,394,0.12,0.0063,70.1,TIMS,Ediacaran,"Cui et al., 2015",yes
Yd6,20,Doushantuo,"Yangjiaping section, China",,0.7081,385,0.16,0.011,81,TIMS,Ediacaran,"Cui et al., 2015",yes
Yd8,28,Doushantuo,"Yangjiaping section, China",,0.7079,286,0.03,0.0009,97.2,TIMS,Ediacaran,"Cui et al., 2015",yes
Yd9,32,Doushantuo,"Yangjiaping section, China",,0.70793,1353,0.01,0.0002,97.6,TIMS,Ediacaran,"Cui et al., 2015",no
Yd10,36,Doushantuo,"Yangjiaping section, China",,0.708,775,0.04,0.0028,94.4,TIMS,Ediacaran,"Cui et al., 2015",no
Yd11,40,Doushantuo,"Yangjiaping section, China",,0.70801,558,0.13,0.0072,76.6,TIMS,Ediacaran,"Cui et al., 2015",no
Yd12,44,Doushantuo,"Yangjiaping section, China",,0.70803,899,0.11,0.0038,96.7,TIMS,Ediacaran,"Cui et al., 2015",no
Yd13,49,Doushantuo,"Yangjiaping section, China",,0.70796,697,0.03,0.0003,95.2,TIMS,Ediacaran,"Cui et al., 2015",no
Yd14,53,Doushantuo,"Yangjiaping section, China",,0.70791,689,0.02,0.0002,96.2,TIMS,Ediacaran,"Cui et al., 2015",no
Yd15,56,Doushantuo,"Yangjiaping section, China",,0.70799,1119,0.03,0.0012,97.6,TIMS,Ediacaran,"Cui et al., 2015",no
