sample,region,formation,section,height,lithology,d13C,d13C_altered,d18O,Mn_ppm,Sr_ppm,Sr_ID,Fe_ppm,Mg/Ca,Ca/Sr,Mn/Sr,Fe/Sr,Rb/Sr,87Sr/86Sr,87Sr/86Sr_ac
UM-1,Uchur-Maya,Treghorkha,Belaya,160,ds,,-2.8,-10.6,627,87,,25-868,0.23,2288,7.2,297,,,
UM-2,Uchur-Maya,Treghorkha,Belaya,164,ds,,-3.1,-10.7,414,49,,14-603,0.25,2222,8.5,298,,,
UM-5,Uchur-Maya,Treghorkha,Belaya,780,ds,-0.3,,-5.8,1030,123,,6768,0.34,2593,8.4,55,,,0.73774
UM-6,Uchur-Maya,Treghorkha,Belaya,850,ds,,-1,-5.6,2085,133,,20-043,0.46,1368,15.7,151,,,
UM-7,Uchur-Maya,Treghorkha,Belaya,1020,ls,,-0.6,-5.7,1677,111,,45-248,0.17,3946,15.1,408,,,
UM-7b,Uchur-Maya,Treghorkha,Belaya,1020,ds,,-1,-5.5,1845,126,,38-434,0.3,2506,14.7,306,,,
UM-8,Uchur-Maya,Svetlyi,Belaya,15,ds,,0.4,-6.5,1829,146,,18-494,0.48,1411,12.6,127,,,
UM-9,Uchur-Maya,Svetlyi,Belaya,26,ds,,-0.3,-5.5,769,45,,4451,0.56,4406,17,98,,,
UM-10,Uchur-Maya,Svetlyi,Belaya,35,ds,,-1.1,-5.8,844,68,,5130,0.48,3392,12.4,76,,,
UM-11,Uchur-Maya,Svetlyi,Belaya,45,ds,,0.5,-5.6,618,36,,2743,0.57,5845,17.4,77,,,
UM-12,Uchur-Maya,Svetlyi,Belaya,54,ds,0.5,,-6,487,56,,3851,0.44,4472,8.7,69,,,
UM-13,Uchur-Maya,Svetlyi,Belaya,65,ds,0.7,,-5.7,430,46,,2856,0.56,5015,9.4,63,,,
UM-14,Uchur-Maya,Svetlyi,Belaya,75,ds,-0.6,,-5.9,224,75,,3936,0.36,2896,3,53,,,
UM-15,Uchur-Maya,Svetlyi,Belaya,90,ds,0.4,,-6.9,325,51,,2831,0.54,4265,6.4,55,,,
UM-16,Uchur-Maya,Svetlyi,Belaya,120,ds,0.4,,-6.3,361,55,,3152,0.55,3741,6.6,58,,,
UM-17,Uchur-Maya,Svetlyi,Belaya,145,ds,-0.4,,-7.4,564,60,,4872,0.51,4605,9.4,81,,,
UM-18,Uchur-Maya,Svetlyi,Belaya,180,ds,1.1,,-7.5,275,49,,2894,0.56,4046,5.6,59,,,
UM-19,Uchur-Maya,Svetlyi,Belaya,210,ds,-0.1,,-5.9,302,68,,4891,0.52,3319,4.4,72,,,
UM-20,Uchur-Maya,Svetlyi,Belaya,240,ds,0.6,,-6.3,186,58,,3046,0.55,4087,3.2,53,,,
UM-21,Uchur-Maya,Svetlyi,Belaya,270,ds,0.8,,-6.6,131,72,,1465,0.58,1736,1.8,20,,,
UM-21,Uchur-Maya,Svetlyi,Belaya,270,ds,0.5,,-6.5,151,59,,1614,0.57,2984,2.6,28,,,
UM-22,Uchur-Maya,Svetlyi,Belaya,300,ds,0.9,,-6.9,211,118,,2455,0.56,1704,1.8,21,,,0.72528
UM-23,Uchur-Maya,Svetlyi,Belaya,325,ds,0.4,,-8.2,654,165,,6664,0.53,1337,4,40,,,
UM-24,Uchur-Maya,Malgina,Maya,7,ls,-0.1,,-5.6,536,146,170,3529,0.01,2575,3.7,24,0.0092,0.70757,0.70651
UM-25,Uchur-Maya,Malgina,Maya,8.5,ls,0,,-5.5,530,135,,3572,0.01,2662,3.9,26,,,0.70664
UM-26,Uchur-Maya,Malgina,Maya,16,ls,0.7,,-5.9,839,115,,3813,0.01,3289,7.3,33,,,0.70728
UM-27,Uchur-Maya,Malgina,Maya,21,ls,0.7,,-6.9,585,124,,6214,0.01,2541,4.7,50,,,
UM-27b,Uchur-Maya,Malgina,Maya,21,ds,1,,-6.5,148,184,,2442,0.51,1220,0.8,13,,,
UM-28,Uchur-Maya,Malgina,Maya,25,ls,0.1,,-6.6,570,104,,1968,0.01,3217,5.5,19,,,
UM-28b,Uchur-Maya,Malgina,Maya,25,ls,0.4,,-5.7,565,121,,1726,0.01,2900,4.7,14,,,
UM-29,Uchur-Maya,Malgina,Belaya,55,ls,0.1,,-7.5,657,176,224,3787,0.01,2013,3.7,22,0.0005,0.70917,0.70903
UM-30,Uchur-Maya,Malgina,Belaya,80,ls,-0.3,,-9.1,162,,,5230,0.01,2013,4.7,32,,,
UM-31,Uchur-Maya,Malgina,Belaya,105,ls,0.1,,-7.3,648,161,,4131,0.01,2203,4,26,,,
UM-32,Uchur-Maya,Malgina,Belaya,130,ls,,,,894,179,,3657,0.01,1960,5,20,,,
UM-33,Uchur-Maya,Malgina,Belaya,155,ls,-0.3,,-9.6,211,41,,8719,0.02,4960,5.2,213,,,0.71284
UM-34,Uchur-Maya,Malgina,Belaya,180,ls,-0.1,,-8.1,959,177,,6433,0.01,1953,5.4,36,,,0.71564
UM-35,Uchur-Maya,Malgina,Belaya,205,ls,-0.1,,-7.1,1096,183,249,5242,0.01,2433,6,29,0.009,0.71818,0.71762
UM-36,Uchur-Maya,Malgina,Belaya,230,ls,0,,-6.6,194,160,,3886,0.01,2420,1.2,24,,,
UM-37,Uchur-Maya,Malgina,Belaya,255,ls,-0.3,,-7.1,251,149,,3984,0.01,2696,1.7,27,,,
UM-38,Uchur-Maya,Malgina,Belaya,280,ls,0.3,,-5.4,403,162,,5910,0.02,2481,2.5,37,,,
UM-39,Uchur-Maya,Malgina,Belaya,305,ls,0.2,,-7.5,401,162,,3949,0.01,2174,2.5,24,,,
UM-40,Uchur-Maya,Malgina,Belaya,330,ls,1.6,,-7.5,463,162,,5004,0.01,2819,2.9,31,,,
UM-41,Uchur-Maya,Malgina,Belaya,355,ls,1.9,,-5.6,806,211,224,5218,0.01,1760,3.8,25,0.0009,0.70866,0.7085
UM-42,Uchur-Maya,Malgina,Belaya,380,ls,0.6,,-7.6,500,153,,5200,0.01,1881,3.3,34,,,
UM-43,Uchur-Maya,Malgina,Belaya,400,ls,0.3,,-7.6,1102,166,,3138,0.01,1959,6.6,19,,,0.71217
UM-44,Uchur-Maya,Malgina,Belaya,420,ls,-0.5,,-8.5,1032,146,,4529,0.01,3485,7.1,31,,,
UM-45,Uchur-Maya,Tsipanda,Maya,10,ds,1.3,,-3.4,173,40,,1400,0.58,4681,4.4,35,,,
UM-46,Uchur-Maya,Tsipanda,Maya,17,ds,1.7,,-4.8,237,44,,2943,0.57,4540,5.4,67,,,
UM-47,Uchur-Maya,Tsipanda,Maya,23,ds,0.8,,-5.6,287,57,,4166,0.43,4855,5.1,74,,,
UM-48,Uchur-Maya,Tsipanda,Maya,30,ls,0.6,,-6.1,339,70,390,1359,0.04,4268,4.8,19,0.0017,0.70744,
UM-49,Uchur-Maya,Tsipanda,Maya,36,ds,1.1,,-5,223,73,118,3470,0.47,3283,3.1,48,0.0074,0.70744,
UM-50,Uchur-Maya,Tsipanda,Maya,40,ds,1.3,,-5.2,180,40,52,4561,0.6,4991,4.5,113,0.0139,,
UM-50,Uchur-Maya,Tsipanda,Maya,40,ds,1.1,,-7,221,38,46,3159,0.54,5665,5.8,83,0.0094,,
UM-51,Uchur-Maya,Tsipanda,Maya,49,ds,1.1,,-5.6,253,44,52,3427,0.52,5166,5.7,78,0.006,,
UM-54,Uchur-Maya,Tsipanda,Maya,68,ds,0.9,,-5.4,263,38,,6632,0.53,6292,7,176,,,
UM-55,Uchur-Maya,Tsipanda,Maya,75,ds,1.7,,-8.3,276,49,,3708,0.52,5009,5.7,76,,,
UM-56,Uchur-Maya,Tsipanda,Maya,82,ds,1.5,,-4.1,271,47,,3372,0.51,4868,5.8,72,,,
UM-57,Uchur-Maya,Tsipanda,Maya,88,ds,0.9,,-4.8,287,43,,3879,0.56,4871,6.8,91,,,
UM-58,Uchur-Maya,Tsipanda,Maya,95,ds,0.5,,-5.2,172,45,,3532,0.55,4564,3.8,78,,,
UM-59,Uchur-Maya,Tsipanda,Maya,101,ds,0.6,,-6.4,207,50,,3390,0.55,4220,4.1,67,,,
UM-60,Uchur-Maya,Tsipanda,Maya,108,ds,0.8,,-5.7,264,35,,4506,0.56,5909,7.6,130,,,
UM-61,Uchur-Maya,Tsipanda,Maya,114,ds,0.9,,-5,205,48,,3456,0.5,5333,4.3,72,,,
UM-63,Uchur-Maya,Tsipanda,Maya,127,ds,1.3,,-4,200,156,,3559,0.48,1553,1.3,23,,,0.70702
UM-64,Uchur-Maya,Tsipanda,Maya,134,ds,1.2,,-4.2,144,72,,5404,0.52,3381,2,75,,,
