section,sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca
P11A,P11A-212.0,Little Dal,212,212,4.42,-7.98,,10.68,137.94,876.56,4418.04,307591.38,164.83,548.33,1.33,0.02
P11A,P11A-213.6,Little Dal,213.6,213.6,4.36,-7.59,,,,,,,,,,
P11A,P11A-216.5,Little Dal,216.5,216.5,4.97,-7.51,,,,,,,,,,
P11A,P11A-219.5,Little Dal,219.5,219.5,4.72,-7.79,,,,,,,,,,
P11A,P11A-221.2,Little Dal,221.2,221.2,4.68,-7.52,,,,,,,,,,
P11A,P11A-224.0,Little Dal,224,224,4.47,-7.44,,,,,,,,,,
P11A,P11A-225.9,Little Dal,225.9,225.9,4.47,-7.68,,,,,,,,,,
P11A,P11A-228.9,Little Dal,228.9,228.9,4.82,-7.46,,,,,,,,,,
P11A,P11A-230.8,Little Dal,230.8,230.8,4.4,-8.04,,,,,,,,,,
P11A,P11A-234.1,Little Dal,234.1,234.1,4.57,-7.54,,,,,,,,,,
P11A,P11A-236.0,Little Dal,236,236,4.4,-7.87,,,,,,,,,,
P11A,P11A-238.7,Little Dal,238.7,238.7,5.3,-7.44,,,,,,,,,,
P11A,P11A-242.1,Little Dal,242.1,242.1,4.62,-7.83,,,,,,,,,,
P11A,P11A-244.0,Little Dal,244,244,4.1,-8.48,,,,,,,,,,
P11A,P11A-247.1,Little Dal,247.1,247.1,4.25,-7.88,,,,,,,,,,
P11A,P11A-250.7,Little Dal,250.7,250.7,4,-8.65,,,,,,,,,,
P11A,P11A-257.9,Little Dal,257.9,255.2,5.05,-8.99,,,,,,,,,,
P11A,P11A-255.2,Little Dal,255.2,257.9,3.74,-9.42,,,,,,,,,,
P11A,P11A-260.5,Little Dal,260.5,260.5,4.63,-8.62,,,,,,,,,,
P11A,P11A-262.6,Little Dal,262.6,262.6,4.53,-10,,,,,,,,,,
P11A,P11A-265.3,Little Dal,265.3,265.3,4.25,-8.63,,,,,,,,,,
P11A,P11A-267.0,Little Dal,267,267,5.35,-7.19,,,,,,,,,,
P11A,P11A-269.2,Little Dal,269.2,269.2,4.17,-10.52,,,,,,,,,,
P11A,P11A-272.3,Little Dal,272.3,272.3,4.4,-8.38,,,,,,,,,,
P11A,P11A-273.0,Little Dal,273,273,4.43,-8.46,,,,,,,,,,
P11A,P11A-275.0,Little Dal,275,275,4.27,-8.26,,,,,,,,,,
P11A,P11A-278.0,Little Dal,278,278,3.78,-8.72,,,,,,,,,,
G12,G12--1.4,Little Dal,-1.4,278.6,3.7,-9.49,,16.64,31.65,648.46,4097.32,409799.88,139.37,1196.57,0.36,0.02
P11A,P11A-280.0,Little Dal,280,280,3.94,-9.1,,,,,,,,,,
G12,G12-0.3,Little Dal,0.3,281.5,3.79,-10.06,,17.8,46.59,516.45,5650.32,370978.91,171.96,936.19,0.43,0.03
G12,G12-3.0,Little Dal,3,284.2,3.67,-9.41,,13.7,67.5,1202.62,19345.33,350472.84,113.69,936.57,0.95,0.09
G12,G12-6.0,Little Dal,6,287.2,4.28,-8.47,,14.53,117.99,3291.35,62507.91,281617.63,96.78,894.36,1.94,0.37
G12,G12-8.8,Little Dal,8.8,290,3.67,-9.14,,15.49,57.74,1280.6,18405.58,365372.39,130.49,965.27,0.71,0.08
G12,G12-13.1,Little Dal,13.1,294.3,3.94,-8.76,,19.04,154.36,3029.63,47285.18,355143.7,98.39,1051.66,2.5,0.22
G12,G12-17.3,Little Dal,17.3,298.5,3.97,-8.01,,21.12,272.96,10056.52,77979,296957.54,67.05,957.81,6.49,0.43
G12,G12-19.0,Little Dal,19,300.2,3.02,-10.85,,38.43,213.28,9213.35,18348.85,247041.74,93.29,755.08,3.65,0.12
G12,G12-22.0,Little Dal,22,303.2,3.35,-9.24,,32.77,220.86,7137.08,20654.21,327005.94,125.24,934.02,2.81,0.1
G12,G12-24.1,Little Dal,24.1,305.3,3.33,-9.38,,24.6,148.38,4561.28,15328.81,290163.62,147.45,822.28,1.61,0.09
G12,G12-26.9,Little Dal,26.9,308.1,3.91,-9.73,,25.53,161.45,4830.6,13018.54,340635.96,137.76,908.37,1.87,0.06
G12,G12-30.6,Little Dal,30.6,311.8,3.06,-10.51,,22.82,281.03,3949.36,4863.6,318069.13,132.78,827.03,3.38,0.03
G12,G12-32.7,Little Dal,32.7,313.9,3.51,-8.88,,27.99,194.94,3312.82,4667.61,332654.95,136.96,877.37,2.27,0.02
G12,G12-37.1,Little Dal,37.1,318.3,4.35,-9,,18.02,124.34,3510.44,6465.6,328175.75,148.1,833.23,1.34,0.03
G12,G12-40.4,Little Dal,40.4,321.6,3.15,-8.59,,21.33,172.76,1478.05,4265.66,402960.23,146.75,1013.31,1.88,0.02
G12,G12-43.9,Little Dal,43.9,325.1,3.15,-8.06,,18.39,35.66,634.04,4087.76,384088.36,131.03,966.57,0.43,0.02
G12,G12-47.4,Little Dal,47.4,328.6,4.78,-7.05,0.70748,17.31,35.87,978.61,4876.59,371541.22,154.05,889.79,0.37,0.02
G12,G12-51.3,Little Dal,51.3,332.5,5.47,-7,,16.97,19.78,323.75,4658.04,364516.96,200.47,897.15,0.16,0.02
G12,G12-54.5,Little Dal,54.5,335.7,5.42,-6.91,,14.48,3.37,150.36,4824.67,368452.14,199.48,1013.6,0.03,0.02
G12,G12-57.0,Little Dal,57,338.2,4.68,-7.16,,12.71,27.69,304.8,3086.06,358160.33,124.34,882.61,0.36,0.01
G12,G12-60.5,Little Dal,60.5,341.7,5.01,-7.36,0.70623,18.23,5.87,320.33,5009.24,376238.13,236.3,942.7,0.04,0.02
G12,G12-64.1,Little Dal,64.1,345.3,5.14,-7.09,0.7063,11.63,28.85,289.11,4157.44,326148.92,139.98,818.96,0.33,0.02
G12,G12-66.9,Little Dal,66.9,348.1,5.1,-7.35,,15.11,35.83,506.95,8225.4,295119.07,160.69,801.51,0.36,0.05
G12,G12-70.5,Little Dal,70.5,351.7,5.06,-7.71,,11.57,21.69,209.57,3310.1,333179.71,141.84,867.31,0.24,0.02
G12,G12-74.9,Little Dal,74.9,356.1,5.24,-8.01,,14.24,11.8,239.39,3003.58,380691.59,130.65,1050.39,0.14,0.01
G12,G12-79.1,Little Dal,79.1,360.3,5.27,-9.58,,14.28,30.61,266.85,3020.15,368815,129.43,911.46,0.38,0.01
G12,G12-82.1,Little Dal,82.1,363.3,5.13,-7.75,,16.01,16.04,212.86,5004.32,346669.88,202.92,862.26,0.13,0.02
G12,G12-85.0,Little Dal,85,366.2,4.97,-8.24,,17.74,11.33,331.14,3095.36,389642.07,160.57,951.31,0.11,0.01
G12,G12-87.7,Little Dal,87.7,368.9,4.57,-9.09,,20.81,4.38,201.34,3445.79,437234.58,227.87,1097.86,0.03,0.01
G12,G12-92.1,Little Dal,92.1,373.3,4.59,-7.91,,16.82,76.06,1452.78,61086.91,314581.45,104.29,968.72,1.16,0.32
G12,G12-95.6,Little Dal,95.6,376.8,4.52,-7.73,,16.06,19.31,312.66,7095.13,354718.03,176.01,938.42,0.17,0.03
G12,G12-98.0,Little Dal,98,379.2,3.84,-7.78,,16.82,0.22,140.27,3325.23,393014.43,191.78,1023.21,0,0.01
G12,G12-100.0,Little Dal,100,381.2,4.76,-8.1,0.70561,14.51,1.06,236.91,4932.61,362048.37,414.7,911.59,0,0.02
G12,G12-102.6,Little Dal,102.6,383.8,5.29,-10.34,,15.7,2.65,278.64,2764.92,380323.53,239.66,920.25,0.02,0.01
G12,G12-105.8,Little Dal,105.8,387,4.42,-7.91,,23.46,5.56,303.68,15672.99,340527.6,380.1,926.86,0.02,0.08
G12,G12-108.8,Little Dal,108.8,390,4.2,-7.85,,16.63,8.66,158.93,4467.64,347104.19,210.05,870.51,0.07,0.02
G12,G12-112.0,Little Dal,112,393.2,4.39,-8.6,,28.42,6.88,144.18,3454.88,355634.48,291.42,906.62,0.04,0.02
G12,G12-116.4,Little Dal,116.4,397.6,4.62,-7.91,,13.26,34.27,377.57,20710.85,310889.35,151.8,900.04,0.36,0.11
G12,G12-120.2,Little Dal,120.2,401.4,4.67,-7.82,,15.8,39.04,485.57,31835.95,347396.9,133.06,1011.56,0.47,0.15
G12,G12-123.3,Little Dal,123.3,404.5,4.93,-7.34,0.70558,17.7,-2.81,299.81,15100.16,356443.2,360.81,912.15,-0.01,0.07
G12,G12-127.1,Little Dal,127.1,408.3,5.32,-7.07,,16.51,4.54,158.92,4560.53,374165.26,215.05,931.28,0.03,0.02
G12,G12-130.8,Little Dal,130.8,412,4.77,-7.37,,16.45,20.03,462.96,21419.36,366697.17,169.95,951.04,0.19,0.1
G12,G12-134.0,Little Dal,134,415.2,4.65,-8.27,,16.07,59.91,627.44,47478.73,332379.75,124.58,916.05,0.77,0.24
G12,G12-137.5,Little Dal,137.5,418.7,4.76,-7.69,,12.74,10.94,134.81,2989.53,311666.58,274.72,865.29,0.06,0.02
G12,G12-142.3,Little Dal,142.3,423.5,5.1,-8.04,,15.42,18.03,198.71,4547.97,331252.13,151.57,816.84,0.19,0.02
G12,G12-146.0,Little Dal,146,427.2,4.72,-7.72,,16.17,53.62,651.88,26019.94,348492.79,144.38,1010.56,0.59,0.12
G12,G12-149.6,Little Dal,149.6,430.8,4.58,-7.4,0.7064,21.68,57.59,864.56,32736.29,346529.86,105.64,968.15,0.87,0.16
G12,G12-151.8,Little Dal,151.8,433,4.58,-7.51,,20.07,1.62,181.58,3642.36,382331.08,248.95,960.32,0.01,0.02
G12,G12-155.3,Little Dal,155.3,436.5,4.34,-7.56,,13.41,28.74,851.21,15240.64,297868.65,113.36,774.57,0.4,0.08
G12,G12-157.7,Little Dal,157.7,438.9,4.58,-7.49,,17.99,43.48,804.91,31563.31,352693.44,144.54,962.83,0.48,0.15
G12,G12-159.5,Little Dal,159.5,440.7,4.47,-7.45,,18,23.42,619.79,17617.32,358226.4,169.4,959.15,0.22,0.08
G12,G12-162.7,Little Dal,162.7,443.9,4.85,-7.78,,13.65,4.96,233.11,4766.8,393159.99,217.86,1043.81,0.04,0.02
G12,G12-165.3,Little Dal,165.3,446.5,4.65,-7.44,,13.52,22.08,470.88,8729.31,358640.23,178.25,973.49,0.2,0.04
G12,G12-169.0,Little Dal,169,450.2,4.86,-7.29,,19.24,15.22,393.17,3874.89,393328.89,164.28,1016.53,0.15,0.02
G12,G12-172.0,Little Dal,172,453.2,4.18,-7.1,,13.74,27.49,400.55,6639.4,348254.56,183.95,864.89,0.24,0.03
G12,G12-174.9,Little Dal,174.9,456.1,4.59,-6.74,,14.14,47.04,1238.09,22373.38,338062.87,145.14,881.83,0.52,0.11
G12,G12-177.5,Little Dal,177.5,458.7,4.65,-7.97,,12.94,21.21,444.21,4914.74,364053.39,220.75,922.47,0.15,0.02
G12,G12-181.6,Little Dal,181.6,462.8,4.88,-7.91,,16.52,49.36,424.1,6145.57,363333.75,170.86,918.65,0.46,0.03
G12,G12-183.9,Little Dal,183.9,465.1,5.04,-7.69,,12.55,34.22,311.78,3453.98,321777.66,162.79,852.25,0.34,0.02
G12,G12-186.8,Little Dal,186.8,468,5,-6.67,,15.26,30.17,286.86,4408.26,338483.96,195.62,883.92,0.25,0.02
G12,G12-188.6,Little Dal,188.6,469.8,5.5,-7.28,,14.84,39.96,228.88,4074.42,306236.53,162.32,813.51,0.39,0.02
G12,G12-191.3,Little Dal,191.3,472.5,5.2,-7.84,,11.74,35.62,613.09,9375.41,347999.94,141.54,893.57,0.4,0.04
G12,G12-194.5,Little Dal,194.5,475.7,5.33,-8.04,,12.85,44.79,638.74,17078.45,351943.3,190.06,907.97,0.38,0.08
G12,G12-197.9,Little Dal,197.9,479.1,5.52,-7.08,,8.62,47.59,470.7,5326.67,285730.76,123.04,820.8,0.62,0.03
G12,G12-199.9,Little Dal,199.9,481.1,5.45,-9.22,,12.95,63.6,513.18,3789.92,343267.5,155.19,489.6,0.65,0.02
G12,G12-202.8,Little Dal,202.8,484,4.9,-6.71,,14.8,32.83,676.05,4284.67,348242.78,253.31,496.39,0.21,0.02
G12,G12-206.5,Little Dal,206.5,487.7,5.26,-6.35,,13.17,35.46,364.07,3742.21,328180.47,180.43,522.25,0.31,0.02
G12,G12-209.6,Little Dal,209.6,490.8,5.74,-8.05,,11.28,41.68,552.14,8106.79,353052.32,188.83,595.93,0.35,0.04
G12,G12-212.9,Little Dal,212.9,494.1,5.86,-7.22,,11.86,23.04,366.34,5092.84,370946.27,343.87,508.95,0.11,0.02
G12,G12-215.8,Little Dal,215.8,497,5.56,-6.35,0.70588,17.27,37.54,922.15,5299.31,353875.4,411.62,532.04,0.15,0.02
G12,G12-219.6,Little Dal,219.6,500.8,6.14,-8.2,,19.5,37.68,315.63,4455.99,381461.34,238.18,510.86,0.25,0.02
G12,G12-222.6,Little Dal,222.6,503.8,5.34,-6.99,0.70593,18.29,31.64,280.23,8418.59,350797.34,527.7,672.35,0.1,0.04
G12,G12-225.3,Little Dal,225.3,506.5,5.74,-7.16,,15.44,21.4,422.01,7457.73,365626.76,218.26,512.15,0.16,0.03
G12,G12-228.5,Little Dal,228.5,509.7,5.42,-7,,19.54,35.23,556.57,17691.57,285500.93,235.31,495.28,0.24,0.1
G12,G12-238.2,Little Dal,238.2,519.4,5.35,-7.68,,40.38,20.03,385.54,12824.08,360262.14,223.49,544.68,0.14,0.06
G12,G12-241.3,Little Dal,241.3,522.5,5.33,-7.93,,91.51,20.08,473.59,16815.96,375746.51,207.13,546.78,0.15,0.07
G12,G12-244.5,Little Dal,244.5,525.7,5.23,-7.37,,24.91,32.99,716.87,38671.38,342738.7,194.21,510.51,0.27,0.19
G12,G12-247.1,Little Dal,247.1,528.3,5.16,-7.36,,47.41,54.7,618.44,13692.1,375075.06,243.43,740.37,0.36,0.06
G12,G12-249.4,Little Dal,249.4,530.6,5.25,-5.12,,53.86,64.49,1398.24,77936.89,279644.16,97.81,785.63,1.05,0.46
G12,G12-251.9,Little Dal,251.9,533.1,4.97,-6.37,,68.09,21.31,348.41,5525.2,375885.38,520.94,903.48,0.07,0.02
G12,G12-253.6,Little Dal,253.6,534.8,4.48,-6.42,,42.63,73.37,994.53,17314.64,326498.85,232.7,665.87,0.5,0.09
G12,G12-260.0,Little Dal,260,541.2,4.56,-6.51,,53.06,60.81,660.83,8767.61,308678.7,170.14,590.51,0.57,0.05
G12,G12-261.2,Little Dal,261.2,542.4,4.73,-6.4,,30.89,35.39,308.87,6547.07,359898.94,397.29,735.4,0.14,0.03
G12,G12-263.7,Little Dal,263.7,544.9,4.75,-6.46,,51.98,48.72,1141.77,10869.87,374967.24,373.83,1016,0.21,0.05
G12,G12-266.7,Little Dal,266.7,547.9,4.74,-7.52,,24.37,39.87,441.89,7088.32,363613.85,313.52,600.62,0.2,0.03
G12,G12-269.6,Little Dal,269.6,550.8,4.66,-7.57,,89.03,69.6,1002.4,22274.34,365667,159.36,698.77,0.7,0.1
G12,G12-271.8,Little Dal,271.8,553,4.74,-7.6,,68.59,84.27,981.82,25293.69,379644.69,159.25,777,0.84,0.11
G12,G12-274.8,Little Dal,274.8,556,5.24,-7.02,,26.11,62.78,1434.24,70575.61,290402.97,109.19,584.98,0.92,0.4
G12,G12-277.3,Little Dal,277.3,558.5,5.21,-7,,22.75,20.94,435.84,10919.33,357574.94,419.29,704.36,0.08,0.05
G12,G12-279.6,Little Dal,279.6,560.8,5.05,-7.35,,32.97,19.85,324.8,7452.15,391596.58,363.4,723.03,0.09,0.03
G12,G12-281.8,Little Dal,281.8,563,5.11,-6.3,0.70553,49.73,13.61,221.55,4861.48,389630.07,395.19,701.34,0.05,0.02
G12,G12-285.3,Little Dal,285.3,566.5,4.23,-6.36,,34.96,24.75,420.18,3573.54,375787.47,204.24,646.1,0.19,0.02
