section,section_height,d13C,d13C_std,d18O,d18O_std,strat_m,mts_mtx,si_d,d44_40Ca,87Sr/86Sr,Ca_ppm,Mg_ppm,Al_ppm,Fe_ppm,K_ppm,Mn_ppm,Na_ppm,Sr_ppm
Miller2009a Mai Kenetal,1705.0,4.49,,-5.25,,795.0,mtx,inf,,0.70677,,,,1072.0,,135.0,,2072.0
Miller2009a Mai Kenetal,1710.0,5.49,,-8.53,,800.0,mtx,inf,,0.70672,,,,2492.0,,159.0,,2018.0
Miller2009a Mai Kenetal,1721.0,4.82,,-6.68,,811.0,mtx,inf,,0.70675,,,,7763.0,,564.0,,3019.0
Miller2009a Mai Kenetal,1731.0,5.65,,-7.33,,821.0,mtx,inf,,0.70674,,,,1477.0,,152.0,,2839.0
Miller2009a Mai Kenetal,1739.0,,,,,829.0,mtx,inf,,0.70674,,,,1935.0,,179.0,,2101.0
Miller2009a Mai Kenetal,1752.0,5.32,,-9.77,,842.0,mtx,inf,,0.70673,,,,2017.0,,191.0,,2903.0
Miller2009a Mai Kenetal,1755.0,4.96,,-8.85,,845.0,mtx,inf,,0.70673,,,,2871.0,,152.0,,2309.0
Miller2009a Mai Kenetal,1772.0,4.96,,-9.97,,862.0,mtx,inf,,0.70671,,,,2229.0,,405.0,,2896.0
Miller2009a Mai Kenetal,1773.0,5.56,,-9.3,,863.0,mtx,inf,,0.70673,,,,2187.0,,332.0,,2722.0
Miller2009a Mai Kenetal,1788.0,4.54,,-6.58,,878.0,mtx,inf,,0.70678,,,,1969.0,,163.0,,2465.0
Miller2009a Mai Kenetal,1805.0,6.27,,-9.97,,895.0,mtx,inf,,0.70679,,,,3353.0,,232.0,,2577.0
Miller2009a Mai Kenetal,1810.0,5.46,,-7.63,,900.0,mtx,inf,,0.70674,,,,1307.0,,106.0,,2781.0
Miller2009a Mai Kenetal,1838.0,5.06,,-6.83,,928.0,mtx,inf,,0.7067,,,,3528.0,,172.0,,1900.0
Miller2009a Mai Kenetal,1839.0,5.52,,-5.85,,929.0,mtx,inf,,0.70672,,,,1933.0,,62.0,,1891.0
Miller2009a Mai Kenetal,1855.0,4.77,,-3.26,,945.0,mtx,inf,,0.70675,,,,1100.0,,85.0,,2323.0
Miller2009a Mai Kenetal,1859.0,4.83,,-4.38,,949.0,mtx,inf,,0.70672,,,,1405.0,,86.0,,1840.0
Miller2009a Mai Kenetal,1875.0,4.44,,-3.64,,965.0,mtx,inf,,0.70672,,,,573.0,,53.0,,1961.0
Miller2009a Mai Kenetal,1896.0,6.64,,-3.67,,986.0,mtx,inf,,0.70673,,,,86.0,,20.0,,2743.0
Miller2009a Negash,-6.0,,,,,2594.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,4.0,,,,,2604.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,14.0,,,,,2614.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,26.0,,,,,2626.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,36.0,,,,,2636.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,49.0,,,,,2649.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,53.0,4.6,,-3.64,,2653.0,mtx,inf,,0.705,,,,5914.0,,1758.0,,351.0
Miller2009a Negash,60.2,,,,,2660.2,mtx,inf,,,,,,,,,,
Miller2009a Negash,229.7,1.93,,-4.12,,2829.7,mtx,inf,,0.70525,,,,3734.0,,434.0,,438.0
Miller2009a Negash,239.5,2.07,,-9.19,,2839.5,mtx,inf,,0.70476,,,,5300.0,,535.0,,330.0
Miller2009a Negash,249.0,2.59,,-4.67,,2849.0,mtx,inf,,0.70524,,,,5277.0,,763.0,,357.0
Miller2009a Negash,258.0,2.53,,-5.65,,2858.0,mtx,inf,,0.70557,,,,2301.0,,321.0,,225.0
Miller2009a Negash,278.0,2.74,,-6.2,,2878.0,mtx,inf,,0.70681,,,,1769.0,,308.0,,331.0
Miller2009a Negash,287.0,,,,,2887.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,289.0,3.0,,-4.9,,2889.0,mtx,inf,,0.70519,,,,2705.0,,454.0,,246.0
Miller2009a Negash,296.0,2.12,,-6.24,,2896.0,mtx,inf,,0.70647,,,,1009.0,,200.0,,273.0
Miller2009a Negash,308.0,2.36,,-6.02,,2908.0,mtx,inf,,0.70497,,,,4907.0,,666.0,,700.0
Miller2009a Negash,321.0,3.06,,-4.96,,2921.0,mtx,inf,,0.70525,,,,3851.0,,620.0,,429.0
Miller2009a Negash,335.0,2.23,,-4.89,,2935.0,mtx,inf,,0.70536,,,,7888.0,,1033.0,,484.0
Miller2009a Negash,348.0,,,,,2948.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,375.0,,,,,2975.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,389.0,2.84,,-3.97,,2989.0,mtx,inf,,0.70623,,,,2501.0,,226.0,,290.0
Miller2009a Negash,403.0,2.91,,-3.8,,3003.0,mtx,inf,,0.70604,,,,889.0,,127.0,,413.0
Miller2009a Negash,435.0,,,,,3035.0,mtx,inf,,0.7056,,,,2925.0,,743.0,,565.0
Miller2009a Negash,445.0,3.44,,-4.77,,3045.0,mtx,inf,,0.70552,,,,3301.0,,783.0,,455.0
Miller2009a Negash,456.0,,,,,3056.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,467.0,,,,,3067.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,477.0,,,,,3077.0,mtx,inf,,,,,,,,,,
Miller2009a Negash,515.0,3.76,,-4.25,,3115.0,mtx,inf,,0.70592,,,,1855.0,,242.0,,518.0
Miller2009a Negash,808.0,3.5,,-5.03,,3408.0,mtx,inf,,0.70621,,,,3038.0,,334.0,,283.0
Miller2009a Negash,1166.0,-2.26,,-4.98,,3766.0,mtx,inf,,0.70615,,,,249.0,,113.0,,164.0
Miller2009a Negash,1216.0,1.41,,-1.15,,3816.0,mtx,inf,,0.70659,,,,1066.0,,209.0,,442.0
Miller2009a Negash,1240.0,4.29,,-5.14,,3840.0,mtx,inf,,0.70657,,,,76.0,,29.0,,2457.0
Miller2009a Negash,1264.0,5.84,,-3.11,,3864.0,mtx,inf,,0.70651,,,,65.0,,46.0,,2430.0
Miller2009a Negash,1289.0,6.35,,-3.36,,3889.0,mtx,inf,,,,,,147.0,,34.0,,2697.0
Miller2009a Negash,1314.0,6.31,,-2.27,,3914.0,mtx,inf,,0.7066,,,,65.0,,47.0,,1848.0
Miller2009a Negash,1338.0,5.63,,-2.43,,3938.0,mtx,inf,,0.70671,,,,199.0,,66.0,,2429.0
Miller2009a Negash,1363.0,6.7,,-3.54,,3963.0,mtx,inf,,0.70666,,,,11946.0,,1234.0,,1299.0
Miller2009a Negash,1412.0,1.42,,-4.57,,4012.0,mtx,inf,,0.7065,,,,80.0,,50.0,,2857.0
Miller2009a Negash,1412.0,5.16,,-10.62,,4012.0,mtx,inf,,0.70641,,,,8337.0,,867.0,,1999.0
T1,479.9,-3.55,,-10.22,,-0.5,mtx,0.01,,,,,,,,,,
T1,480.4,-1.91,,-10.09,,0.0,mtx,0.01,,,,,,,,,,
T1,480.8,-0.86,,-7.09,,0.4,mtx,0.4,,,,,,,,,,
T1,483.2,,,,,2.8,mtx,1.4,,,,,,,,,,
T1,486.1,-2.66,,-12.48,,5.7,mtx,0.9,,,,,,,,,,
T1,491.9,-2.05,,-10.98,,11.5,mtx,0.8,,,,,,,,,,
T1,492.3,-2.1,,-10.64,,11.9,mtx,1.2,-1.24692,0.70653,398000.0,1507.0,,5.0,40.0,205.0,407.0,282.0
T1,494.3,-2.24,,-10.25,,13.9,mtx,0.7,,,,,,,,,,
T1,497.7,-2.31,,-9.83,,17.3,mtx,0.6,,,,,,,,,,
T1,497.8,-2.59,,-9.59,,17.4,mtx,0.5,,,,,,,,,,
T1,500.6,-2.3,,-9.66,,20.2,mtx,1.2,,,,,,,,,,
T1,506.2,,,,,25.8,mtx,2.0,,,,,,,,,,
T1,506.5,,,,,26.1,mtx,2.3,,,,,,,,,,
T1,506.8,,,,,26.4,mtx,2.6,,,,,,,,,,
T1,507.3,,,,,26.9,mtx,2.7,,,,,,,,,,
T1,507.9,,,,,27.5,mtx,2.1,,,,,,,,,,
T1,508.5,-2.24,,-8.78,,28.1,mtx,1.5,,,,,,,,,,
T1,509.0,,,,,28.6,mtx,1.0,,,,,,,,,,
T1,513.4,,,,,33.0,mtx,2.8,,,,,,,,,,
T1,513.7,,,,,33.3,mtx,3.1,,,,,,,,,,
T1,514.1,-2.04,,-8.37,,33.7,mtx,3.5,,,,,,,,,,
T1,514.2,,,,,33.8,mtx,3.6,,,,,,,,,,
T1,516.5,-2.04,,-7.92,,36.1,mtx,5.9,,,,,,,,,,
T1,519.2,-2.32,,-8.23,,38.8,mtx,8.6,,,,,,,,,,
T1,519.5,,,,,39.1,mtx,8.9,,,,,,,,,,
T1,520.8,,,,,40.4,mtx,10.2,,,,,,,,,,
T1,522.9,,,,,42.5,mtx,10.5,,,,,,,,,,
T1,526.9,-2.92,,-7.65,,46.5,mtx,6.5,,,,,,,,,,
T1,528.3,-2.72,,-8.08,,47.9,mtx,5.1,,,,,,,,,,
T1,528.8,,,,,48.4,mtx,4.6,,,,,,,,,,
T1,530.0,,,,,49.6,mtx,3.4,,,,,,,,,,
T1,531.6,,,,,51.2,mtx,1.8,,,,,,,,,,
T1,532.2,,,,,51.8,mtx,1.2,,,,,,,,,,
T1,535.5,,,,,55.1,mtx,1.7,,,,,,,,,,
T1,536.1,-2.49,,-7.74,,55.7,mtx,1.4,,,,,,,,,,
T1,540.6,-2.12,,-8.04,,60.2,mtx,1.4,,,,,,,,,,
T1,543.3,-2.12,,-7.42,,62.9,mtx,1.0,,,,,,,,,,
T1,545.8,-1.98,,-8.26,,65.4,mtx,0.0,,,,,,,,,,
T1,546.1,-2.18,,-7.86,,65.7,mtx,0.2,,,,,,,,,,
T1,548.8,,,,,68.4,mtx,0.5,,,,,,,,,,
T1,548.9,,,,,68.5,mtx,0.6,,,,,,,,,,
T1,549.1,,,,,68.7,mtx,0.8,,,,,,,,,,
T1,552.3,-1.91,,-8.38,,71.9,mtx,0.3,,,,,,,,,,
T1,552.6,-2.18,,-8.76,,72.2,mtx,0.6,,,,,,,,,,
T1,556.2,-2.06,,-8.88,,75.8,mtx,0.0,,,,,,,,,,
T1,558.8,,,,,78.4,mtx,1.7,,,,,,,,,,
T1,558.9,,,,,78.5,mtx,1.7,,,,,,,,,,
T1,559.0,,,,,78.6,mtx,1.6,,,,,,,,,,
T1,559.1,,,,,78.7,mtx,1.5,,,,,,,,,,
T1,559.15,,,,,78.75,mtx,1.45,,,,,,,,,,
T1,559.25,,,,,78.85,mtx,1.35,,,,,,,,,,
T1,562.7,-2.26,,-9.83,,82.3,mtx,0.5,,,,,,,,,,
T1,565.9,-2.17,,-9.24,,85.5,mtx,0.5,,,,,,,,,,
T1,568.8,-2.36,,-10.09,,88.4,mtx,0.7,-1.13623,0.70598,514000.0,4758.0,26.0,8.0,33.0,56.0,368.0,316.0
T1,569.1,-2.23,,-9.02,,88.7,mtx,0.4,,,,,,,,,,
T1,571.0,,,,,90.6,mtx,1.3,,,,,,,,,,
T1,573.1,-1.91,,-9.13,,92.7,mtx,0.5,,,,,,,,,,
T1,576.0,-2.0,,-11.28,,95.6,mtx,0.8,,,,,,,,,,
T1,578.4,-2.18,,-10.75,,98.0,mtx,0.5,,,,,,,,,,
T1,580.0,,,,,99.6,mtx,1.8,,,,,,,,,,
T1,580.1,,,,,99.7,mtx,1.7,,,,,,,,,,
T1,580.12,,,,,99.72,mtx,1.68,,,,,,,,,,
T1,580.3,,,,,99.9,mtx,1.5,,,,,,,,,,
T1,580.4,,,,,100.0,mtx,1.4,,,,,,,,,,
T1,580.55,,,,,100.15,mtx,1.25,,,,,,,,,,
T1,584.9,,,,,104.5,mtx,0.6,,,,,,,,,,
T1,585.7,,,,,105.3,mtx,0.0,,,,,,,,,,
T1,585.8,,,,,105.4,mtx,0.0,,,,,,,,,,
T1,588.2,-2.25,,-11.36,,107.8,mtx,1.5,,,,,,,,,,
T1,593.5,-2.52,,-11.33,,113.1,mtx,1.7,,,,,,,,,,
T1,593.7,-2.38,,-10.51,,113.3,mtx,1.5,,,,,,,,,,
T1,597.5,-2.23,,-11.18,,117.1,mtx,2.1,,,,,,,,,,
T1,600.4,,,,,120.0,mtx,5.0,,,,,,,,,,
T1,601.4,,,,,121.0,mtx,6.0,,,,,,,,,,
T1,601.6,,,,,121.2,mtx,6.2,,,,,,,,,,
T1,605.1,-2.51,,-8.44,,124.7,mtx,3.1,,,,,,,,,,
T1,606.9,-2.34,,-9.36,,126.5,mtx,1.3,,,,,,,,,,
T1,607.8,-2.52,,-9.32,,127.4,mtx,0.4,,,,,,,,,,
T1,609.3,,,,,128.9,mtx,0.9,,,,,,,,,,
T1,609.4,,,,,129.0,mtx,1.0,,,,,,,,,,
T1,610.6,,,,,130.2,mtx,2.2,,,,,,,,,,
T1,610.8,,,,,130.4,mtx,2.4,,,,,,,,,,
T1,614.6,-1.9,,-7.91,,134.2,mtx,6.2,,,,,,,,,,
T1,616.4,,,,,136.0,mtx,8.0,,,,,,,,,,
T1,617.0,-1.87,,-8.48,,136.6,mtx,8.6,,,,,,,,,,
T1,617.0,-2.03,,-8.27,,136.6,mts,8.6,,,,,,,,,,
T1,617.4,,,,,137.0,mtx,9.0,,,,,,,,,,
T1,618.9,-2.1,,-10.22,,138.5,mtx,10.5,,,,,,,,,,
T1,622.8,-1.9,,-11.71,,142.4,mtx,14.4,,,,,,,,,,
T1,623.2,-2.04,,-10.98,,142.8,mtx,14.8,,,,,,,,,,
T1,627.6,-1.89,,-10.71,,147.2,mtx,19.2,,,,,,,,,,
T1,632.2,-1.87,,-10.66,,151.8,mtx,23.8,,,,,,,,,,
T1,636.6,-1.92,,-10.42,,156.2,mtx,23.7,,,,,,,,,,
T1,638.4,-2.19,,-11.89,,158.0,mtx,21.9,,,,,,,,,,
T1,639.0,,,,,158.6,mtx,21.3,,,,,,,,,,
T1,639.1,,,,,158.7,mtx,21.2,,,,,,,,,,
T1,639.25,,,,,158.85,mtx,21.05,,,,,,,,,,
T1,639.3,,,,,158.9,mtx,21.0,,,,,,,,,,
T1,639.6,,,,,159.2,mtx,20.7,,,,,,,,,,
T1,639.75,,,,,159.35,mtx,20.55,,,,,,,,,,
T1,643.4,-1.79,,-13.33,,163.0,mtx,16.9,,,,,,,,,,
T1,645.8,,,,,165.4,mtx,14.5,,,,,,,,,,
T1,645.85,,,,,165.45,mtx,14.45,,,,,,,,,,
T1,645.9,,,,,165.5,mtx,14.4,,,,,,,,,,
T1,646.2,,,,,165.8,mtx,14.1,,,,,,,,,,
T1,646.25,,,,,165.85,mtx,14.05,,,,,,,,,,
T1,646.45,,,,,166.05,mtx,13.85,,,,,,,,,,
T1,646.6,-2.13,,-16.37,,166.2,mtx,13.7,,,,,,,,,,
T1,647.0,-2.09,,-15.51,,166.6,mtx,13.3,,,,,,,,,,
T1,649.2,-2.02,,-11.95,,168.8,mtx,11.1,,,,,,,,,,
T1,649.3,-2.02,,-12.37,,168.9,mtx,11.0,,,,,,,,,,
T1,650.1,-1.73,,-7.94,,169.7,mtx,10.2,,,,,,,,,,
T1,650.8,-1.7,,-7.8,,170.4,mtx,9.5,,,,,,,,,,
T1,651.4,-2.87,,-7.81,,171.0,mtx,8.9,,,,,,,,,,
T1,654.8,-1.45,,-4.68,,174.4,mtx,5.5,,,,,,,,,,
T1,657.9,-1.36,,-4.09,,177.5,mtx,2.4,,,,,,,,,,
T1,660.7,-1.75,,-5.21,,180.3,mtx,0.0,,,,,,,,,,
T1,662.6,-1.34,,-5.42,,182.2,mtx,0.2,,,,,,,,,,
T1,666.3,-1.59,,-5.36,,185.9,mtx,3.2,,,,,,,,,,
T1,670.2,-0.93,,-6.47,,189.8,mtx,2.1,,,,,,,,,,
T1,672.8,-0.57,,-4.59,,192.4,mtx,0.01,,,,,,,,,,
T1,676.1,-0.52,,-5.25,,195.7,mtx,0.0,,,,,,,,,,
T1,680.3,-0.63,,-4.97,,199.9,mtx,2.8,,,,,,,,,,
T1,683.6,-0.49,,-5.09,,203.2,mtx,2.8,,,,,,,,,,
T1,689.3,-1.7,,-6.63,,208.9,mtx,2.6,,,,,,,,,,
T1,694.1,-2.62,,-5.87,,213.7,mtx,0.7,,,,,,,,,,
T1,698.2,-1.53,,-7.14,,217.8,mtx,0.7,,,,,,,,,,
T1,703.2,-1.61,,-10.98,,222.8,mtx,4.2,,,,,,,,,,
T1,706.3,-1.98,,-16.28,,225.9,mtx,4.3,,,,,,,,,,
T1,709.2,-1.97,,-8.06,,228.8,mtx,1.4,,,,,,,,,,
T1,709.3,-1.64,,-9.37,,228.9,mtx,1.3,,,,,,,,,,
T1,710.6,,,,,230.2,mtx,0.01,,,,,,,,,,
T1,710.65,,,,,230.25,mtx,0.0,,,,,,,,,,
T1,711.0,,,,,230.6,mtx,0.3,,,,,,,,,,
T1,711.3,-0.87,,-8.47,,230.9,mtx,0.6,,,,,,,,,,
T1,713.1,-0.94,,-7.47,,232.7,mtx,2.4,,,,,,,,,,
T1,713.2,,,,,232.8,mtx,2.5,,,,,,,,,,
T1,713.8,,,,,233.4,mtx,3.1,,,,,,,,,,
T1,714.1,-1.33,,-15.4,,233.7,mtx,3.4,,,,,,,,,,
T1,714.1,,,,,233.7,mtx,3.4,,,,,,,,,,
T1,714.4,,,,,234.0,mtx,3.7,,,,,,,,,,
T1,714.6,,,,,234.2,mtx,3.9,,,,,,,,,,
T1,714.8,,,,,234.4,mtx,4.1,,,,,,,,,,
T1,715.0,-1.18,,-7.65,,234.6,mtx,4.3,,,,,,,,,,
T1,715.3,,,,,234.9,mtx,4.6,,,,,,,,,,
T1,715.35,,,,,234.95,mtx,4.65,,,,,,,,,,
T1,715.75,,,,,235.35,mtx,5.05,,,,,,,,,,
T1,718.3,,,,,237.9,mtx,7.6,,,,,,,,,,
T1,719.0,,,,,238.6,mtx,8.3,,,,,,,,,,
T1,719.2,,,,,238.8,mtx,8.5,,,,,,,,,,
T1,721.5,-0.74,,-12.12,,241.1,mtx,9.2,,,,,,,,,,
T1,721.5,,,,,241.1,mtx,9.2,,,,,,,,,,
T1,722.6,,,,,242.2,mtx,8.1,,,,,,,,,,
T1,724.6,,,,,244.2,mtx,6.1,,,,,,,,,,
T1,726.55,,,,,246.15,mtx,4.15,,,,,,,,,,
T1,726.7,,,,,246.3,mtx,4.0,,,,,,,,,,
T1,727.1,,,,,246.7,mtx,3.6,,,,,,,,,,
T1,727.9,-0.91,,-8.48,,247.5,mtx,2.8,,,,,,,,,,
T1,729.2,,,,,248.8,mtx,1.5,,,,,,,,,,
T1,732.1,-1.16,,-11.38,,251.7,mtx,0.9,,,,,,,,,,
T1,732.5,,,,,252.1,mtx,1.3,,,,,,,,,,
T1,732.7,,,,,252.3,mtx,1.5,,,,,,,,,,
T1,733.2,,,,,252.8,mtx,2.0,,,,,,,,,,
T1,734.4,,,,,254.0,mtx,1.3,,,,,,,,,,
T1,734.5,,,,,254.1,mtx,1.2,,,,,,,,,,
T1,734.6,-1.4,,-12.86,,254.2,mtx,1.1,,,,,,,,,,
T1,735.95,,,,,255.55,mtx,0.15,,,,,,,,,,
T1,736.1,,,,,255.7,mtx,0.3,,,,,,,,,,
T1,736.2,,,,,255.8,mtx,0.4,,,,,,,,,,
T1,736.25,,,,,255.85,mtx,0.45,,,,,,,,,,
T1,736.5,,,,,256.1,mtx,0.6,,,,,,,,,,
T1,736.6,,,,,256.2,mtx,0.5,,,,,,,,,,
T1,736.65,,,,,256.25,mtx,0.45,,,,,,,,,,
T1,944.3,,,,,463.9,mtx,0.0,,,,,,,,,,
T1,946.7,0.21,,-15.5,,466.3,mtx,0.0,,,,,,,,,,
T1,949.2,-0.23,,-16.27,,468.8,mtx,0.0,,,,,,,,,,
T1,951.8,0.87,,-14.76,,471.4,mtx,0.0,,,,,,,,,,
T1,952.0,0.95,,-15.96,,471.6,mtx,0.0,,,,,,,,,,
T1,952.3,-0.97,,-15.92,,471.9,mtx,0.0,,,,,,,,,,
T1,952.4,0.88,,-15.46,,472.0,mtx,0.05,,,,,,,,,,
T1,957.7,1.31,,-15.23,,477.3,mtx,0.0,,,,,,,,,,
T1,965.0,1.96,,-15.66,,484.6,mtx,0.0,,,,,,,,,,
T1,965.6,2.16,,-15.2,,485.2,mtx,0.1,,,,,,,,,,
T1,966.6,2.24,,-15.31,,486.2,mtx,0.01,,,,,,,,,,
T1,966.7,2.36,,-14.49,,486.3,mtx,0.01,,,,,,,,,,
T1,967.2,1.96,,-13.93,,486.8,mtx,0.05,,,,,,,,,,
T1,968.1,2.55,,-15.3,,487.7,mtx,0.0,,,,,,,,,,
T1,969.4,2.74,,-14.56,,489.0,mtx,0.01,,,,,,,,,,
T1,970.0,2.28,,-14.54,,489.6,mtx,0.01,,,,,,,,,,
T1,976.5,1.73,,-14.34,,496.1,mtx,0.0,,,,,,,,,,
T1,977.4,2.57,,-13.54,,497.0,mtx,0.0,,,,,,,,,,
T1,978.0,2.23,,-14.26,,497.6,mtx,0.1,,,,,,,,,,
T1,978.3,2.77,,-13.76,,497.9,mtx,0.0,,,,,,,,,,
T1,978.6,1.98,,-13.1,,498.2,mtx,0.01,,,,,,,,,,
T1,980.2,2.14,,-13.54,,499.8,mtx,0.0,,,,,,,,,,
T1,980.6,2.51,,-14.25,,500.2,mtx,0.0,,,,,,,,,,
T1,982.6,2.47,,-13.66,,502.2,mtx,0.0,,,,,,,,,,
T1,983.3,2.45,,-12.89,,502.9,mtx,0.4,,,,,,,,,,
T1,984.1,1.83,,-13.63,,503.7,mtx,0.01,,,,,,,,,,
T1,992.7,2.01,,-13.62,,512.3,mtx,0.0,,,,,,,,,,
T1,1135.8,3.3,,-12.87,,655.4,mtx,0.01,,,,,,,,,,
T1,1137.0,3.37,,-11.93,,656.6,mtx,0.0,,,,,,,,,,
T1,1139.2,2.77,,-12.32,,658.8,mtx,0.0,,,,,,,,,,
T1,1151.2,3.39,,-11.83,,670.8,mtx,0.0,,,,,,,,,,
T1,1176.6,5.76,,-11.34,,696.2,mtx,0.0,,,,,,,,,,
T1,1202.0,,,,,721.6,mtx,0.0,,,,,,,,,,
T1,1222.7,-0.3,,-10.48,,742.3,mtx,0.0,,,,,,,,,,
