section,section_height,d13C,d13C_std,d18O,d18O_std,strat_m,mts_mtx,si_d,d44_40Ca,87Sr/86Sr,Ca_ppm,Mg_ppm,Al_ppm,Fe_ppm,K_ppm,Mn_ppm,Na_ppm,Sr_ppm
Miller2009a Mai Kenetal,405.5,,,,,-504.5,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,440.6,,,,,-469.4,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,463.9,,,,,-446.1,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,604.2,,,,,-305.8,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,604.2,4.31,,-1.37,,-305.8,mtx,inf,,0.71044,,,,,,2864.0,,131.0
Miller2009a Mai Kenetal,627.6,,,,,-282.4,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,651.0,,,,,-259.0,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,674.3,,,,,-235.7,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,853.3,,,,,-56.7,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,898.0,,,,,-12.0,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,899.5,,,,,-10.5,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,899.5,,,,,-10.5,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,900.0,-3.84,,-11.83,,-10.0,mtx,inf,,0.70713,,,,23107.0,,3815.0,,1337.0
Miller2009a Mai Kenetal,900.0,-2.24,,-6.13,,-10.0,mtx,inf,,0.70632,,,,4364.0,,1604.0,,315.0
Miller2009a Mai Kenetal,900.1,-0.5,,-7.9,,-9.9,mtx,inf,,0.70598,,,,5427.0,,2386.0,,340.0
Miller2009a Mai Kenetal,900.5,0.32,,-7.35,,-9.5,mtx,inf,,0.70597,,,,6389.0,,2357.0,,344.0
Miller2009a Mai Kenetal,900.9,0.48,,-9.64,,-9.1,mtx,inf,,0.70668,,,,13239.0,,3463.0,,851.0
Miller2009a Mai Kenetal,902.0,,,,,-8.0,mtx,inf,,,,,,,,,,
Miller2009a Mai Kenetal,907.0,,,,,-3.0,mtx,inf,,0.70844,,,,42014.0,,1647.0,,964.0
Miller2009a Mai Kenetal,945.0,-1.27,,-9.11,,35.0,mtx,inf,,0.70642,,,,875.0,,294.0,,227.0
Miller2009a Mai Kenetal,969.0,-2.17,,-8.18,,59.0,mtx,inf,,0.70631,,,,855.0,,221.0,,264.0
Miller2009a Mai Kenetal,994.0,-1.75,,-8.68,,84.0,mtx,inf,,0.70605,,,,167.0,,55.0,,270.0
Miller2009a Mai Kenetal,1018.0,-1.72,,-11.47,,108.0,mtx,inf,,0.70608,,,,345.0,,47.0,,452.0
Miller2009a Mai Kenetal,1043.0,-4.09,,-7.74,,133.0,mtx,inf,,0.70615,,,,626.0,,101.0,,138.0
Miller2009a Mai Kenetal,1067.0,-1.74,,-9.55,,157.0,mtx,inf,,0.70621,,,,333.0,,46.0,,307.0
Miller2009a Mai Kenetal,1067.2,-1.43,,-8.84,,157.2,mtx,inf,,0.70632,,,,4850.0,,270.0,,198.0
Miller2009a Mai Kenetal,1091.0,-1.92,,-8.6,,181.0,mtx,inf,,0.7063,,,,845.0,,61.0,,354.0
Miller2009a Mai Kenetal,1091.0,-1.16,,-10.19,,181.0,mtx,inf,,0.70595,,,,4161.0,,165.0,,182.0
Miller2009a Mai Kenetal,1091.2,-1.68,,-11.63,,181.2,mtx,inf,,0.70617,,,,568.0,,58.0,,225.0
Miller2009a Mai Kenetal,1116.0,-2.17,,-9.39,,206.0,mtx,inf,,0.70616,,,,696.0,,72.0,,164.0
Miller2009a Mai Kenetal,1140.0,-2.08,,-5.3,,230.0,mtx,inf,,0.7059,,,,1129.0,,123.0,,87.0
Miller2009a Mai Kenetal,1165.0,-0.72,,-11.67,,255.0,mtx,inf,,0.70613,,,,902.0,,131.0,,192.0
Miller2009a Mai Kenetal,1189.0,-1.22,,-12.67,,279.0,mtx,inf,,0.70595,,,,2206.0,,500.0,,299.0
Miller2009a Mai Kenetal,1390.0,1.13,,-13.06,,480.0,mtx,inf,,0.70631,,,,13984.0,,2496.0,,1262.0
Miller2009a Mai Kenetal,1405.0,1.9,,-10.82,,495.0,mtx,inf,,0.70633,,,,4121.0,,618.0,,1133.0
Miller2009a Mai Kenetal,1550.0,2.27,,-7.99,,640.0,mtx,inf,,0.70615,,,,34774.0,,2860.0,,1759.0
Miller2009a Mai Kenetal,1550.0,7.27,,-9.0,,640.0,mtx,inf,,0.70581,,,,14609.0,,1133.0,,1516.0
Miller2009a Mai Kenetal,1582.0,7.22,,-9.18,,672.0,mtx,inf,,0.70665,,,,2763.0,,321.0,,2178.0
Miller2009a Mai Kenetal,1600.0,5.0,,-7.16,,690.0,mtx,inf,,0.70667,,,,8123.0,,279.0,,2769.0
Miller2009a Mai Kenetal,1649.0,5.28,,-8.78,,739.0,mtx,inf,,0.70671,,,,1654.0,,436.0,,2397.0
Miller2009a Mai Kenetal,1654.0,5.29,,-10.22,,744.0,mtx,inf,,0.70674,,,,2413.0,,207.0,,2018.0
Miller2009a Mai Kenetal,1671.0,5.56,,-9.0,,761.0,mtx,inf,,0.70677,,,,1923.0,,138.0,,2597.0
Miller2009a Mai Kenetal,1689.0,5.7,,-8.93,,779.0,mtx,inf,,0.70681,,,,1348.0,,181.0,,2737.0
