sample,group,subgroup,formation,member,lithology,Sr_ppm,Al_ppm,Si_ppm,K_ppm,Mn_ppm,Fe_ppm,Mn/Sr,Rb/Sr,d13C,d18O,87Sr/86Sr_measured,error,87Sr/86Sr,strat_m
GE27,Appin,Blair Atholl,Islay,,Limestone,1185,294,102,28,184,1001,0.155,0.0007,-3.72,-10.13,0.70663,0.00002,0.70661,-39
GE28,Appin,Blair Atholl,Islay,,Limestone,446,323,86,28,206,968,0.462,0.0023,-1.67,-11.86,,,,-38
GE30,Appin,Blair Atholl,Islay,,Dolostone,173,5201,499,2980,1064,30298,6.146,,-4.45,-8.95,,,,-36
ISS9,Appin,Blair Atholl,Islay,Persabus,Dolostone,312,424,220,36,436,8377,1.399,0.0003,0.83,-3.5,,,,-26
GE42,Appin,Blair Atholl,Islay,,Dolostone,207,1668,620,1636,1622,26322,7.841,0.0125,-5.74,-6.68,,,,-24
ISS7,Appin,Blair Atholl,Islay,Persabus,Sandstone,71,1455,369,1835,245,5354,3.465,0.0774,-0.73,-16.38,,,,-22
GE45.5,Appin,Blair Atholl,Islay,,Dolostone,277,1348,469,857,1244,24639,4.497,0.0038,-2.92,-7.36,,,,-20.5
ISS6,Appin,Blair Atholl,Islay,Persabus,Dolostone,292,495,401,1028,719,15794,2.464,0.0101,0.15,-9.48,,,,-20
ISS5,Appin,Blair Atholl,Islay,Persabus,Dolostone,290,221,166,103,897,13846,3.089,0.0005,0.09,-10,,,,-18
GE57,Appin,Blair Atholl,Islay,,Dolostone,300,808,485,376,558,19746,1.857,0.0033,0.7,-8.93,,,,-9
GE58,Appin,Blair Atholl,Islay,,Dolostone,128,1514,470,1301,410,10344,3.199,0.0187,-0.01,-8.77,,,,-8
GE59,Appin,Blair Atholl,Islay,,Dolostone,286,947,478,995,605,18852,2.115,0.0035,0.32,-5.6,,,,-7
GE60,Appin,Blair Atholl,Islay,,Dolostone,196,2572,375,2027,496,13098,2.535,0.0177,0.2,-6.63,,,,-6
GE93,Argyll,Islay,Port Askaig,,Dolostone,415,938,449,732,1076,28017,2.593,0.0041,0.58,-8.18,,,,27
GE95,Argyll,Islay,Port Askaig,,Dolostone,494,421,299,46,571,22359,1.155,0.0004,-1.48,-12.12,0.71139,0.00002,0.71138,29
GE96,Argyll,Islay,Port Askaig,,Dolostone,215,1869,283,1259,639,17818,2.969,0.0088,0.32,-7.9,,,,30
IS24,Argyll,Islay,Bonahaven,Margadale,Dolostone,133,1777,520,2484,502,7419,3.775,,-4.94,-12.32,,,,
IS64.5,Argyll,Islay,Bonahaven,Margadale,Dolostone,148,2312,482,2805,514,8315,3.463,,-5.5,-12.34,,,,
IS76,Argyll,Islay,Bonahaven,Margadale,Dolostone,142,2320,437,3129,532,9499,3.739,0.0364,-7.1,-11.99,0.72494,0.00002,0.72406,
IS86,Argyll,Islay,Bonahaven,Margadale,Dolostone,157,885,328,1069,759,8868,4.833,,-7.06,-12.93,,,,
